model,condition,abstention_rate_allrows_pct,abstention_rate_condB_pct,strict_valid_rate_allrows_pct,n_allrows,n_condB
llama,original,0.0,0.0,100.0,75600,37800
llama,health,0.0,0.0,100.0,75600,37800
llama,neutral,0.0,0.0,100.0,75600,37800
llama,positive,0.0,0.0,100.0,75600,37800
llama,negative_minor,0.0,0.0,100.0,75600,37800
gemma,original,0.0,0.0,100.0,75600,37800
gemma,health,0.001322751322751323,0.002645502645502646,100.0,75600,37800
gemma,neutral,0.002645502645502646,0.005291005291005292,100.0,75600,37800
gemma,positive,0.05026455026455026,0.10052910052910052,100.0,75600,37800
gemma,negative_minor,0.002645502645502646,0.005291005291005292,100.0,75600,37800
qwen,original,44.985449735449734,89.97089947089947,100.0,75600,37800
qwen,health,46.04232804232804,92.08465608465607,100.0,75600,37800
qwen,neutral,43.46296296296296,86.92592592592592,100.0,75600,37800
qwen,positive,47.33201058201058,94.66402116402116,100.0,75600,37800
qwen,negative_minor,45.46560846560846,90.93121693121692,100.0,75600,37800
ministral,original,41.732804232804234,83.46560846560847,100.0,75600,37800
ministral,health,24.256613756613756,48.51322751322751,100.0,75600,37800
ministral,neutral,20.89814814814815,41.7962962962963,100.0,75600,37800
ministral,positive,18.625661375661377,37.25132275132275,100.0,75600,37800
ministral,negative_minor,14.899470899470899,29.798941798941797,100.0,75600,37800
deepseek,original,0.0,0.0,0.08333333333333334,75600,37800
deepseek,health,0.0,0.0,0.0,75600,37800
deepseek,neutral,0.0,0.0,0.0,75600,37800
deepseek,positive,0.0,0.0,0.0,75600,37800
deepseek,negative_minor,0.0,0.0,0.2698412698412699,75600,37800
