model,context,metric,scope,shift_pp,p_value,n_clusters
llama,health,is_abstention,all,0.0,,5400
llama,neutral,is_abstention,all,0.0,,5400
llama,positive,is_abstention,all,0.0,,5400
llama,negative_minor,is_abstention,all,0.0,,5400
gemma,health,is_abstention,all,0.0013227513227513227,0.31731050786291226,5400
gemma,neutral,is_abstention,all,0.0026455026455026454,0.15726076227177568,5400
gemma,positive,is_abstention,all,0.05026455026455026,6.184868841797524e-10,5400
gemma,negative_minor,is_abstention,all,0.0026455026455026454,0.15726076227177577,5400
qwen,health,is_abstention,B_only,2.113756613756614,3.856907819155329e-44,5400
qwen,neutral,is_abstention,B_only,-3.044973544973545,7.140565157639812e-95,5400
qwen,positive,is_abstention,B_only,4.693121693121693,3.6055261971954834e-234,5400
qwen,negative_minor,is_abstention,B_only,0.9603174603174603,4.738122654676805e-12,5400
ministral,health,is_abstention,B_only,-34.95238095238092,0.0,5400
ministral,neutral,is_abstention,B_only,-41.669312169312136,0.0,5400
ministral,positive,is_abstention,B_only,-46.21428571428567,0.0,5400
ministral,negative_minor,is_abstention,B_only,-53.666666666666615,0.0,5400
deepseek,health,strict_is_valid,all,-0.08333333333333333,2.6744828919392055e-13,5400
deepseek,neutral,strict_is_valid,all,-0.08333333333333333,2.6744828919392055e-13,5400
deepseek,positive,strict_is_valid,all,-0.08333333333333333,2.6744828919392055e-13,5400
deepseek,negative_minor,strict_is_valid,all,0.18650793650793648,8.618270797775865e-18,5400
