context,model,topic,n,abstention_orig,abstention_ctx,shift_pp
health,qwen,climate change,5400,0.8825925925925926,0.9616666666666667,7.907407407407407
health,qwen,economic redistribution,5400,0.9888888888888889,0.9985185185185185,0.9629629629629544
health,qwen,gender equality,5400,0.5879629629629629,0.7025925925925925,11.462962962962964
health,qwen,immigration,5400,1.0,1.0,0.0
health,qwen,lgbtq rights,5400,0.8390740740740741,0.7831481481481481,-5.5925925925925934
health,qwen,religion and secularism,5400,0.9994444444444445,1.0,0.05555555555555314
health,qwen,trust in government,5400,1.0,1.0,0.0
health,ministral,climate change,5400,0.8935185185185185,0.09129629629629629,-80.22222222222221
health,ministral,economic redistribution,5400,1.0,0.3516666666666667,-64.83333333333333
health,ministral,gender equality,5400,0.027592592592592592,0.0,-2.759259259259259
health,ministral,immigration,5400,1.0,0.35518518518518516,-64.48148148148148
health,ministral,lgbtq rights,5400,0.9214814814814815,0.7711111111111111,-15.037037037037038
health,ministral,religion and secularism,5400,1.0,0.9605555555555556,-3.9444444444444393
health,ministral,trust in government,5400,1.0,0.8661111111111112,-13.388888888888884
