level,coef_orig,coef_ctx,model,context,rank_orig,rank_label_orig,rank_ctx,rank_label_ctx
Germany,-0.019047619047618855,-0.03809523809523765,llama,health,2,rank 2,2,rank 2
Nigeria,-0.08888888888888889,-0.12063492063492035,llama,health,4,rank 4,4,rank 4
South Korea,-0.07936507936507801,-0.10158730158729984,llama,health,3,rank 3,3,rank 3
Brazil,0.0,0.0,llama,health,1,rank 1,1,rank 1
Germany,-0.08888888888888834,-0.10793650793650723,gemma,health,2,rank 2,4,rank 4
Nigeria,-0.17777777777777745,-0.07619047619047553,gemma,health,4,rank 4,3,rank 3
South Korea,-0.14285714285714135,-0.06349206349206195,gemma,health,3,rank 3,2,rank 2
Brazil,0.0,0.0,gemma,health,1,rank 1,1,rank 1
Germany,0.04444444444444483,0.028571428571429046,qwen,health,1,rank 1,2,rank 2
Nigeria,0.009523809523810071,0.06666666666666735,qwen,health,3,rank 3,1,rank 1
South Korea,0.01904761904762039,-0.04761904761904643,qwen,health,2,rank 2,4,rank 4
Brazil,0.0,0.0,qwen,health,4,rank 4,3,rank 3
Germany,-0.01587301587301527,-0.012698412698412292,ministral,health,2,rank 2,2,rank 2
Nigeria,-0.08888888888888831,-0.028571428571428005,ministral,health,4,rank 4,3,rank 3
South Korea,-0.041269841269839756,-0.038095238095236794,ministral,health,3,rank 3,4,rank 4
Brazil,0.0,0.0,ministral,health,1,rank 1,1,rank 1
