level,coef_orig,coef_ctx,model,context,rank_orig,rank_label_orig,rank_ctx,rank_label_ctx
Brazil,0.0423280423280278,0.002645502645496272,llama,health,3,rank 3,2,rank 2
Canada,0.05873015873015767,-0.020105820105818382,llama,health,2,rank 2,6,rank 6
China,-0.09100529100531006,-0.09841269841271338,llama,health,19,rank 19,14,rank 14
Egypt,-0.10476190476190761,-0.10687830687830395,llama,health,20,rank 20,16,rank 16
France,0.03280423280422031,0.01587301587301092,llama,health,5,rank 5,1,rank 1
Germany,0.02857142857143371,-0.03386243386243095,llama,health,6,rank 6,8,rank 8
India,0.041269841269835725,-0.04656084656083833,llama,health,4,rank 4,11,rank 11
Italy,0.07830687830685319,-0.009523809523814805,llama,health,1,rank 1,5,rank 5
Japan,0.01216931216930278,-0.03227513227513213,llama,health,8,rank 8,7,rank 7
Kenya,0.010582010582006557,-0.1015873015872875,llama,health,9,rank 9,15,rank 15
Mexico,-0.07460317460317957,-0.04074074074074097,llama,health,17,rank 17,9,rank 9
Morocco,-0.0037037037037073593,-0.11904761904762097,llama,health,11,rank 11,18,rank 18
Nigeria,-0.020634920634921707,-0.13068783068783116,llama,health,13,rank 13,19,rank 19
Pakistan,-0.060317460317464315,-0.08730158730158821,llama,health,16,rank 16,13,rank 13
Poland,-0.052910052910071524,-0.052380952380970645,llama,health,15,rank 15,12,rank 12
South Africa,-0.026455026455028726,-0.004232804232805264,llama,health,14,rank 14,4,rank 4
South Korea,-0.016402116402112133,-0.11640211640210854,llama,health,12,rank 12,17,rank 17
Turkey,-0.08201058201057598,-0.13703703703703163,llama,health,18,rank 18,20,rank 20
USA,0.02010582010580375,-0.04232804232805831,llama,health,7,rank 7,10,rank 10
Argentina,0.0,0.0,llama,health,10,rank 10,3,rank 3
Brazil,0.03439153439152489,0.06507936507934818,gemma,health,3,rank 3,2,rank 2
Canada,0.05079365079365342,-0.0021164021164084,gemma,health,1,rank 1,9,rank 9
China,-0.0783068783068921,-0.03439153439154384,gemma,health,11,rank 11,14,rank 14
Egypt,-0.17830687830688033,-0.0910052910052972,gemma,health,17,rank 17,17,rank 17
France,0.02645502645501741,0.00052910052908815,gemma,health,4,rank 4,7,rank 7
Germany,-0.05396825396825447,-0.058730158730164836,gemma,health,9,rank 9,16,rank 16
India,-0.011640211640207529,0.03333333333332668,gemma,health,6,rank 6,5,rank 5
Italy,-0.028042328042332768,-0.02751322751323649,gemma,health,7,rank 7,13,rank 13
Japan,-0.1042328042327925,-0.04550264550264943,gemma,health,12,rank 12,15,rank 15
Kenya,-0.07671957671956937,0.0608465608465475,gemma,health,10,rank 10,3,rank 3
Mexico,0.04603174603175366,0.03915343915344033,gemma,health,2,rank 2,4,rank 4
Morocco,-0.11587301587302126,0.006878306878298257,gemma,health,13,rank 13,6,rank 6
Nigeria,-0.17460317460317898,-0.011640211640216676,gemma,health,16,rank 16,10,rank 10
Pakistan,-0.1798941798941859,-0.02169312169312919,gemma,health,18,tied for rank 18,12,rank 12
Poland,-0.1798941798942011,-0.09894179894182138,gemma,health,18,tied for rank 18,18,tied for rank 18
South Africa,-0.04179894179894391,0.07195767195766359,gemma,health,8,rank 8,1,rank 1
South Korea,-0.12698412698412156,-0.021164021164020757,gemma,health,14,rank 14,11,rank 11
Turkey,-0.1301587301587252,-0.0989417989417949,gemma,health,15,rank 15,18,tied for rank 18
USA,-0.2116402116402294,-0.12486772486774411,gemma,health,19,rank 19,19,rank 19
Argentina,0.0,0.0,gemma,health,5,rank 5,8,rank 8
Brazil,-0.019576719576728466,-0.021693121693123596,qwen,health,11,rank 11,10,rank 10
Canada,0.0862433862433883,0.0068783068783150065,qwen,health,1,rank 1,4,rank 4
China,-0.07671957671959473,-0.1052910052910215,qwen,health,16,rank 16,20,rank 20
Egypt,-0.13650793650794224,-0.06666666666666402,qwen,health,19,rank 19,17,rank 17
France,0.0698412698412564,0.02962962962962768,qwen,health,2,rank 2,2,rank 2
Germany,0.02804232804233319,-0.0005291005290916112,qwen,health,6,rank 6,6,rank 6
India,0.04973544973544263,-0.00899470899470408,qwen,health,4,rank 4,8,rank 8
Italy,-0.018518518518527018,-0.02751322751322733,qwen,health,10,rank 10,12,rank 12
Japan,0.044444444444425704,-0.023280423280425865,qwen,health,5,rank 5,11,rank 11
Kenya,-0.07460317460316822,-0.0010582010581969045,qwen,health,15,rank 15,7,rank 7
Mexico,-0.010052910052909468,-0.01851851851851279,qwen,health,9,rank 9,9,rank 9
Morocco,-0.1444444444444512,-0.06878306878306698,qwen,health,20,rank 20,18,rank 18
Nigeria,-0.026455026455029576,0.022222222222228253,qwen,health,12,rank 12,3,rank 3
Pakistan,-0.11957671957672765,-0.0354497354497346,qwen,health,18,rank 18,13,rank 13
Poland,-0.05608465608467377,-0.08835978835979855,qwen,health,14,rank 14,19,rank 19
South Africa,0.058730158730151596,0.04761904761904813,qwen,health,3,rank 3,1,rank 1
South Korea,-0.028042328042326176,-0.05343915343914387,qwen,health,13,rank 13,14,rank 14
Turkey,-0.08994708994708576,-0.05873015873014669,qwen,health,17,rank 17,15,rank 15
USA,0.007936507936491255,-0.06455026455027357,qwen,health,7,rank 7,16,rank 16
Argentina,0.0,0.0,qwen,health,8,rank 8,5,rank 5
Brazil,-0.03280423280423693,-0.014285714285720836,ministral,health,3,rank 3,4,rank 4
Canada,0.015873015873019362,0.022222222222226473,ministral,health,1,rank 1,1,rank 1
China,-0.12275132275134608,-0.09894179894181737,ministral,health,13,rank 13,18,rank 18
Egypt,-0.15449735449735688,-0.06984126984127205,ministral,health,16,rank 16,15,rank 15
France,-0.037037037037035855,-0.025925925925927164,ministral,health,5,rank 5,6,rank 6
Germany,-0.05343915343915356,-0.027513227513224645,ministral,health,6,tied for rank 6,8,rank 8
India,-0.08253968253967314,-0.062433862433856124,ministral,health,10,tied for rank 10,12,rank 12
Italy,-0.07460317460317262,-0.04444444444444654,ministral,health,8,rank 8,9,tied for rank 9
Japan,-0.05343915343915578,-0.06560846560846771,ministral,health,6,tied for rank 6,13,rank 13
Kenya,-0.1031746031745914,-0.023809523809522844,ministral,health,11,tied for rank 11,5,rank 5
Mexico,-0.03597883597883743,-0.02698412698412646,ministral,health,4,rank 4,7,rank 7
Morocco,-0.1285714285714337,-0.0830687830687876,ministral,health,14,tied for rank 14,17,rank 17
Nigeria,-0.12857142857143108,-0.04973544973545038,ministral,health,14,tied for rank 14,10,rank 10
Pakistan,-0.152380952380959,-0.10582010582011132,ministral,health,15,rank 15,19,rank 19
Poland,-0.1031746031746198,-0.06878306878308381,ministral,health,11,tied for rank 11,14,rank 14
South Africa,-0.08148148148148236,-0.013227513227517005,ministral,health,9,rank 9,3,rank 3
South Korea,-0.08253968253967897,-0.05978835978835689,ministral,health,10,tied for rank 10,11,rank 11
Turkey,-0.10529100529100067,-0.08095238095237561,ministral,health,12,rank 12,16,rank 16
USA,-0.060846560846578246,-0.044444444444461606,ministral,health,7,rank 7,9,tied for rank 9
Argentina,0.0,0.0,ministral,health,2,rank 2,2,rank 2
