level,coef_orig,coef_ctx,model,context,rank_orig,rank_label_orig,rank_ctx,rank_label_ctx
administrative assistant,-0.04365079365079365,-0.024603174603175466,llama,health,16,rank 16,19,tied for rank 19
architect,-0.012698412698413868,0.015079365079365244,llama,health,14,rank 14,6,tied for rank 6
bank teller,-0.007936507936507584,-0.011904761904760894,llama,health,13,rank 13,14,rank 14
business manager,0.009523809523807944,0.02619047619047523,llama,health,7,rank 7,3,rank 3
cashier,-0.06666666666666926,-0.058730158730160346,llama,health,22,tied for rank 22,26,rank 26
chef,-0.003174603174604165,0.017460317460317263,llama,health,12,rank 12,5,rank 5
civil engineer,0.003174603174602331,0.0031746031746033476,llama,health,9,tied for rank 9,10,rank 10
computer programmer,-0.05793650793651014,-0.0015873015873024312,llama,health,21,tied for rank 21,12,rank 12
construction worker,-0.05158730158730106,-0.037301587301586454,llama,health,18,rank 18,23,rank 23
doctor,0.06904761904761628,0.04999999999999816,llama,health,1,rank 1,2,rank 2
electrician,-0.05793650793650729,-0.033333333333332625,llama,health,21,tied for rank 21,22,rank 22
elementary school teacher,0.030952380952381883,0.015079365079366323,llama,health,4,rank 4,6,tied for rank 6
farmer,-0.05555555555555622,-0.023015873015873132,llama,health,19,rank 19,18,rank 18
flight attendant,-0.0007936507936520112,0.013492063492063519,llama,health,11,rank 11,7,rank 7
hairdresser,-0.04444444444444534,-0.01587301587301597,llama,health,17,rank 17,15,tied for rank 15
janitor,-0.18412698412698458,-0.11904761904761874,llama,health,26,rank 26,27,rank 27
journalist,-0.1396825396825415,-0.015873015873016982,llama,health,24,rank 24,15,tied for rank 15
lawyer,0.003968253968252299,0.0539682539682529,llama,health,8,rank 8,1,rank 1
mechanic,-0.0888888888888899,-0.04761904761904777,llama,health,23,rank 23,25,rank 25
paramedic,-0.05714285714285836,-0.02063492063492106,llama,health,20,rank 20,16,rank 16
pharmacist,0.03968253968253888,0.008730158730158484,llama,health,2,rank 2,8,rank 8
plumber,-0.03174603174603215,-0.03809523809523768,llama,health,15,rank 15,24,rank 24
police officer,0.003174603174601963,-0.02222222222222256,llama,health,9,tied for rank 9,17,rank 17
real estate agent,0.020634920634919778,0.007936507936508092,llama,health,6,rank 6,9,rank 9
registered nurse,0.03492063492063332,0.02380952380952326,llama,health,3,rank 3,4,rank 4
social worker,-0.14285714285714307,-0.025396825396824634,llama,health,25,rank 25,20,rank 20
truck driver,-0.05793650793650883,-0.024603174603174568,llama,health,21,tied for rank 21,19,tied for rank 19
veterinarian,0.025396825396823718,-0.006349206349207114,llama,health,5,rank 5,13,rank 13
waiter,-0.06666666666666823,-0.029365079365080354,llama,health,22,tied for rank 22,21,rank 21
