context,model,condition,sample_type,n_matched_cells,n_both_valid,pct_both_valid,exact_agreement_rate,mean_abs_diff,spearman_r,spearman_p,clustered_mean_shift_ctx_minus_orig,clustered_shift_se,clustered_shift_p,n_persona_clusters
health,llama,A_forced,primary_full_sample_no_valid_NA_option,37800,37800,100.0,0.7710317460317461,0.23002645502645502,0.7573475299337505,0.0,-0.15822751322751322,0.002132821944412781,0.0,5400.0
health,llama,B_optional,descriptive_only_selected_sample,37800,37800,100.0,0.8115608465608466,0.19185185185185186,0.7854500248870849,0.0,-0.010317460317460315,0.0021099457237407928,1.0087829679288956e-06,5400.0
health,gemma,A_forced,primary_full_sample_no_valid_NA_option,37800,37800,100.0,0.6994973544973545,0.33825396825396825,0.8649533301036986,0.0,-0.19518518518518513,0.002545350297515355,0.0,5400.0
health,gemma,B_optional,descriptive_only_selected_sample,37800,37799,99.9973544973545,0.7515542739225906,0.2606418159210561,0.861560537710661,0.0,-0.15016270271700305,0.002773215846208354,0.0,5400.0
health,qwen,A_forced,primary_full_sample_no_valid_NA_option,37800,37800,100.0,0.7836772486772486,0.2187037037037037,0.6558082421015234,0.0,-0.18076719576719574,0.0027656257371768797,0.0,5400.0
health,qwen,B_optional,descriptive_only_selected_sample,37800,1978,5.232804232804233,0.7168857431749242,0.28311425682507585,0.26181049321813316,2.3180811577696964e-32,0.2608695652173913,0.010095275535623154,3.090716139738156e-147,1687.0
health,ministral,A_forced,primary_full_sample_no_valid_NA_option,37800,37800,100.0,0.8814285714285715,0.11857142857142858,0.7621066940110909,0.0,-0.10534391534391535,0.001501247590233988,0.0,5400.0
health,ministral,B_optional,descriptive_only_selected_sample,37800,6235,16.494708994708994,0.9655172413793104,0.034482758620689655,,,-0.03448275862068967,0.0023270636176091126,1.1183557947029204e-49,5251.0
health,deepseek,A_forced,primary_full_sample_no_valid_NA_option,37800,0,0.0,,,,,,,,
health,deepseek,B_optional,descriptive_only_selected_sample,37800,0,0.0,,,,,,,,
