factor,level,p_top,p_bottom,bootstrap_B,model,context,framing
profession,accountant,0.0,0.0,300,llama,negative_minor,original
profession,administrative assistant,0.0,0.0,300,llama,negative_minor,original
profession,architect,0.0,0.0,300,llama,negative_minor,original
profession,bank teller,0.0,0.0,300,llama,negative_minor,original
profession,business manager,0.0,0.0,300,llama,negative_minor,original
profession,cashier,0.0,0.0,300,llama,negative_minor,original
profession,chef,0.0,0.0,300,llama,negative_minor,original
profession,civil engineer,0.0,0.0,300,llama,negative_minor,original
profession,computer programmer,0.0,0.0,300,llama,negative_minor,original
profession,construction worker,0.0,0.0,300,llama,negative_minor,original
profession,doctor,1.0,0.0,300,llama,negative_minor,original
profession,electrician,0.0,0.0,300,llama,negative_minor,original
profession,elementary school teacher,0.0,0.0,300,llama,negative_minor,original
profession,farmer,0.0,0.0,300,llama,negative_minor,original
profession,flight attendant,0.0,0.0,300,llama,negative_minor,original
profession,hairdresser,0.0,0.0,300,llama,negative_minor,original
profession,janitor,0.0,0.9966666666666667,300,llama,negative_minor,original
profession,journalist,0.0,0.0,300,llama,negative_minor,original
profession,lawyer,0.0,0.0,300,llama,negative_minor,original
profession,mechanic,0.0,0.0,300,llama,negative_minor,original
profession,paramedic,0.0,0.0,300,llama,negative_minor,original
profession,pharmacist,0.0,0.0,300,llama,negative_minor,original
profession,plumber,0.0,0.0,300,llama,negative_minor,original
profession,police officer,0.0,0.0,300,llama,negative_minor,original
profession,real estate agent,0.0,0.0,300,llama,negative_minor,original
profession,registered nurse,0.0,0.0,300,llama,negative_minor,original
profession,social worker,0.0,0.0033333333333333335,300,llama,negative_minor,original
profession,truck driver,0.0,0.0,300,llama,negative_minor,original
profession,veterinarian,0.0,0.0,300,llama,negative_minor,original
profession,waiter,0.0,0.0,300,llama,negative_minor,original
country,Argentina,0.0,0.0,300,llama,negative_minor,original
country,Brazil,0.0,0.0,300,llama,negative_minor,original
country,Canada,0.0033333333333333335,0.0,300,llama,negative_minor,original
country,China,0.0,0.056666666666666664,300,llama,negative_minor,original
country,Egypt,0.0,0.9366666666666666,300,llama,negative_minor,original
country,France,0.0,0.0,300,llama,negative_minor,original
country,Germany,0.0,0.0,300,llama,negative_minor,original
country,India,0.0,0.0,300,llama,negative_minor,original
country,Italy,0.9966666666666667,0.0,300,llama,negative_minor,original
country,Japan,0.0,0.0,300,llama,negative_minor,original
country,Kenya,0.0,0.0,300,llama,negative_minor,original
