level,coef_orig,coef_ctx,model,context,rank_orig,rank_label_orig,rank_ctx,rank_label_ctx
Germany,-0.019047619047618855,-0.022222222222221776,llama,negative_minor,2,rank 2,2,rank 2
Nigeria,-0.08888888888888889,-0.1365079365079363,llama,negative_minor,4,rank 4,4,rank 4
South Korea,-0.07936507936507801,-0.10158730158730005,llama,negative_minor,3,rank 3,3,rank 3
Brazil,0.0,0.0,llama,negative_minor,1,rank 1,1,rank 1
Germany,-0.08888888888888834,-0.13968253968253877,gemma,negative_minor,2,rank 2,3,rank 3
Nigeria,-0.17777777777777745,-0.02539682539682466,gemma,negative_minor,4,rank 4,2,rank 2
South Korea,-0.14285714285714135,-0.17142857142856963,gemma,negative_minor,3,rank 3,4,rank 4
Brazil,0.0,0.0,gemma,negative_minor,1,rank 1,1,rank 1
Germany,0.04444444444444483,-0.00634920634920573,qwen,negative_minor,1,rank 1,3,rank 3
Nigeria,0.009523809523810071,0.06984126984127059,qwen,negative_minor,3,rank 3,1,rank 1
South Korea,0.01904761904762039,-0.015873015873014568,qwen,negative_minor,2,rank 2,4,rank 4
Brazil,0.0,0.0,qwen,negative_minor,4,rank 4,2,rank 2
Germany,-0.01587301587301527,-0.01269841269841224,ministral,negative_minor,2,rank 2,2,tied for rank 2
Nigeria,-0.08888888888888831,-0.012698412698412098,ministral,negative_minor,4,rank 4,2,tied for rank 2
South Korea,-0.041269841269839756,-0.022222222222220932,ministral,negative_minor,3,rank 3,3,rank 3
Brazil,0.0,0.0,ministral,negative_minor,1,rank 1,1,rank 1
