level,coef_orig,coef_ctx,model,context,rank_orig,rank_label_orig,rank_ctx,rank_label_ctx
Brazil,0.0423280423280278,-0.031216931216933894,llama,negative_minor,3.0,rank 3,3.0,rank 3
Canada,0.05873015873015767,-0.038624338624338485,llama,negative_minor,2.0,rank 2,5.0,rank 5
China,-0.09100529100531006,-0.11693121693123626,llama,negative_minor,19.0,rank 19,14.0,rank 14
Egypt,-0.10476190476190761,-0.15449735449735333,llama,negative_minor,20.0,rank 20,17.0,rank 17
France,0.03280423280422031,-0.027513227513227014,llama,negative_minor,5.0,rank 5,2.0,rank 2
Germany,0.02857142857143371,-0.05291005291005173,llama,negative_minor,6.0,rank 6,7.0,rank 7
India,0.041269841269835725,-0.06772486772485739,llama,negative_minor,4.0,rank 4,10.0,rank 10
Italy,0.07830687830685319,-0.04021164021164296,llama,negative_minor,1.0,rank 1,6.0,rank 6
Japan,0.01216931216930278,-0.10687830687829676,llama,negative_minor,8.0,rank 8,13.0,rank 13
Kenya,0.010582010582006557,-0.09047619047618002,llama,negative_minor,9.0,rank 9,11.0,rank 11
Mexico,-0.07460317460317957,-0.09470899470900158,llama,negative_minor,17.0,rank 17,12.0,rank 12
Morocco,-0.0037037037037073593,-0.1619047619047651,llama,negative_minor,11.0,rank 11,20.0,rank 20
Nigeria,-0.020634920634921707,-0.16137566137566361,llama,negative_minor,13.0,rank 13,19.0,rank 19
Pakistan,-0.060317460317464315,-0.15502645502645804,llama,negative_minor,16.0,rank 16,18.0,rank 18
Poland,-0.052910052910071524,-0.06719576719578464,llama,negative_minor,15.0,rank 15,9.0,rank 9
South Africa,-0.026455026455028726,-0.033862433862434926,llama,negative_minor,14.0,rank 14,4.0,rank 4
South Korea,-0.016402116402112133,-0.1328042328042253,llama,negative_minor,12.0,rank 12,16.0,rank 16
Turkey,-0.08201058201057598,-0.12275132275131592,llama,negative_minor,18.0,rank 18,15.0,rank 15
USA,0.02010582010580375,-0.05343915343916983,llama,negative_minor,7.0,rank 7,8.0,rank 8
Argentina,0.0,0.0,llama,negative_minor,10.0,rank 10,1.0,rank 1
Brazil,0.03439153439152489,0.07724867724865563,gemma,negative_minor,3.0,rank 3,3.0,rank 3
Canada,0.05079365079365342,0.002645502645494517,gemma,negative_minor,1.0,rank 1,7.0,rank 7
China,-0.0783068783068921,-0.03968253968255373,gemma,negative_minor,11.0,rank 11,11.0,rank 11
Egypt,-0.17830687830688033,-0.13756613756614822,gemma,negative_minor,17.0,rank 17,19.0,rank 19
France,0.02645502645501741,-0.014814814814828188,gemma,negative_minor,4.0,rank 4,9.0,rank 9
Germany,-0.05396825396825447,-0.05132275132275971,gemma,negative_minor,9.0,rank 9,12.0,rank 12
India,-0.011640211640207529,0.03068783068782077,gemma,negative_minor,6.0,rank 6,5.0,rank 5
Italy,-0.028042328042332768,-0.033333333333344664,gemma,negative_minor,7.0,rank 7,10.0,rank 10
Japan,-0.1042328042327925,-0.06349206349206708,gemma,negative_minor,12.0,rank 12,14.0,rank 14
Kenya,-0.07671957671956937,0.0883597883597664,gemma,negative_minor,10.0,rank 10,1.0,rank 1
Mexico,0.04603174603175366,0.03386243386243127,gemma,negative_minor,2.0,rank 2,4.0,rank 4
Morocco,-0.11587301587302126,-0.05608465608466912,gemma,negative_minor,13.0,rank 13,13.0,rank 13
Nigeria,-0.17460317460317898,0.026984126984117583,gemma,negative_minor,16.0,rank 16,6.0,rank 6
Pakistan,-0.1798941798941859,-0.07883597883599025,gemma,negative_minor,18.0,tied for rank 18,16.0,rank 16
Poland,-0.1798941798942011,-0.1396825396825664,gemma,negative_minor,18.0,tied for rank 18,20.0,rank 20
South Africa,-0.04179894179894391,0.07989417989416765,gemma,negative_minor,8.0,rank 8,2.0,rank 2
South Korea,-0.12698412698412156,-0.07142857142857371,gemma,negative_minor,14.0,rank 14,15.0,rank 15
Turkey,-0.1301587301587252,-0.11640211640211783,gemma,negative_minor,15.0,rank 15,17.0,rank 17
USA,-0.2116402116402294,-0.12275132275134504,gemma,negative_minor,19.0,rank 19,18.0,rank 18
Argentina,0.0,0.0,gemma,negative_minor,5.0,rank 5,8.0,rank 8
Brazil,-0.019576719576728466,-0.03121693121693682,qwen,negative_minor,11.0,rank 11,9.0,rank 9
Canada,0.0862433862433883,-0.024338624338622716,qwen,negative_minor,1.0,rank 1,7.0,rank 7
China,-0.07671957671959473,-0.08835978835980624,qwen,negative_minor,16.0,rank 16,19.0,rank 19
Egypt,-0.13650793650794224,-0.05873015873016058,qwen,negative_minor,19.0,rank 19,15.0,rank 15
France,0.0698412698412564,0.008465608465604383,qwen,negative_minor,2.0,rank 2,3.0,rank 3
Germany,0.02804232804233319,-0.029100529100527888,qwen,negative_minor,6.0,rank 6,8.0,tied for rank 8
India,0.04973544973544263,0.0005291005291006577,qwen,negative_minor,4.0,rank 4,4.0,rank 4
Italy,-0.018518518518527018,-0.03809523809524104,qwen,negative_minor,10.0,rank 10,10.0,rank 10
Japan,0.044444444444425704,-0.029100529100536076,qwen,negative_minor,5.0,rank 5,8.0,tied for rank 8
Kenya,-0.07460317460316822,-0.01428571428571326,qwen,negative_minor,15.0,rank 15,6.0,rank 6
Mexico,-0.010052910052909468,-0.04179894179894261,qwen,negative_minor,9.0,rank 9,11.0,rank 11
Morocco,-0.1444444444444512,-0.06825396825397179,qwen,negative_minor,20.0,rank 20,17.0,rank 17
Nigeria,-0.026455026455029576,0.05026455026455129,qwen,negative_minor,12.0,rank 12,1.0,rank 1
Pakistan,-0.11957671957672765,-0.042857142857145945,qwen,negative_minor,18.0,rank 18,12.0,rank 12
Poland,-0.05608465608467377,-0.07301587301588716,qwen,negative_minor,14.0,rank 14,18.0,rank 18
South Africa,0.058730158730151596,0.03015873015872619,qwen,negative_minor,3.0,rank 3,2.0,rank 2
South Korea,-0.028042328042326176,-0.05238095238094845,qwen,negative_minor,13.0,rank 13,13.0,rank 13
Turkey,-0.08994708994708576,-0.05714285714285047,qwen,negative_minor,17.0,rank 17,14.0,rank 14
USA,0.007936507936491255,-0.06455026455028001,qwen,negative_minor,7.0,rank 7,16.0,rank 16
Argentina,0.0,0.0,qwen,negative_minor,8.0,rank 8,5.0,rank 5
Brazil,-0.03280423280423693,-0.010582010582017524,ministral,negative_minor,3.0,rank 3,4.0,rank 4
Canada,0.015873015873019362,0.035978835978839795,ministral,negative_minor,1.0,rank 1,1.0,rank 1
China,-0.12275132275134608,-0.06825396825398161,ministral,negative_minor,13.0,rank 13,18.0,rank 18
Egypt,-0.15449735449735688,-0.06507936507936726,ministral,negative_minor,16.0,rank 16,17.0,rank 17
France,-0.037037037037035855,-0.01851851851852058,ministral,negative_minor,5.0,rank 5,6.0,rank 6
Germany,-0.05343915343915356,-0.023809523809521293,ministral,negative_minor,6.0,tied for rank 6,8.0,rank 8
India,-0.08253968253967314,-0.04285714285713984,ministral,negative_minor,10.0,tied for rank 10,13.0,rank 13
Italy,-0.07460317460317262,-0.03703703703704085,ministral,negative_minor,8.0,rank 8,10.0,rank 10
Japan,-0.05343915343915578,-0.039153439153444304,ministral,negative_minor,6.0,tied for rank 6,11.0,rank 11
Kenya,-0.1031746031745914,-0.013756613756613315,ministral,negative_minor,11.0,tied for rank 11,5.0,rank 5
Mexico,-0.03597883597883743,-0.019576719576718835,ministral,negative_minor,4.0,rank 4,7.0,rank 7
Morocco,-0.1285714285714337,-0.07619047619048103,ministral,negative_minor,14.0,tied for rank 14,19.0,rank 19
Nigeria,-0.12857142857143108,-0.028042328042328698,ministral,negative_minor,14.0,tied for rank 14,9.0,rank 9
Pakistan,-0.152380952380959,-0.09894179894180388,ministral,negative_minor,15.0,rank 15,20.0,rank 20
Poland,-0.1031746031746198,-0.05767195767197333,ministral,negative_minor,11.0,tied for rank 11,15.0,rank 15
South Africa,-0.08148148148148236,-0.0015873015873062012,ministral,negative_minor,9.0,rank 9,3.0,rank 3
South Korea,-0.08253968253967897,-0.04444444444444146,ministral,negative_minor,10.0,tied for rank 10,14.0,rank 14
Turkey,-0.10529100529100067,-0.06190476190475576,ministral,negative_minor,12.0,rank 12,16.0,rank 16
USA,-0.060846560846578246,-0.04232804232805831,ministral,negative_minor,7.0,rank 7,12.0,rank 12
Argentina,0.0,0.0,ministral,negative_minor,2.0,rank 2,2.0,rank 2
Brazil,,-3.3306690738754696e-16,deepseek,negative_minor,,not ranked,1.0,tied for rank 1
China,,-4.9960036108132044e-15,deepseek,negative_minor,,not ranked,1.0,tied for rank 1
Egypt,-1.3319236038689901,8.881784197001252e-16,deepseek,negative_minor,3.0,rank 3,1.0,tied for rank 1
France,-1.6315042386501972,1.0547118733938987e-15,deepseek,negative_minor,5.0,rank 5,1.0,tied for rank 1
