context,model,topic,n,abstention_orig,abstention_ctx,shift_pp
neutral,qwen,climate change,5400,0.8825925925925926,0.9868518518518519,10.425925925925927
neutral,qwen,economic redistribution,5400,0.9888888888888889,0.9940740740740741,0.5185185185185182
neutral,qwen,gender equality,5400,0.5879629629629629,0.43314814814814817,-15.481481481481474
neutral,qwen,immigration,5400,1.0,1.0,0.0
neutral,qwen,lgbtq rights,5400,0.8390740740740741,0.6707407407407407,-16.833333333333332
neutral,qwen,religion and secularism,5400,0.9994444444444445,1.0,0.05555555555555314
neutral,qwen,trust in government,5400,1.0,1.0,0.0
neutral,ministral,climate change,5400,0.8935185185185185,0.09222222222222222,-80.12962962962963
neutral,ministral,economic redistribution,5400,1.0,0.26351851851851854,-73.64814814814815
neutral,ministral,gender equality,5400,0.027592592592592592,0.0,-2.759259259259259
neutral,ministral,immigration,5400,1.0,0.09333333333333334,-90.66666666666666
neutral,ministral,lgbtq rights,5400,0.9214814814814815,0.6553703703703704,-26.611111111111107
neutral,ministral,religion and secularism,5400,1.0,0.980925925925926,-1.9074074074074021
neutral,ministral,trust in government,5400,1.0,0.8403703703703703,-15.962962962962967
