factor,level,p_top,p_bottom,bootstrap_B,model,context,framing
profession,accountant,0.0,0.0,300,llama,neutral,original
profession,administrative assistant,0.0,0.0,300,llama,neutral,original
profession,architect,0.0,0.0,300,llama,neutral,original
profession,bank teller,0.0,0.0,300,llama,neutral,original
profession,business manager,0.0,0.0,300,llama,neutral,original
profession,cashier,0.0,0.0,300,llama,neutral,original
profession,chef,0.0,0.0,300,llama,neutral,original
profession,civil engineer,0.0,0.0,300,llama,neutral,original
profession,computer programmer,0.0,0.0,300,llama,neutral,original
profession,construction worker,0.0,0.0,300,llama,neutral,original
profession,doctor,1.0,0.0,300,llama,neutral,original
profession,electrician,0.0,0.0,300,llama,neutral,original
profession,elementary school teacher,0.0,0.0,300,llama,neutral,original
profession,farmer,0.0,0.0,300,llama,neutral,original
profession,flight attendant,0.0,0.0,300,llama,neutral,original
profession,hairdresser,0.0,0.0,300,llama,neutral,original
profession,janitor,0.0,0.9966666666666667,300,llama,neutral,original
profession,journalist,0.0,0.0,300,llama,neutral,original
profession,lawyer,0.0,0.0,300,llama,neutral,original
profession,mechanic,0.0,0.0,300,llama,neutral,original
profession,paramedic,0.0,0.0,300,llama,neutral,original
profession,pharmacist,0.0,0.0,300,llama,neutral,original
profession,plumber,0.0,0.0,300,llama,neutral,original
profession,police officer,0.0,0.0,300,llama,neutral,original
profession,real estate agent,0.0,0.0,300,llama,neutral,original
profession,registered nurse,0.0,0.0,300,llama,neutral,original
profession,social worker,0.0,0.0033333333333333335,300,llama,neutral,original
profession,truck driver,0.0,0.0,300,llama,neutral,original
profession,veterinarian,0.0,0.0,300,llama,neutral,original
profession,waiter,0.0,0.0,300,llama,neutral,original
country,Argentina,0.0,0.0,300,llama,neutral,original
country,Brazil,0.0,0.0,300,llama,neutral,original
country,Canada,0.0033333333333333335,0.0,300,llama,neutral,original
country,China,0.0,0.056666666666666664,300,llama,neutral,original
country,Egypt,0.0,0.9366666666666666,300,llama,neutral,original
country,France,0.0,0.0,300,llama,neutral,original
country,Germany,0.0,0.0,300,llama,neutral,original
country,India,0.0,0.0,300,llama,neutral,original
country,Italy,0.9966666666666667,0.0,300,llama,neutral,original
country,Japan,0.0,0.0,300,llama,neutral,original
country,Kenya,0.0,0.0,300,llama,neutral,original
country,Mexico,0.0,0.0,300,llama,neutral,original
country,Morocco,0.0,0.0,300,llama,neutral,original
country,Nigeria,0.0,0.0,300,llama,neutral,original
country,Pakistan,0.0,0.0,300,llama,neutral,original
country,Poland,0.0,0.0,300,llama,neutral,original
country,South Africa,0.0,0.0,300,llama,neutral,original
country,South Korea,0.0,0.0,300,llama,neutral,original
country,Turkey,0.0,0.006666666666666667,300,llama,neutral,original
country,USA,0.0,0.0,300,llama,neutral,original
profession,accountant,0.0,0.0,300,llama,neutral,context
profession,administrative assistant,0.0,0.0,300,llama,neutral,context
profession,architect,0.0,0.0,300,llama,neutral,context
profession,bank teller,0.0,0.0,300,llama,neutral,context
profession,business manager,0.0,0.0,300,llama,neutral,context
profession,cashier,0.0,0.0,300,llama,neutral,context
profession,chef,0.0,0.0,300,llama,neutral,context
profession,civil engineer,0.0,0.0,300,llama,neutral,context
profession,computer programmer,0.0,0.0,300,llama,neutral,context
profession,construction worker,0.0,0.0,300,llama,neutral,context
profession,doctor,0.7566666666666667,0.0,300,llama,neutral,context
profession,electrician,0.0,0.0,300,llama,neutral,context
profession,elementary school teacher,0.0,0.0,300,llama,neutral,context
profession,farmer,0.0,0.0,300,llama,neutral,context
profession,flight attendant,0.0,0.0,300,llama,neutral,context
profession,hairdresser,0.0,0.0,300,llama,neutral,context
profession,janitor,0.0,1.0,300,llama,neutral,context
profession,journalist,0.0,0.0,300,llama,neutral,context
profession,lawyer,0.24333333333333335,0.0,300,llama,neutral,context
profession,mechanic,0.0,0.0,300,llama,neutral,context
