level,coef_orig,coef_ctx,model,context,rank_orig,rank_label_orig,rank_ctx,rank_label_ctx
Brazil,0.0423280423280278,-0.03227513227513634,llama,neutral,3,rank 3,3,rank 3
Canada,0.05873015873015767,-0.03809523809523837,llama,neutral,2,rank 2,4,rank 4
China,-0.09100529100531006,-0.12698412698414918,llama,neutral,19,rank 19,12,rank 12
Egypt,-0.10476190476190761,-0.16613756613756608,llama,neutral,20,rank 20,17,rank 17
France,0.03280423280422031,-0.021693121693123117,llama,neutral,5,rank 5,2,tied for rank 2
Germany,0.02857142857143371,-0.04761904761904654,llama,neutral,6,rank 6,6,rank 6
India,0.041269841269835725,-0.0899470899470786,llama,neutral,4,rank 4,9,rank 9
Italy,0.07830687830685319,-0.041269841269844176,llama,neutral,1,rank 1,5,rank 5
Japan,0.01216931216930278,-0.09047619047618308,llama,neutral,8,rank 8,10,tied for rank 10
Kenya,0.010582010582006557,-0.09047619047618018,llama,neutral,9,rank 9,10,tied for rank 10
Mexico,-0.07460317460317957,-0.0936507936508019,llama,neutral,17,rank 17,11,rank 11
Morocco,-0.0037037037037073593,-0.16402116402116793,llama,neutral,11,rank 11,16,rank 16
Nigeria,-0.020634920634921707,-0.15026455026455263,llama,neutral,13,rank 13,15,rank 15
Pakistan,-0.060317460317464315,-0.14814814814815216,llama,neutral,16,rank 16,14,rank 14
Poland,-0.052910052910071524,-0.06984126984128837,llama,neutral,15,rank 15,8,rank 8
South Africa,-0.026455026455028726,-0.021693121693124,llama,neutral,14,rank 14,2,tied for rank 2
South Korea,-0.016402116402112133,-0.1470899470899405,llama,neutral,12,rank 12,13,rank 13
Turkey,-0.08201058201057598,-0.17301587301586752,llama,neutral,18,rank 18,18,rank 18
USA,0.02010582010580375,-0.05608465608467306,llama,neutral,7,rank 7,7,rank 7
Argentina,0.0,0.0,llama,neutral,10,rank 10,1,rank 1
Brazil,0.03439153439152489,0.039682539682525726,gemma,neutral,3,rank 3,3,rank 3
Canada,0.05079365079365342,-0.07354497354498224,gemma,neutral,1,rank 1,12,rank 12
China,-0.0783068783068921,-0.0608465608465755,gemma,neutral,11,rank 11,10,rank 10
Egypt,-0.17830687830688033,-0.16296296296296955,gemma,neutral,17,rank 17,17,rank 17
France,0.02645502645501741,-0.03597883597884327,gemma,neutral,4,rank 4,7,rank 7
Germany,-0.05396825396825447,-0.1291005291005428,gemma,neutral,9,rank 9,16,rank 16
