level,coef_orig,coef_ctx,model,context,rank_orig,rank_label_orig,rank_ctx,rank_label_ctx
administrative assistant,-0.04365079365079365,-0.02857142857142973,llama,neutral,16,rank 16,25,rank 25
architect,-0.012698412698413868,0.07857142857143055,llama,neutral,14,rank 14,7,rank 7
bank teller,-0.007936507936507584,-0.023015873015872296,llama,neutral,13,rank 13,22,rank 22
business manager,0.009523809523807944,0.0619047619047603,llama,neutral,7,rank 7,8,rank 8
cashier,-0.06666666666666926,-0.07460317460317624,llama,neutral,22,tied for rank 22,29,rank 29
chef,-0.003174603174604165,0.008730158730158517,llama,neutral,12,rank 12,18,rank 18
civil engineer,0.003174603174602331,0.08015873015873173,llama,neutral,9,tied for rank 9,6,rank 6
computer programmer,-0.05793650793651014,0.05317460317460333,llama,neutral,21,tied for rank 21,10,rank 10
construction worker,-0.05158730158730106,-0.010317460317460635,llama,neutral,18,rank 18,20,rank 20
doctor,0.06904761904761628,0.12063492063491746,llama,neutral,1,rank 1,1,rank 1
electrician,-0.05793650793650729,0.027777777777777214,llama,neutral,21,tied for rank 21,17,rank 17
elementary school teacher,0.030952380952381883,0.09206349206349372,llama,neutral,4,rank 4,4,rank 4
farmer,-0.05555555555555622,-0.034920634920635116,llama,neutral,19,rank 19,27,rank 27
flight attendant,-0.0007936507936520112,0.03174603174603178,llama,neutral,11,rank 11,16,rank 16
hairdresser,-0.04444444444444534,-0.027777777777777866,llama,neutral,17,rank 17,24,rank 24
janitor,-0.18412698412698458,-0.11746031746031696,llama,neutral,26,rank 26,30,rank 30
journalist,-0.1396825396825415,0.04761904761904663,llama,neutral,24,rank 24,11,rank 11
lawyer,0.003968253968252299,0.1134920634920619,llama,neutral,8,rank 8,2,rank 2
mechanic,-0.0888888888888899,-0.025396825396825428,llama,neutral,23,rank 23,23,rank 23
paramedic,-0.05714285714285836,0.0380952380952382,llama,neutral,20,rank 20,15,rank 15
pharmacist,0.03968253968253888,0.040476190476190776,llama,neutral,2,rank 2,14,rank 14
plumber,-0.03174603174603215,-0.02063492063491988,llama,neutral,15,rank 15,21,rank 21
