context,model,condition,sample_type,n_matched_cells,n_both_valid,pct_both_valid,exact_agreement_rate,mean_abs_diff,spearman_r,spearman_p,clustered_mean_shift_ctx_minus_orig,clustered_shift_se,clustered_shift_p,n_persona_clusters
neutral,llama,A_forced,primary_full_sample_no_valid_NA_option,1260,1260,100.0,0.7849206349206349,0.2150793650793651,0.7656852409081725,2.399685586022784e-243,-0.11507936507936507,0.012022415282541447,1.04789301135522e-21,180.0
neutral,llama,B_optional,descriptive_only_selected_sample,1260,1260,100.0,0.819047619047619,0.18571428571428572,0.792383795284573,2.6200115739661378e-272,0.0015873015873015873,0.010736145055955739,0.8824639022454299,180.0
neutral,gemma,A_forced,primary_full_sample_no_valid_NA_option,1260,1260,100.0,0.7103174603174603,0.3325396825396825,0.8788539727018241,0.0,-0.1246031746031746,0.013127209782579771,2.266931887437414e-21,180.0
neutral,gemma,B_optional,descriptive_only_selected_sample,1260,1260,100.0,0.7968253968253968,0.20952380952380953,0.8833010002700389,0.0,-0.073015873015873,0.011777123086412671,5.653296484277363e-10,180.0
neutral,qwen,A_forced,primary_full_sample_no_valid_NA_option,1260,1260,100.0,0.8515873015873016,0.15158730158730158,0.7652156373725434,7.156284542783105e-243,-0.02142857142857143,0.01250672806935726,0.0866456861285797,180.0
neutral,qwen,B_optional,descriptive_only_selected_sample,1260,113,8.968253968253968,0.5663716814159292,0.4336283185840708,0.14800086891087783,0.11772209432137604,0.4336283185840708,0.04086317125608458,2.6287957771379834e-26,79.0
neutral,ministral,A_forced,primary_full_sample_no_valid_NA_option,1260,1260,100.0,0.9023809523809524,0.09761904761904762,0.8033355074457578,1.873671110977063e-285,0.005555555555555555,0.009237783190584735,0.5475770049948163,180.0
neutral,ministral,B_optional,descriptive_only_selected_sample,1260,209,16.58730158730159,1.0,0.0,,,0.0,0.0,,175.0
neutral,deepseek,A_forced,primary_full_sample_no_valid_NA_option,1260,0,0.0,,,,,,,,
neutral,deepseek,B_optional,descriptive_only_selected_sample,1260,0,0.0,,,,,,,,
