context,model,condition,sample_type,n_matched_cells,n_both_valid,pct_both_valid,exact_agreement_rate,mean_abs_diff,spearman_r,spearman_p,clustered_mean_shift_ctx_minus_orig,clustered_shift_se,clustered_shift_p,n_persona_clusters
neutral,llama,A_forced,primary_full_sample_no_valid_NA_option,37800,37800,100.0,0.7883862433862434,0.2128042328042328,0.759798902086018,0.0,-0.10608465608465609,0.0025766109788603075,0.0,5400.0
neutral,llama,B_optional,descriptive_only_selected_sample,37800,37800,100.0,0.817063492063492,0.18867724867724867,0.7821536225232394,0.0,0.015873015873015872,0.002106542427065011,4.879464792478543e-14,5400.0
neutral,gemma,A_forced,primary_full_sample_no_valid_NA_option,37800,37800,100.0,0.696931216931217,0.3415343915343915,0.8659015675036028,0.0,-0.14026455026455026,0.0025197494689820016,0.0,5400.0
neutral,gemma,B_optional,descriptive_only_selected_sample,37800,37798,99.994708994709,0.7925287052224985,0.21024921953542516,0.8814917686942669,0.0,-0.09653949944441506,0.0024474300658421312,0.0,5400.0
neutral,qwen,A_forced,primary_full_sample_no_valid_NA_option,37800,37800,100.0,0.8419576719576719,0.16,0.7389520901754154,0.0,-0.0685185185185185,0.002391111788910366,1.368821197016216e-180,5400.0
neutral,qwen,B_optional,descriptive_only_selected_sample,37800,2929,7.748677248677248,0.6326391259815637,0.3673608740184363,0.24239809418177993,1.9699460325253777e-40,0.3673608740184363,0.008288843044713903,0.0,2199.0
neutral,ministral,A_forced,primary_full_sample_no_valid_NA_option,37800,37800,100.0,0.8981481481481481,0.10185185185185185,0.7920329467071964,0.0,0.0028042328042328043,0.0018014256742945772,0.11954786586642648,5400.0
neutral,ministral,B_optional,descriptive_only_selected_sample,37800,6250,16.534391534391535,0.99904,0.00096,,,-0.00096,0.00039184212068989877,0.014286957612673214,5251.0
neutral,deepseek,A_forced,primary_full_sample_no_valid_NA_option,37800,0,0.0,,,,,,,,
neutral,deepseek,B_optional,descriptive_only_selected_sample,37800,0,0.0,,,,,,,,
