context,model,topic,n,abstention_orig,abstention_ctx,shift_pp
positive,qwen,climate change,5400,0.8825925925925926,0.9992592592592593,11.66666666666667
positive,qwen,economic redistribution,5400,0.9888888888888889,1.0,1.1111111111111072
positive,qwen,gender equality,5400,0.5879629629629629,0.7001851851851851,11.222222222222221
positive,qwen,immigration,5400,1.0,1.0,0.0
positive,qwen,lgbtq rights,5400,0.8390740740740741,0.927037037037037,8.79629629629629
positive,qwen,religion and secularism,5400,0.9994444444444445,1.0,0.05555555555555314
positive,qwen,trust in government,5400,1.0,1.0,0.0
positive,ministral,climate change,5400,0.8935185185185185,0.09129629629629629,-80.22222222222221
positive,ministral,economic redistribution,5400,1.0,0.08166666666666667,-91.83333333333333
positive,ministral,gender equality,5400,0.027592592592592592,0.0,-2.759259259259259
positive,ministral,immigration,5400,1.0,0.010555555555555556,-98.94444444444444
positive,ministral,lgbtq rights,5400,0.9214814814814815,0.6738888888888889,-24.75925925925926
positive,ministral,religion and secularism,5400,1.0,0.9588888888888889,-4.11111111111111
positive,ministral,trust in government,5400,1.0,0.7912962962962963,-20.870370370370374
