level,coef_orig,coef_ctx,model,context,rank_orig,rank_label_orig,rank_ctx,rank_label_ctx
Brazil,0.0423280423280278,-0.038624338624341205,llama,positive,3,rank 3,4,rank 4
Canada,0.05873015873015767,-0.04338624338624275,llama,positive,2,rank 2,7,rank 7
China,-0.09100529100531006,-0.11587301587303464,llama,positive,19,rank 19,15,rank 15
Egypt,-0.10476190476190761,-0.16402116402116232,llama,positive,20,rank 20,19,rank 19
France,0.03280423280422031,-0.02910052910052894,llama,positive,5,rank 5,2,rank 2
Germany,0.02857142857143371,-0.06031746031745999,llama,positive,6,rank 6,8,rank 8
India,0.041269841269835725,-0.0915343915343786,llama,positive,4,rank 4,12,rank 12
Italy,0.07830687830685319,-0.04074074074074255,llama,positive,1,rank 1,6,rank 6
Japan,0.01216931216930278,-0.08624338624337785,llama,positive,8,rank 8,11,rank 11
Kenya,0.010582010582006557,-0.0957671957671844,llama,positive,9,rank 9,13,rank 13
Mexico,-0.07460317460317957,-0.06137566137566497,llama,positive,17,rank 17,9,rank 9
Morocco,-0.0037037037037073593,-0.14708994708994985,llama,positive,11,rank 11,17,rank 17
Nigeria,-0.020634920634921707,-0.14444444444444676,llama,positive,13,rank 13,16,rank 16
Pakistan,-0.060317460317464315,-0.17037037037037508,llama,positive,16,rank 16,20,rank 20
Poland,-0.052910052910071524,-0.06772486772488585,llama,positive,15,rank 15,10,rank 10
South Africa,-0.026455026455028726,-0.030158730158732314,llama,positive,14,rank 14,3,rank 3
South Korea,-0.016402116402112133,-0.10740740740740087,llama,positive,12,rank 12,14,rank 14
Turkey,-0.08201058201057598,-0.15185185185184702,llama,positive,18,rank 18,18,rank 18
USA,0.02010582010580375,-0.039153439153455594,llama,positive,7,rank 7,5,rank 5
Argentina,0.0,0.0,llama,positive,10,rank 10,1,rank 1
Brazil,0.03439153439152489,0.00687830687829739,gemma,positive,3,rank 3,2,rank 2
Canada,0.05079365079365342,-0.09576719576720112,gemma,positive,1,rank 1,15,rank 15
China,-0.0783068783068921,-0.012169312169315402,gemma,positive,11,rank 11,5,rank 5
Egypt,-0.17830687830688033,-0.10899470899471309,gemma,positive,17,rank 17,17,rank 17
France,0.02645502645501741,-0.014285714285722537,gemma,positive,4,rank 4,6,rank 6
Germany,-0.05396825396825447,-0.08571428571429301,gemma,positive,9,rank 9,13,rank 13
India,-0.011640211640207529,-0.051851851851847805,gemma,positive,6,rank 6,10,rank 10
Italy,-0.028042328042332768,-0.024867724867733938,gemma,positive,7,rank 7,8,rank 8
Japan,-0.1042328042327925,-0.10634920634920043,gemma,positive,12,rank 12,16,rank 16
Kenya,-0.07671957671956937,-0.0010582010582060788,gemma,positive,10,rank 10,4,rank 4
Mexico,0.04603174603175366,-0.03121693121693711,gemma,positive,2,rank 2,9,rank 9
Morocco,-0.11587301587302126,-0.023280423280431978,gemma,positive,13,rank 13,7,rank 7
Nigeria,-0.17460317460317898,-0.07248677248677858,gemma,positive,16,rank 16,12,rank 12
Pakistan,-0.1798941798941859,-0.06719576719577502,gemma,positive,18,tied for rank 18,11,rank 11
Poland,-0.1798941798942011,-0.1365079365079599,gemma,positive,18,tied for rank 18,19,rank 19
South Africa,-0.04179894179894391,0.021164021164014075,gemma,positive,8,rank 8,1,rank 1
South Korea,-0.12698412698412156,-0.09365079365079228,gemma,positive,14,rank 14,14,rank 14
Turkey,-0.1301587301587252,-0.11269841269840936,gemma,positive,15,rank 15,18,rank 18
USA,-0.2116402116402294,-0.2015873015873204,gemma,positive,19,rank 19,20,rank 20
Argentina,0.0,0.0,gemma,positive,5,rank 5,3,rank 3
Brazil,-0.019576719576728466,-0.00952380952381758,qwen,positive,11,rank 11,9,rank 9
Canada,0.0862433862433883,0.02380952380952659,qwen,positive,1,rank 1,3,rank 3
China,-0.07671957671959473,-0.07460317460319041,qwen,positive,16,rank 16,19,rank 19
Egypt,-0.13650793650794224,-0.07089947089947397,qwen,positive,19,rank 19,18,rank 18
France,0.0698412698412564,0.013227513227508054,qwen,positive,2,rank 2,4,rank 4
Germany,0.02804232804233319,-0.008994708994706087,qwen,positive,6,rank 6,8,rank 8
India,0.04973544973544263,-0.003174603174604144,qwen,positive,4,rank 4,7,rank 7
Italy,-0.018518518518527018,-0.03703703703704053,qwen,positive,10,rank 10,13,rank 13
Japan,0.044444444444425704,0.00476190476189181,qwen,positive,5,rank 5,5,rank 5
Kenya,-0.07460317460316822,-0.019576719576719286,qwen,positive,15,rank 15,10,rank 10
Mexico,-0.010052910052909468,-0.028042328042328934,qwen,positive,9,rank 9,11,rank 11
Morocco,-0.1444444444444512,-0.03544973544973921,qwen,positive,20,rank 20,12,tied for rank 12
Nigeria,-0.026455026455029576,0.055555555555556226,qwen,positive,12,rank 12,1,rank 1
Pakistan,-0.11957671957672765,-0.05820105820106414,qwen,positive,18,rank 18,17,rank 17
Poland,-0.05608465608467377,-0.049735449735464156,qwen,positive,14,rank 14,15,rank 15
South Africa,0.058730158730151596,0.042328042328036816,qwen,positive,3,rank 3,2,rank 2
South Korea,-0.028042328042326176,-0.03544973544973277,qwen,positive,13,rank 13,12,tied for rank 12
Turkey,-0.08994708994708576,-0.052380952380945284,qwen,positive,17,rank 17,16,rank 16
USA,0.007936507936491255,-0.04550264550266059,qwen,positive,7,rank 7,14,rank 14
Argentina,0.0,0.0,qwen,positive,8,rank 8,6,rank 6
Brazil,-0.03280423280423693,-0.014814814814819286,ministral,positive,3,rank 3,5,rank 5
Canada,0.015873015873019362,0.022222222222227278,ministral,positive,1,rank 1,1,rank 1
China,-0.12275132275134608,-0.08677248677250078,ministral,positive,13,rank 13,16,rank 16
Egypt,-0.15449735449735688,-0.08306878306878342,ministral,positive,16,rank 16,15,rank 15
France,-0.037037037037035855,-0.04126984126983998,ministral,positive,5,rank 5,7,rank 7
Germany,-0.05343915343915356,-0.06455026455026426,ministral,positive,6,tied for rank 6,12,rank 12
India,-0.08253968253967314,-0.049206349206342065,ministral,positive,10,tied for rank 10,9,tied for rank 9
Italy,-0.07460317460317262,-0.049206349206349025,ministral,positive,8,rank 8,9,tied for rank 9
Japan,-0.05343915343915578,-0.05079365079365073,ministral,positive,6,tied for rank 6,10,rank 10
Kenya,-0.1031746031745914,-0.011111111111109023,ministral,positive,11,tied for rank 11,4,rank 4
Mexico,-0.03597883597883743,-0.00687830687830284,ministral,positive,4,rank 4,3,rank 3
Morocco,-0.1285714285714337,-0.07037037037037222,ministral,positive,14,tied for rank 14,13,rank 13
Nigeria,-0.12857142857143108,-0.017460317460316167,ministral,positive,14,tied for rank 14,6,rank 6
Pakistan,-0.152380952380959,-0.10000000000000162,ministral,positive,15,rank 15,19,rank 19
Poland,-0.1031746031746198,-0.09470899470901,ministral,positive,11,tied for rank 11,17,rank 17
South Africa,-0.08148148148148236,-0.04603174603174566,ministral,positive,9,rank 9,8,rank 8
South Korea,-0.08253968253967897,-0.05925925925925385,ministral,positive,10,tied for rank 10,11,rank 11
Turkey,-0.10529100529100067,-0.07354497354496639,ministral,positive,12,rank 12,14,rank 14
USA,-0.060846560846578246,-0.09523809523810933,ministral,positive,7,rank 7,18,rank 18
Argentina,0.0,0.0,ministral,positive,2,rank 2,2,rank 2
