level,coef_orig,coef_ctx,model,context,rank_orig,rank_label_orig,rank_ctx,rank_label_ctx
farmer,-0.003968253968252179,-0.035714285714283985,llama,positive,4,tied for rank 4,4,rank 4
lawyer,0.0555555555555578,0.007936507936510049,llama,positive,2,rank 2,2,rank 2
registered nurse,0.08730158730158812,0.019841269841270655,llama,positive,1,rank 1,1,rank 1
truck driver,-0.0039682539682522125,1.6410484082740595e-15,llama,positive,4,tied for rank 4,3,tied for rank 3
computer programmer,0.0,0.0,llama,positive,3,rank 3,3,tied for rank 3
farmer,-0.003968253968252197,-0.011904761904759843,gemma,positive,4,rank 4,4,rank 4
lawyer,0.03968253968254194,0.03968253968254215,gemma,positive,2,rank 2,2,rank 2
registered nurse,0.12301587301587406,0.1428571428571439,gemma,positive,1,rank 1,1,rank 1
truck driver,-0.11111111111110916,-0.1428571428571411,gemma,positive,5,rank 5,5,rank 5
computer programmer,0.0,0.0,gemma,positive,3,rank 3,3,rank 3
farmer,-0.15079365079364918,-0.09126984126983981,qwen,positive,4,rank 4,4,rank 4
lawyer,0.2619047619047642,0.18650793650793857,qwen,positive,1,rank 1,1,rank 1
registered nurse,0.10714285714285787,0.07539682539682618,qwen,positive,2,rank 2,2,rank 2
truck driver,-0.29365079365079183,-0.14285714285714118,qwen,positive,5,rank 5,5,rank 5
computer programmer,0.0,0.0,qwen,positive,3,rank 3,3,rank 3
farmer,-0.10714285714285575,-0.11904761904761756,ministral,positive,4,rank 4,4,rank 4
lawyer,0.00793650793650975,-0.015873015873013974,ministral,positive,2,rank 2,3,rank 3
registered nurse,0.015873015873016656,0.027777777777778515,ministral,positive,1,rank 1,1,rank 1
truck driver,-0.13888888888888717,-0.23015873015872834,ministral,positive,5,rank 5,5,rank 5
computer programmer,0.0,0.0,ministral,positive,3,rank 3,2,rank 2
