level,coef_orig,coef_ctx,model,context,rank_orig,rank_label_orig,rank_ctx,rank_label_ctx
administrative assistant,-0.04365079365079365,-0.044444444444445265,llama,positive,16,rank 16,23,tied for rank 23
architect,-0.012698412698413868,-0.002380952380952062,llama,positive,14,rank 14,12,rank 12
bank teller,-0.007936507936507584,-0.030952380952379656,llama,positive,13,rank 13,19,tied for rank 19
business manager,0.009523809523807944,0.026190476190475626,llama,positive,7,rank 7,3,rank 3
cashier,-0.06666666666666926,-0.08412698412698531,llama,positive,22,tied for rank 22,25,rank 25
chef,-0.003174603174604165,0.003174603174603312,llama,positive,12,rank 12,10,rank 10
civil engineer,0.003174603174602331,0.010317460317460954,llama,positive,9,tied for rank 9,8,rank 8
computer programmer,-0.05793650793651014,-0.014285714285714696,llama,positive,21,tied for rank 21,15,rank 15
construction worker,-0.05158730158730106,-0.032539682539681376,llama,positive,18,rank 18,20,rank 20
doctor,0.06904761904761628,0.04920634920634805,llama,positive,1,rank 1,1,rank 1
electrician,-0.05793650793650729,-0.03095238095237988,llama,positive,21,tied for rank 21,19,tied for rank 19
elementary school teacher,0.030952380952381883,0.018253968253970045,llama,positive,4,rank 4,5,rank 5
farmer,-0.05555555555555622,-0.02619047619047575,llama,positive,19,rank 19,18,rank 18
flight attendant,-0.0007936507936520112,0.009523809523809934,llama,positive,11,rank 11,9,rank 9
hairdresser,-0.04444444444444534,-0.04206349206349165,llama,positive,17,rank 17,21,rank 21
janitor,-0.18412698412698458,-0.11904761904761813,llama,positive,26,rank 26,26,rank 26
journalist,-0.1396825396825415,-0.044444444444445015,llama,positive,24,rank 24,23,tied for rank 23
lawyer,0.003968253968252299,0.019047619047618678,llama,positive,8,rank 8,4,rank 4
mechanic,-0.0888888888888899,-0.04285714285714262,llama,positive,23,rank 23,22,rank 22
paramedic,-0.05714285714285836,-0.03095238095238095,llama,positive,20,rank 20,19,tied for rank 19
pharmacist,0.03968253968253888,0.014285714285714544,llama,positive,2,rank 2,6,rank 6
plumber,-0.03174603174603215,-0.0198412698412688,llama,positive,15,rank 15,17,rank 17
police officer,0.003174603174601963,-0.011111111111111086,llama,positive,9,tied for rank 9,14,tied for rank 14
real estate agent,0.020634920634919778,-0.0055555555555550015,llama,positive,6,rank 6,13,rank 13
registered nurse,0.03492063492063332,0.026984126984126743,llama,positive,3,rank 3,2,rank 2
social worker,-0.14285714285714307,-0.01111111111110986,llama,positive,25,rank 25,14,tied for rank 14
truck driver,-0.05793650793650883,-0.01666666666666614,llama,positive,21,tied for rank 21,16,rank 16
veterinarian,0.025396825396823718,0.013492063492063014,llama,positive,5,rank 5,7,rank 7
waiter,-0.06666666666666823,-0.06904761904761939,llama,positive,22,tied for rank 22,24,rank 24
accountant,0.0,0.0,llama,positive,10,rank 10,11,rank 11
administrative assistant,0.057936507936506315,0.06825396825396945,gemma,positive,15,rank 15,17,rank 17
architect,0.10396825396825675,0.17380952380953082,gemma,positive,9,rank 9,6,rank 6
bank teller,0.029365079365080933,0.002380952380955768,gemma,positive,19,rank 19,22,rank 22
business manager,0.043650793650792795,0.07539682539682645,gemma,positive,16,tied for rank 16,16,rank 16
cashier,0.014285714285713062,-0.07380952380952288,gemma,positive,21,rank 21,28,rank 28
chef,0.13650793650793677,0.14761904761905034,gemma,positive,5,rank 5,11,rank 11
civil engineer,0.08174603174603326,0.14523809523810058,gemma,positive,12,rank 12,12,rank 12
computer programmer,0.043650793650793926,0.08253968253968548,gemma,positive,16,tied for rank 16,15,rank 15
construction worker,-0.015079365079365158,-0.020634920634918237,gemma,positive,25,rank 25,25,rank 25
doctor,0.12619047619047188,0.22063492063491644,gemma,positive,6,rank 6,2,rank 2
