context,model,condition,sample_type,n_matched_cells,n_both_valid,pct_both_valid,exact_agreement_rate,mean_abs_diff,spearman_r,spearman_p,clustered_mean_shift_ctx_minus_orig,clustered_shift_se,clustered_shift_p,n_persona_clusters
positive,llama,A_forced,primary_full_sample_no_valid_NA_option,1260,1260,100.0,0.8452380952380952,0.15476190476190477,0.808600182938895,4.505978814961497e-292,-0.0880952380952381,0.010393577382392704,2.332082336672399e-17,180.0
positive,llama,B_optional,descriptive_only_selected_sample,1260,1260,100.0,0.8380952380952381,0.16904761904761906,0.7855821823751311,1.5460302355823868e-264,0.04365079365079365,0.011033406190731771,7.61389378462262e-05,180.0
positive,gemma,A_forced,primary_full_sample_no_valid_NA_option,1260,1260,100.0,0.6833333333333333,0.3603174603174603,0.8588883547164672,0.0,-0.05555555555555555,0.012653440805030006,1.1306468082477995e-05,180.0
positive,gemma,B_optional,descriptive_only_selected_sample,1260,1259,99.92063492063492,0.789515488482923,0.21286735504368545,0.8826930079480239,0.0,-0.06195393169181891,0.011987788004221699,2.3650218418510316e-07,180.0
positive,qwen,A_forced,primary_full_sample_no_valid_NA_option,1260,1260,100.0,0.8182539682539682,0.18412698412698414,0.7062382888454021,6.678077853244864e-191,-0.15396825396825398,0.013988010728290926,3.529598507378077e-28,180.0
positive,qwen,B_optional,descriptive_only_selected_sample,1260,63,5.0,0.746031746031746,0.25396825396825395,0.2862991671569341,0.02291980619431486,0.25396825396825395,0.056192225297213794,6.194682729088613e-06,60.0
positive,ministral,A_forced,primary_full_sample_no_valid_NA_option,1260,1260,100.0,0.8555555555555555,0.14444444444444443,0.706849678556629,2.2543189261063865e-191,0.0047619047619047615,0.01030944224974758,0.6441548853042078,180.0
positive,ministral,B_optional,descriptive_only_selected_sample,1260,209,16.58730158730159,1.0,0.0,,,0.0,0.0,,175.0
positive,deepseek,A_forced,primary_full_sample_no_valid_NA_option,1260,0,0.0,,,,,,,,
positive,deepseek,B_optional,descriptive_only_selected_sample,1260,0,0.0,,,,,,,,
