context,model,condition,sample_type,n_matched_cells,n_both_valid,pct_both_valid,exact_agreement_rate,mean_abs_diff,spearman_r,spearman_p,clustered_mean_shift_ctx_minus_orig,clustered_shift_se,clustered_shift_p,n_persona_clusters
positive,llama,A_forced,primary_full_sample_no_valid_NA_option,37800,37800,100.0,0.828941798941799,0.17232804232804233,0.7890663623776274,0.0,-0.07492063492063492,0.002373041440482641,9.071978435012282e-219,5400.0
positive,llama,B_optional,descriptive_only_selected_sample,37800,37800,100.0,0.8085449735449736,0.1971164021164021,0.7624545275338368,0.0,0.0467989417989418,0.0021684623631494965,2.673060447107817e-103,5400.0
positive,gemma,A_forced,primary_full_sample_no_valid_NA_option,37800,37800,100.0,0.6552645502645502,0.3868783068783069,0.8442512458277684,0.0,-0.06322751322751323,0.0025586176723486373,8.027957244450235e-135,5400.0
positive,gemma,B_optional,descriptive_only_selected_sample,37800,37762,99.8994708994709,0.7950850060907791,0.20679519093268364,0.8816610938284382,0.0,-0.0865685080239394,0.002372801480480591,2.0132282046609593e-291,5400.0
positive,qwen,A_forced,primary_full_sample_no_valid_NA_option,37800,37800,100.0,0.8026984126984127,0.19894179894179895,0.6810144881705833,0.0,-0.1855555555555555,0.002483001851349357,0.0,5400.0
positive,qwen,B_optional,descriptive_only_selected_sample,37800,1651,4.367724867724868,0.8201090248334343,0.17989097516656571,0.26440406436544045,8.252674132575217e-28,0.1338582677165354,0.009911372093169689,1.450790077144527e-41,1603.0
positive,ministral,A_forced,primary_full_sample_no_valid_NA_option,37800,37800,100.0,0.8544444444444445,0.14555555555555555,0.696301804727963,0.0,-0.0003703703703703702,0.0018115091691295897,0.837998703139462,5400.0
positive,ministral,B_optional,descriptive_only_selected_sample,37800,6248,16.52910052910053,0.9998399487836107,0.00016005121638924455,,,-0.00016005121638924463,0.00016003309491408353,0.317255711469524,5251.0
positive,deepseek,A_forced,primary_full_sample_no_valid_NA_option,37800,0,0.0,,,,,,,,
positive,deepseek,B_optional,descriptive_only_selected_sample,37800,0,0.0,,,,,,,,
