model,prompt_type,factor,partial_r2,chi2_cluster,p_cluster,n_rows,n_persona_clusters,dataset_scope,note
llama,original,gender,0.114982589452791,10145.728545585269,0.0,37800,5400,full_5400_persona,
llama,original,profession,0.0212290226986724,1714.7599912474657,0.0,37800,5400,full_5400_persona,
llama,original,country,0.0176645130909101,1640.9057299400008,0.0,37800,5400,full_5400_persona,
llama,original,age,0.0083692890792582,704.4880230453192,1.0528572989784392e-153,37800,5400,full_5400_persona,
gemma,original,country,0.0294683168207094,2921.2376805553,0.0,37800,5400,full_5400_persona,
gemma,original,gender,0.024128845094545,1689.915543355875,0.0,37800,5400,full_5400_persona,
gemma,original,profession,0.0175106804891732,1389.5379040351568,1.886101480490278e-274,37800,5400,full_5400_persona,
gemma,original,age,0.0027714316296578,220.0472272060973,1.649497771492473e-48,37800,5400,full_5400_persona,
qwen,original,profession,0.1407661494834708,8762.619943876118,0.0,37800,5400,full_5400_persona,
qwen,original,gender,0.0494259789949795,2644.7880360745976,0.0,37800,5400,full_5400_persona,
qwen,original,country,0.0358400558839857,2135.1604389580684,0.0,37800,5400,full_5400_persona,
qwen,original,age,0.0034597071456065,194.96751885209125,4.606183190249931e-43,37800,5400,full_5400_persona,
ministral,original,profession,0.0516233222774526,3840.133421179862,0.0,37800,5400,full_5400_persona,
ministral,original,gender,0.0396539640528234,3046.8594513809567,0.0,37800,5400,full_5400_persona,
ministral,original,country,0.030568638103591,2077.668614973975,0.0,37800,5400,full_5400_persona,
ministral,original,age,0.024790108755611,1822.3197185653864,0.0,37800,5400,full_5400_persona,
llama,health,profession,0.005550468751266117,21.334273958753613,0.000271822604207648,1260,180,pilot_180_persona,
llama,health,country,0.014945019664499523,71.76085609284755,1.7911923253902552e-15,1260,180,pilot_180_persona,
llama,health,gender,0.0363466476126165,201.7876568880037,1.5218331801303986e-44,1260,180,pilot_180_persona,
llama,health,age,7.332752144825418e-05,0.3574550458527209,0.8363337501263963,1260,180,pilot_180_persona,
gemma,health,profession,0.02199439186820881,67.68613395612661,6.986491523941672e-14,1260,180,pilot_180_persona,
