model,denominator,n,orig_rate,health_rate,shift_pp,cluster_se_pp,cluster_p,clusters
llama,all_rows_A_and_B,2520,0.0,0.0,0.0,0.0,,180
llama,condition_B_only,1260,0.0,0.0,0.0,0.0,,180
gemma,all_rows_A_and_B,2520,0.0,0.0,0.0,0.0,,180
gemma,condition_B_only,1260,0.0,0.0,0.0,0.0,,180
qwen,all_rows_A_and_B,2520,0.44087301587301586,0.4488095238095238,0.7936507936507936,0.4391301120987752,0.07071163310761228,180
qwen,condition_B_only,1260,0.8817460317460317,0.8976190476190476,1.5873015873015872,0.8782602241975492,0.07071163310761189,180
ministral,all_rows_A_and_B,2520,0.4170634920634921,0.24801587301587302,-16.904761904761905,0.6136420631478294,4.644879239463659e-167,180
ministral,condition_B_only,1260,0.8341269841269842,0.49603174603174605,-33.80952380952381,1.2272841262956575,4.6448792394565205e-167,180
deepseek,all_rows_A_and_B,2520,0.0,0.0,0.0,0.0,,180
deepseek,condition_B_only,1260,0.0,0.0,0.0,0.0,,180
