model,factor,level,adjusted_mean_orig,adjusted_mean_health
llama,profession,lawyer,3.7976190476190474,3.6468253968253967
llama,profession,registered nurse,3.8293650793650795,3.6031746031746033
llama,profession,truck driver,3.738095238095238,3.5714285714285716
llama,profession,farmer,3.738095238095238,3.5634920634920637
llama,profession,computer programmer,3.742063492063492,3.5912698412698414
llama,country,Germany,3.7968253968253967,3.6222222222222222
llama,country,Brazil,3.815873015873016,3.66031746031746
llama,country,Nigeria,3.726984126984127,3.5396825396825395
llama,country,South Korea,3.7365079365079366,3.5587301587301585
gemma,profession,lawyer,3.734126984126984,3.5436507936507935
gemma,profession,registered nurse,3.8174603174603177,3.6666666666666665
gemma,profession,truck driver,3.5833333333333335,3.380952380952381
gemma,profession,farmer,3.6904761904761907,3.484126984126984
gemma,profession,computer programmer,3.6944444444444446,3.5198412698412698
gemma,country,Germany,3.7174603174603176,3.473015873015873
gemma,country,Brazil,3.806349206349206,3.580952380952381
gemma,country,Nigeria,3.6285714285714286,3.5047619047619047
gemma,country,South Korea,3.6634920634920634,3.5174603174603174
qwen,profession,lawyer,3.6984126984126986,3.4166666666666665
qwen,profession,registered nurse,3.5436507936507935,3.384920634920635
qwen,profession,truck driver,3.142857142857143,3.0674603174603177
qwen,profession,farmer,3.2857142857142856,3.1904761904761907
qwen,profession,computer programmer,3.4365079365079363,3.2698412698412698
qwen,country,Germany,3.447619047619048,3.2825396825396824
qwen,country,Brazil,3.403174603174603,3.253968253968254
qwen,country,Nigeria,3.4126984126984126,3.320634920634921
qwen,country,South Korea,3.422222222222222,3.2063492063492065
ministral,profession,lawyer,3.4126984126984126,3.3055555555555554
ministral,profession,registered nurse,3.4206349206349205,3.3214285714285716
ministral,profession,truck driver,3.265873015873016,3.1468253968253967
ministral,profession,farmer,3.2976190476190474,3.234126984126984
ministral,profession,computer programmer,3.4047619047619047,3.3055555555555554
ministral,country,Germany,3.380952380952381,3.2698412698412698
ministral,country,Brazil,3.3968253968253967,3.2825396825396824
ministral,country,Nigeria,3.3079365079365077,3.253968253968254
ministral,country,South Korea,3.3555555555555556,3.2444444444444445
