model,condition,matched,both_valid,both_valid_pct,exact_agreement,mad,signed_mean_diff,spearman_r,cluster_mean,cluster_se,cluster_p,clusters
deepseek,A_forced,1260,0,0.0,,,,,,,,
deepseek,B_optional,1260,0,0.0,,,,,,,,
gemma,A_forced,1260,1260,100.0,0.7238095238095238,0.31825396825396823,-0.18492063492063493,0.8786103696946137,-0.18492063492063493,0.012210608200950839,8.267902681725834e-52,180.0
gemma,B_optional,1260,1260,100.0,0.7587301587301587,0.25793650793650796,-0.13412698412698412,0.8632284074736803,-0.13412698412698412,0.014376931837258576,1.0655325360708144e-20,180.0
llama,A_forced,1260,1260,100.0,0.7746031746031746,0.2261904761904762,-0.1738095238095238,0.7808011291471699,-0.1738095238095238,0.00936790454918877,7.609157299395233e-77,180.0
llama,B_optional,1260,1260,100.0,0.819047619047619,0.18174603174603174,-0.034126984126984124,0.8004831732574132,-0.034126984126984124,0.011162771504014157,0.0022340453128885996,180.0
ministral,A_forced,1260,1260,100.0,0.8801587301587301,0.11984126984126985,-0.09761904761904762,0.7656602933420145,-0.09761904761904762,0.008383065224980987,2.4391713323930193e-31,180.0
ministral,B_optional,1260,209,16.58730158730159,0.937799043062201,0.06220095693779904,-0.06220095693779904,,-0.06220095693779904,0.016965584595377937,0.0002460832800029866,175.0
qwen,A_forced,1260,1260,100.0,0.792063492063492,0.2111111111111111,-0.15555555555555556,0.6864045206466725,-0.15555555555555556,0.01604763400237897,3.217531090911558e-22,180.0
qwen,B_optional,1260,80,6.349206349206349,0.675,0.325,0.325,0.2182178902359924,0.325,0.049353143130860075,4.542931788762173e-11,63.0
