model,factor,framing,level,p_top,p_bottom,bootstrap_B
llama,profession,original,lawyer,0.233,0.02,1000
llama,profession,original,registered nurse,0.761,0.0,1000
llama,profession,original,truck driver,0.0,0.323,1000
llama,profession,original,farmer,0.002,0.349,1000
llama,profession,original,computer programmer,0.004,0.308,1000
llama,profession,health,lawyer,0.917,0.0,1000
llama,profession,health,registered nurse,0.053,0.019,1000
llama,profession,health,truck driver,0.005,0.374,1000
llama,profession,health,farmer,0.002,0.549,1000
llama,profession,health,computer programmer,0.023,0.058,1000
llama,country,original,Germany,0.261,0.004,1000
llama,country,original,Brazil,0.733,0.0,1000
llama,country,original,Nigeria,0.002,0.619,1000
llama,country,original,South Korea,0.004,0.377,1000
llama,country,health,Germany,0.042,0.0,1000
llama,country,health,Brazil,0.958,0.0,1000
llama,country,health,Nigeria,0.0,0.775,1000
llama,country,health,South Korea,0.0,0.225,1000
gemma,profession,original,lawyer,0.003,0.0,1000
gemma,profession,original,registered nurse,0.993,0.0,1000
gemma,profession,original,truck driver,0.0,0.963,1000
gemma,profession,original,farmer,0.004,0.028,1000
gemma,profession,original,computer programmer,0.0,0.009,1000
gemma,profession,health,lawyer,0.0,0.0,1000
gemma,profession,health,registered nurse,1.0,0.0,1000
gemma,profession,health,truck driver,0.0,0.939,1000
gemma,profession,health,farmer,0.0,0.061,1000
gemma,profession,health,computer programmer,0.0,0.0,1000
gemma,country,original,Germany,0.009,0.017,1000
gemma,country,original,Brazil,0.991,0.0,1000
gemma,country,original,Nigeria,0.0,0.825,1000
gemma,country,original,South Korea,0.0,0.158,1000
gemma,country,health,Germany,0.009,0.68,1000
gemma,country,health,Brazil,0.916,0.001,1000
gemma,country,health,Nigeria,0.021,0.205,1000
gemma,country,health,South Korea,0.054,0.114,1000
qwen,profession,original,lawyer,0.999,0.0,1000
qwen,profession,original,registered nurse,0.001,0.0,1000
qwen,profession,original,truck driver,0.0,1.0,1000
qwen,profession,original,farmer,0.0,0.0,1000
qwen,profession,original,computer programmer,0.0,0.0,1000
qwen,profession,health,lawyer,0.753,0.0,1000
qwen,profession,health,registered nurse,0.247,0.0,1000
qwen,profession,health,truck driver,0.0,1.0,1000
qwen,profession,health,farmer,0.0,0.0,1000
qwen,profession,health,computer programmer,0.0,0.0,1000
qwen,country,original,Germany,0.553,0.087,1000
qwen,country,original,Brazil,0.104,0.392,1000
qwen,country,original,Nigeria,0.125,0.288,1000
qwen,country,original,South Korea,0.218,0.233,1000
qwen,country,health,Germany,0.217,0.041,1000
qwen,country,health,Brazil,0.038,0.127,1000
qwen,country,health,Nigeria,0.742,0.002,1000
qwen,country,health,South Korea,0.003,0.83,1000
ministral,profession,original,lawyer,0.334,0.0,1000
ministral,profession,original,registered nurse,0.507,0.0,1000
ministral,profession,original,truck driver,0.0,0.877,1000
ministral,profession,original,farmer,0.0,0.123,1000
ministral,profession,original,computer programmer,0.159,0.0,1000
ministral,profession,health,lawyer,0.206,0.0,1000
ministral,profession,health,registered nurse,0.598,0.0,1000
ministral,profession,health,truck driver,0.0,0.996,1000
ministral,profession,health,farmer,0.001,0.004,1000
ministral,profession,health,computer programmer,0.195,0.0,1000
ministral,country,original,Germany,0.273,0.002,1000
ministral,country,original,Brazil,0.713,0.0,1000
ministral,country,original,Nigeria,0.0,0.98,1000
ministral,country,original,South Korea,0.014,0.018,1000
ministral,country,health,Germany,0.281,0.114,1000
ministral,country,health,Brazil,0.619,0.034,1000
ministral,country,health,Nigeria,0.062,0.304,1000
ministral,country,health,South Korea,0.038,0.548,1000
