model,stage,rows,personas
llama,original_full,75600,5400
llama,health_full,75600,5400
llama,original_pilot,2520,180
llama,health_pilot,2520,180
gemma,original_full,75600,5400
gemma,health_full,75600,5400
gemma,original_pilot,2520,180
gemma,health_pilot,2520,180
qwen,original_full,75600,5400
qwen,health_full,75600,5400
qwen,original_pilot,2520,180
qwen,health_pilot,2520,180
ministral,original_full,75600,5400
ministral,health_full,75600,5400
ministral,original_pilot,2520,180
ministral,health_pilot,2520,180
deepseek,original_full,75600,5400
deepseek,health_full,75600,5400
deepseek,original_pilot,2520,180
deepseek,health_pilot,2520,180
