model,condition,sample_type,n_matched_cells,n_both_valid,pct_both_valid,exact_agreement_rate,mean_abs_diff,spearman_r,spearman_p,clustered_mean_shift_health_minus_orig,clustered_shift_se,clustered_shift_p,n_persona_clusters
llama,A_forced,primary_full_sample_no_valid_NA_option,1260,1260,100.0,0.7746031746031746,0.2261904761904762,0.7808011291471699,3.04545311841428e-259,-0.1738095238095238,0.00936790454918876,7.609157299392627e-77,180.0
llama,B_optional,descriptive_only_selected_sample,1260,1260,100.0,0.819047619047619,0.18174603174603174,0.8004831732574132,5.960943068668427e-282,-0.03412698412698413,0.011162771504014147,0.002234045312888576,180.0
gemma,A_forced,primary_full_sample_no_valid_NA_option,1260,1260,100.0,0.7238095238095238,0.31825396825396823,0.8786103696946137,0.0,-0.18492063492063493,0.012210608200950828,8.267902681724183e-52,180.0
gemma,B_optional,descriptive_only_selected_sample,1260,1260,100.0,0.7587301587301587,0.25793650793650796,0.8632284074736803,0.0,-0.13412698412698412,0.014376931837258564,1.065532536070753e-20,180.0
qwen,A_forced,primary_full_sample_no_valid_NA_option,1260,1260,100.0,0.792063492063492,0.2111111111111111,0.6864045206466725,3.0945176750335092e-176,-0.15555555555555556,0.016047634002378953,3.217531090911281e-22,180.0
qwen,B_optional,descriptive_only_selected_sample,1260,80,6.349206349206349,0.675,0.325,0.2182178902359924,0.05182479862202855,0.32499999999999996,0.049353143130860075,4.542931788762222e-11,63.0
ministral,A_forced,primary_full_sample_no_valid_NA_option,1260,1260,100.0,0.8801587301587301,0.11984126984126985,0.7656602933420145,2.5432663152881114e-243,-0.09761904761904763,0.008383065224980977,2.4391713323925297e-31,180.0
ministral,B_optional,descriptive_only_selected_sample,1260,209,16.58730158730159,0.937799043062201,0.06220095693779904,,,-0.062200956937799035,0.01696558459537793,0.0002460832800029852,175.0
deepseek,A_forced,primary_full_sample_no_valid_NA_option,1260,0,0.0,,,,,,,,
deepseek,B_optional,descriptive_only_selected_sample,1260,0,0.0,,,,,,,,
