persona_id,country,profession,gender,age,topic,mean_rating,sd_across_models,consensus_rank,rating_llama,rating_gemma,rating_qwen,rating_ministral
P00001,Argentina,accountant,male,25,climate change,4.0,0.0,1,4,4,4.0,4.0
P01405,France,real estate agent,male,45,climate change,4.0,0.0,2,4,4,4.0,4.0
P03905,Pakistan,business manager,female,45,climate change,4.0,0.0,3,4,4,4.0,4.0
P03904,Pakistan,bank teller,female,45,climate change,4.0,0.0,4,4,4,4.0,4.0
P01405,France,real estate agent,male,45,religion and secularism,3.0,0.0,5,3,3,3.0,3.0
P01406,France,registered nurse,male,45,climate change,4.0,0.0,6,4,4,4.0,4.0
P01406,France,registered nurse,male,45,religion and secularism,3.0,0.0,7,3,3,3.0,3.0
P01407,France,social worker,male,45,climate change,4.0,0.0,8,4,4,4.0,4.0
P03902,Pakistan,administrative assistant,female,45,climate change,4.0,0.0,9,4,4,4.0,4.0
P01407,France,social worker,male,45,religion and secularism,3.0,0.0,10,3,3,3.0,3.0
P03901,Pakistan,accountant,female,45,climate change,4.0,0.0,11,4,4,4.0,4.0
P03900,Pakistan,waiter,female,25,climate change,4.0,0.0,12,4,4,4.0,4.0
P01408,France,truck driver,male,45,religion and secularism,3.0,0.0,13,3,3,3.0,3.0
P03899,Pakistan,veterinarian,female,25,climate change,4.0,0.0,14,4,4,4.0,4.0
P01409,France,veterinarian,male,45,climate change,4.0,0.0,15,4,4,4.0,4.0
P03897,Pakistan,social worker,female,25,economic redistribution,4.0,0.0,16,4,4,4.0,4.0
P01409,France,veterinarian,male,45,religion and secularism,3.0,0.0,17,3,3,3.0,3.0
P03897,Pakistan,social worker,female,25,climate change,4.0,0.0,18,4,4,4.0,4.0
P01404,France,police officer,male,45,climate change,4.0,0.0,19,4,4,4.0,4.0
P03907,Pakistan,chef,female,45,climate change,4.0,0.0,20,4,4,4.0,4.0
P01403,France,plumber,male,45,religion and secularism,3.0,0.0,21,3,3,3.0,3.0
P03909,Pakistan,computer programmer,female,45,climate change,4.0,0.0,22,4,4,4.0,4.0
P03919,Pakistan,lawyer,female,45,climate change,4.0,0.0,23,4,4,4.0,4.0
P03918,Pakistan,journalist,female,45,climate change,4.0,0.0,24,4,4,4.0,4.0
P01396,France,hairdresser,male,45,religion and secularism,3.0,0.0,25,3,3,3.0,3.0
P01397,France,janitor,male,45,religion and secularism,3.0,0.0,26,3,3,3.0,3.0
P01398,France,journalist,male,45,climate change,4.0,0.0,27,4,4,4.0,4.0
P03915,Pakistan,flight attendant,female,45,climate change,4.0,0.0,28,4,4,4.0,4.0
P01398,France,journalist,male,45,religion and secularism,3.0,0.0,29,3,3,3.0,3.0
P01399,France,lawyer,male,45,climate change,4.0,0.0,30,4,4,4.0,4.0
P01410,France,waiter,male,45,religion and secularism,3.0,0.0,31,3,3,3.0,3.0
P01399,France,lawyer,male,45,religion and secularism,3.0,0.0,32,3,3,3.0,3.0
P03912,Pakistan,electrician,female,45,climate change,4.0,0.0,33,4,4,4.0,4.0
P01400,France,mechanic,male,45,religion and secularism,3.0,0.0,34,3,3,3.0,3.0
P01401,France,paramedic,male,45,climate change,4.0,0.0,35,4,4,4.0,4.0
P03911,Pakistan,doctor,female,45,climate change,4.0,0.0,36,4,4,4.0,4.0
P01401,France,paramedic,male,45,religion and secularism,3.0,0.0,37,3,3,3.0,3.0
P03910,Pakistan,construction worker,female,45,climate change,4.0,0.0,38,4,4,4.0,4.0
P01402,France,pharmacist,male,45,climate change,4.0,0.0,39,4,4,4.0,4.0
P01402,France,pharmacist,male,45,religion and secularism,3.0,0.0,40,3,3,3.0,3.0
P03913,Pakistan,elementary school teacher,female,45,climate change,4.0,0.0,41,4,4,4.0,4.0
P01395,France,flight attendant,male,45,religion and secularism,3.0,0.0,42,3,3,3.0,3.0
P03896,Pakistan,registered nurse,female,25,climate change,4.0,0.0,43,4,4,4.0,4.0
P01411,France,accountant,male,65,religion and secularism,3.0,0.0,44,3,3,3.0,3.0
P01419,France,computer programmer,male,65,climate change,4.0,0.0,45,4,4,4.0,4.0
P03885,Pakistan,flight attendant,female,25,climate change,4.0,0.0,46,4,4,4.0,4.0
P01419,France,computer programmer,male,65,religion and secularism,3.0,0.0,47,3,3,3.0,3.0
P03883,Pakistan,elementary school teacher,female,25,climate change,4.0,0.0,48,4,4,4.0,4.0
P03882,Pakistan,electrician,female,25,climate change,4.0,0.0,49,4,4,4.0,4.0
P01421,France,doctor,male,65,climate change,4.0,0.0,50,4,4,4.0,4.0
P01421,France,doctor,male,65,religion and secularism,3.0,0.0,51,3,3,3.0,3.0
P03881,Pakistan,doctor,female,25,climate change,4.0,0.0,52,4,4,4.0,4.0
P03880,Pakistan,construction worker,female,25,climate change,4.0,0.0,53,4,4,4.0,4.0
P01422,France,electrician,male,65,religion and secularism,3.0,0.0,54,3,3,3.0,3.0
P03879,Pakistan,computer programmer,female,25,religion and secularism,3.0,0.0,55,3,3,3.0,3.0
P01423,France,elementary school teacher,male,65,climate change,4.0,0.0,56,4,4,4.0,4.0
P03879,Pakistan,computer programmer,female,25,climate change,4.0,0.0,57,4,4,4.0,4.0
P01423,France,elementary school teacher,male,65,religion and secularism,3.0,0.0,58,3,3,3.0,3.0
P03878,Pakistan,civil engineer,female,25,climate change,4.0,0.0,59,4,4,4.0,4.0
P01424,France,farmer,male,65,gender equality,4.0,0.0,60,4,4,4.0,4.0
P03877,Pakistan,chef,female,25,climate change,4.0,0.0,61,4,4,4.0,4.0
P01418,France,civil engineer,male,65,religion and secularism,3.0,0.0,62,3,3,3.0,3.0
P03886,Pakistan,hairdresser,female,25,climate change,4.0,0.0,63,4,4,4.0,4.0
P01418,France,civil engineer,male,65,climate change,4.0,0.0,64,4,4,4.0,4.0
P01417,France,chef,male,65,religion and secularism,3.0,0.0,65,3,3,3.0,3.0
P03895,Pakistan,real estate agent,female,25,climate change,4.0,0.0,66,4,4,4.0,4.0
P01412,France,administrative assistant,male,65,climate change,4.0,0.0,67,4,4,4.0,4.0
P01412,France,administrative assistant,male,65,religion and secularism,3.0,0.0,68,3,3,3.0,3.0
P03894,Pakistan,police officer,female,25,climate change,4.0,0.0,69,4,4,4.0,4.0
P01413,France,architect,male,65,climate change,4.0,0.0,70,4,4,4.0,4.0
P03893,Pakistan,plumber,female,25,climate change,4.0,0.0,71,4,4,4.0,4.0
P01413,France,architect,male,65,religion and secularism,3.0,0.0,72,3,3,3.0,3.0
P03892,Pakistan,pharmacist,female,25,climate change,4.0,0.0,73,4,4,4.0,4.0
P01411,France,accountant,male,65,climate change,4.0,0.0,74,4,4,4.0,4.0
P01414,France,bank teller,male,65,religion and secularism,3.0,0.0,75,3,3,3.0,3.0
P01415,France,business manager,male,65,climate change,4.0,0.0,76,4,4,4.0,4.0
P03890,Pakistan,mechanic,female,25,climate change,4.0,0.0,77,4,4,4.0,4.0
P01415,France,business manager,male,65,religion and secularism,3.0,0.0,78,3,3,3.0,3.0
P03889,Pakistan,lawyer,female,25,climate change,4.0,0.0,79,4,4,4.0,4.0
P01416,France,cashier,male,65,religion and secularism,3.0,0.0,80,3,3,3.0,3.0
P01417,France,chef,male,65,climate change,4.0,0.0,81,4,4,4.0,4.0
P03888,Pakistan,journalist,female,25,climate change,4.0,0.0,82,4,4,4.0,4.0
P03887,Pakistan,janitor,female,25,lgbtq rights,3.0,0.0,83,3,3,3.0,3.0
P03891,Pakistan,paramedic,female,25,climate change,4.0,0.0,84,4,4,4.0,4.0
P01395,France,flight attendant,male,45,climate change,4.0,0.0,85,4,4,4.0,4.0
P03920,Pakistan,mechanic,female,45,climate change,4.0,0.0,86,4,4,4.0,4.0
P01394,France,farmer,male,45,religion and secularism,3.0,0.0,87,3,3,3.0,3.0
