country,topic_rank_range_llama,topic_rank_n_valid_llama,topic_rank_range_gemma,topic_rank_n_valid_gemma,topic_rank_range_qwen,topic_rank_n_valid_qwen,topic_rank_range_ministral,topic_rank_n_valid_ministral,framing_rank_range_llama,framing_rank_range_gemma,framing_rank_range_qwen,framing_rank_range_ministral,bootstrap_top_pct_llama,bootstrap_top_pct_gemma,bootstrap_top_pct_qwen,bootstrap_top_pct_ministral,bootstrap_bottom_pct_llama,bootstrap_bottom_pct_gemma,bootstrap_bottom_pct_qwen,bootstrap_bottom_pct_ministral
Argentina,15.0,6,14,7,7,7,3.0,6,9.0,5.0,3.0,0.0,0.0,0.0,0.0,0.6666666666666601,0.0,0.0,0.0,0.0
Brazil,8.0,6,9,7,8,7,6.0,6,2.0,1.0,2.0,2.0,0.0,1.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0
Canada,19.0,6,15,7,15,7,5.0,6,5.0,14.0,6.0,0.0,0.33333333333333,70.66666666666667,95.66666666666669,99.33333333333331,0.0,0.0,0.0,0.0
China,15.0,6,14,7,16,7,14.0,6,7.0,9.0,4.0,6.0,0.0,0.0,0.0,0.0,5.66666666666666,0.0,0.0,0.0
Egypt,16.0,6,15,7,16,7,16.0,6,4.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,93.66666666666669,0.6666666666666601,19.0,69.0
France,16.0,6,13,7,14,7,8.0,6,4.0,5.0,2.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Germany,14.0,6,12,7,12,7,12.0,6,2.0,7.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,9.0,6,10,7,11,7,12.0,6,8.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italy,9.0,6,11,7,13,7,13.0,6,5.0,6.0,3.0,2.0,99.66666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Japan,9.0,6,15,7,8,7,9.0,6,6.0,4.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenya,14.0,6,15,7,11,7,15.0,6,6.0,9.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,15.0,6,12,7,5,7,9.0,6,8.0,7.0,3.0,4.0,0.0,28.000000000000004,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,14.0,6,16,7,12,7,17.0,6,9.0,7.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,80.66666666666666,0.0
Nigeria,17.0,6,19,7,10,7,18.0,6,6.0,10.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333,0.0,0.0
Pakistan,14.0,6,17,7,18,7,19.0,6,7.0,7.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,1.66666666666666,0.33333333333333,31.0
Poland,16.0,6,9,7,11,7,16.0,6,7.0,2.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,2.33333333333333,0.0,0.0
South Africa,11.0,6,12,7,10,7,17.0,6,12.0,7.0,3.0,6.0,0.0,0.0,0.33333333333333,0.0,0.0,0.0,0.0,0.0
South Korea,12.0,6,10,7,13,7,14.0,6,5.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkey,13.0,6,11,7,13,7,13.0,6,5.0,3.0,5.0,4.0,0.0,0.0,0.0,0.0,0.6666666666666601,0.0,0.0,0.0
USA,15.0,6,14,7,13,7,15.0,6,5.0,2.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0
