country,topic,coef_llama,rank_llama,rank_label_llama,coef_gemma,rank_gemma,rank_label_gemma,coef_qwen,rank_qwen,rank_label_qwen,coef_ministral,rank_ministral,rank_label_ministral,r2_llama,reliability_llama,r2_gemma,reliability_gemma,r2_qwen,reliability_qwen,r2_ministral,reliability_ministral
Argentina,climate change,0.0,3.0,tied for rank 3,0.0,9,rank 9,0.0,9,rank 9,0.0,4.0,tied for rank 4,0.0374165430267057,LOW_R2,0.3702430840063991,OK,0.5952311446450491,OK,0.3434865706988464,OK
Argentina,economic redistribution,,,,0.0,4,rank 4,0.0,9,rank 9,0.0,1.0,tied for rank 1,,DEGENERATE_NO_VARIANCE,0.5473674846873738,OK,0.5679787271652188,OK,0.2632456047346799,OK
Argentina,gender equality,0.0,3.0,rank 3,0.0,4,tied for rank 4,0.0,5,rank 5,,,,0.7512444587891239,OK,0.2276508160887945,OK,0.5153323031777381,OK,,DEGENERATE_NO_VARIANCE
Argentina,immigration,0.0,8.0,tied for rank 8,0.0,11,rank 11,0.0,10,rank 10,0.0,3.0,rank 3,0.3969568522879252,OK,0.3726350576522469,OK,0.3398726858477495,OK,0.5158797091118408,OK
Argentina,lgbtq rights,0.0,2.0,rank 2,0.0,3,rank 3,0.0,6,rank 6,0.0,2.0,rank 2,0.4170611000984399,OK,0.8401412986666634,OK,0.6321367659772603,OK,0.6741636613446143,OK
Argentina,religion and secularism,0.0,17.0,rank 17,0.0,15,rank 15,0.0,12,tied for rank 12,0.0,4.0,tied for rank 4,0.6211704893985865,OK,0.5806809272775824,OK,0.3342260596127966,OK,0.1108828716671854,LOW_R2
Argentina,trust in government,0.0,9.0,rank 9,0.0,17,rank 17,0.0,7,rank 7,0.0,2.0,tied for rank 2,0.6356434168397304,OK,0.4250097666563125,OK,0.2688968251367911,OK,0.0885459906673156,LOW_R2
Brazil,climate change,-7.358696985093616e-15,3.0,tied for rank 3,0.0111111111111035,7,rank 7,0.0185185185185142,8,tied for rank 8,-0.0407407407407479,8.0,rank 8,0.0374165430267057,LOW_R2,0.3702430840063991,OK,0.5952311446450491,OK,0.3434865706988464,OK
Brazil,economic redistribution,,,,-0.0777777777777841,10,rank 10,-0.0296296296296337,12,rank 12,-0.0074074074074129,3.0,rank 3,,DEGENERATE_NO_VARIANCE,0.5473674846873738,OK,0.5679787271652188,OK,0.2632456047346799,OK
Brazil,gender equality,-0.0666666666666721,6.0,rank 6,0.0074074074073987,2,tied for rank 2,-0.0777777777777843,12,rank 12,,,,0.7512444587891239,OK,0.2276508160887945,OK,0.5153323031777381,OK,,DEGENERATE_NO_VARIANCE
Brazil,immigration,0.0148148148148076,6.0,rank 6,0.4148148148148087,2,rank 2,0.0555555555555531,6,rank 6,-0.0333333333333384,4.0,rank 4,0.3969568522879252,OK,0.3726350576522469,OK,0.3398726858477495,OK,0.5158797091118408,OK
