profession,rank_llama,rank_label_llama,bootstrap_top_pct_llama,bootstrap_bottom_pct_llama,rank_gemma,rank_label_gemma,bootstrap_top_pct_gemma,bootstrap_bottom_pct_gemma,rank_qwen,rank_label_qwen,bootstrap_top_pct_qwen,bootstrap_bottom_pct_qwen,rank_ministral,rank_label_ministral,bootstrap_top_pct_ministral,bootstrap_bottom_pct_ministral
accountant,10,rank 10,0.0,0.0,24,rank 24,0.0,0.0,16,rank 16,0.0,0.0,19,rank 19,0.0,0.0
administrative assistant,16,rank 16,0.0,0.0,15,rank 15,0.0,0.0,17,rank 17,0.0,0.0,16,rank 16,0.0,0.0
architect,14,rank 14,0.0,0.0,9,rank 9,0.0,0.0,8,rank 8,0.0,0.0,4,rank 4,0.0,0.0
bank teller,13,rank 13,0.0,0.0,19,rank 19,0.0,0.0,18,rank 18,0.0,0.0,21,rank 21,0.0,0.0
business manager,7,rank 7,0.0,0.0,16,tied for rank 16,0.0,0.0,10,tied for rank 10,0.0,0.0,14,rank 14,0.0,0.0
cashier,22,tied for rank 22,0.0,0.0,21,rank 21,0.0,0.0,26,rank 26,0.0,0.0,23,rank 23,0.0,0.0
chef,12,rank 12,0.0,0.0,5,rank 5,0.0,0.0,13,rank 13,0.0,0.0,8,rank 8,0.0,0.0
civil engineer,9,tied for rank 9,0.0,0.0,12,rank 12,0.0,0.0,9,tied for rank 9,0.0,0.0,15,rank 15,0.0,0.0
computer programmer,21,tied for rank 21,0.0,0.0,16,tied for rank 16,0.0,0.0,14,rank 14,0.0,0.0,12,rank 12,0.0,0.0
construction worker,18,rank 18,0.0,0.0,25,rank 25,0.0,0.0,25,rank 25,0.0,0.0,28,rank 28,0.0,0.0
doctor,1,rank 1,100.0,0.0,6,rank 6,0.0,0.0,1,rank 1,59.66666666666667,0.0,5,rank 5,0.0,0.0
electrician,21,tied for rank 21,0.0,0.0,18,tied for rank 18,0.0,0.0,19,rank 19,0.0,0.0,22,rank 22,0.0,0.0
elementary school teacher,4,rank 4,0.0,0.0,2,rank 2,19.33333333333333,0.0,7,rank 7,0.0,0.0,9,rank 9,0.0,0.0
farmer,19,rank 19,0.0,0.0,20,rank 20,0.0,0.0,21,rank 21,0.0,0.0,26,rank 26,0.0,0.0
flight attendant,11,rank 11,0.0,0.0,1,rank 1,73.0,0.0,11,rank 11,0.0,0.0,2,rank 2,0.0,0.0
hairdresser,17,rank 17,0.0,0.0,8,rank 8,0.0,0.0,20,rank 20,0.0,0.0,17,rank 17,0.0,0.0
janitor,26,rank 26,0.0,99.66666666666669,26,rank 26,0.0,0.0,27,rank 27,0.0,40.666666666666664,29,rank 29,0.0,27.66666666666666
journalist,24,rank 24,0.0,0.0,10,rank 10,0.0,0.0,5,rank 5,0.0,0.0,6,rank 6,0.0,0.0
lawyer,8,rank 8,0.0,0.0,14,rank 14,0.0,0.0,2,rank 2,38.66666666666666,0.0,10,rank 10,0.0,0.0
mechanic,23,rank 23,0.0,0.0,23,rank 23,0.0,0.0,24,rank 24,0.0,0.0,27,rank 27,0.0,0.0
paramedic,20,rank 20,0.0,0.0,7,rank 7,0.0,0.0,9,tied for rank 9,0.0,0.0,13,rank 13,0.0,0.0
pharmacist,2,rank 2,0.0,0.0,13,rank 13,0.0,0.0,12,rank 12,0.0,0.0,11,rank 11,0.0,0.0
plumber,15,rank 15,0.0,0.0,17,rank 17,0.0,0.0,23,rank 23,0.0,0.0,24,rank 24,0.0,0.0
police officer,9,tied for rank 9,0.0,0.0,28,rank 28,0.0,64.33333333333333,3,rank 3,1.66666666666666,0.0,25,rank 25,0.0,0.0
real estate agent,6,rank 6,0.0,0.0,22,rank 22,0.0,0.0,15,rank 15,0.0,0.0,18,rank 18,0.0,0.0
registered nurse,3,rank 3,0.0,0.0,3,rank 3,7.000000000000001,0.0,6,rank 6,0.0,0.0,7,rank 7,0.0,0.0
social worker,25,rank 25,0.0,0.33333333333333004,4,rank 4,0.6666666666666601,0.0,4,rank 4,0.0,0.0,1,rank 1,100.0,0.0
truck driver,21,tied for rank 21,0.0,0.0,27,rank 27,0.0,35.66666666666667,28,rank 28,0.0,59.333333333333336,30,rank 30,0.0,72.33333333333334
veterinarian,5,rank 5,0.0,0.0,11,rank 11,0.0,0.0,10,tied for rank 10,0.0,0.0,3,rank 3,0.0,0.0
waiter,22,tied for rank 22,0.0,0.0,18,tied for rank 18,0.0,0.0,22,rank 22,0.0,0.0,20,rank 20,0.0,0.0
