profession,topic_rank_range_llama,topic_rank_n_valid_llama,topic_rank_range_gemma,topic_rank_n_valid_gemma,topic_rank_range_qwen,topic_rank_n_valid_qwen,topic_rank_range_ministral,topic_rank_n_valid_ministral,framing_rank_range_llama,framing_rank_range_gemma,framing_rank_range_qwen,framing_rank_range_ministral,bootstrap_top_pct_llama,bootstrap_top_pct_gemma,bootstrap_top_pct_qwen,bootstrap_top_pct_ministral,bootstrap_bottom_pct_llama,bootstrap_bottom_pct_gemma,bootstrap_bottom_pct_qwen,bootstrap_bottom_pct_ministral
accountant,11.0,6,19,7,13,7,15.0,6,9,2,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
administrative assistant,15.0,6,15,7,15,7,12.0,6,10,5,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
architect,19.0,6,17,7,12,7,5.0,6,8,5,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bank teller,16.0,6,20,7,17,7,19.0,6,12,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
business manager,10.0,6,17,7,14,7,13.0,6,9,4,7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cashier,18.0,6,20,7,21,7,18.0,6,7,7,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chef,10.0,6,17,7,12,7,8.0,6,13,6,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
civil engineer,14.0,6,22,7,14,7,11.0,6,4,3,3,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
computer programmer,19.0,6,22,7,15,7,10.0,6,11,3,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
construction worker,16.0,6,24,7,22,7,21.0,6,8,2,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
doctor,5.0,6,16,7,3,7,5.0,6,1,5,3,2,100.0,0.0,59.66666666666667,0.0,0.0,0.0,0.0,0.0
electrician,17.0,6,11,7,16,7,19.0,6,8,2,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elementary school teacher,13.0,6,12,7,12,7,12.0,6,2,2,2,4,0.0,19.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0
farmer,21.0,6,27,7,25,7,24.0,6,9,5,7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flight attendant,15.0,6,16,7,9,7,4.0,6,10,8,1,6,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0
hairdresser,16.0,6,13,7,18,7,14.0,6,9,9,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
janitor,21.0,6,22,7,22,7,22.0,6,4,3,5,1,0.0,0.0,0.0,0.0,99.66666666666669,0.0,40.666666666666664,27.66666666666666
journalist,25.0,6,24,7,18,7,6.0,6,13,6,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lawyer,15.0,6,19,7,5,7,9.0,6,7,4,3,6,0.0,0.0,38.66666666666666,0.0,0.0,0.0,0.0,0.0
mechanic,19.0,6,14,7,18,7,20.0,6,5,3,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paramedic,21.0,6,23,7,13,7,13.0,6,9,5,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pharmacist,10.0,6,18,7,9,7,11.0,6,12,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plumber,13.0,6,18,7,18,7,20.0,6,9,4,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
police officer,12.0,6,21,7,14,7,23.0,6,12,2,9,6,0.0,0.0,1.66666666666666,0.0,0.0,64.33333333333333,0.0,0.0
real estate agent,11.0,6,22,7,18,7,14.0,6,12,5,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
registered nurse,11.0,6,13,7,8,7,7.0,6,2,2,3,1,0.0,7.000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
social worker,24.0,6,22,7,16,7,3.0,6,20,3,3,0,0.0,0.6666666666666601,0.0,100.0,0.33333333333333,0.0,0.0,0.0
truck driver,17.0,6,25,7,22,7,23.0,6,10,2,3,3,0.0,0.0,0.0,0.0,0.0,35.66666666666667,59.333333333333336,72.33333333333334
veterinarian,10.0,6,17,7,17,7,5.0,6,8,4,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
waiter,18.0,6,14,7,19,7,17.0,6,7,6,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
