profession,topic,coef_llama,rank_llama,rank_label_llama,coef_gemma,rank_gemma,rank_label_gemma,coef_qwen,rank_qwen,rank_label_qwen,coef_ministral,rank_ministral,rank_label_ministral,r2_llama,reliability_llama,r2_gemma,reliability_gemma,r2_qwen,reliability_qwen,r2_ministral,reliability_ministral
accountant,climate change,0.0,3.0,tied for rank 3,0.0,13,rank 13,0.0,17,rank 17,0.0,2.0,rank 2,0.0374165430267057,LOW_R2,0.3702430840063991,OK,0.5952311446450491,OK,0.3434865706988464,OK
accountant,economic redistribution,,,,0.0,25,rank 25,0.0,12,rank 12,0.0,4.0,tied for rank 4,,DEGENERATE_NO_VARIANCE,0.5473674846873738,OK,0.5679787271652188,OK,0.2632456047346799,OK
accountant,gender equality,0.0,14.0,tied for rank 14,0.0,6,rank 6,0.0,13,tied for rank 13,,,,0.7512444587891239,OK,0.2276508160887945,OK,0.5153323031777381,OK,,DEGENERATE_NO_VARIANCE
accountant,immigration,0.0,7.0,rank 7,0.0,19,tied for rank 19,0.0,15,rank 15,0.0,16.0,rank 16,0.3969568522879252,OK,0.3726350576522469,OK,0.3398726858477495,OK,0.5158797091118408,OK
accountant,lgbtq rights,0.0,13.0,rank 13,0.0,19,tied for rank 19,0.0,18,rank 18,0.0,16.0,rank 16,0.4170611000984399,OK,0.8401412986666634,OK,0.6321367659772603,OK,0.6741636613446143,OK
accountant,religion and secularism,0.0,12.0,tied for rank 12,0.0,10,rank 10,0.0,8,tied for rank 8,0.0,1.0,tied for rank 1,0.6211704893985865,OK,0.5806809272775824,OK,0.3342260596127966,OK,0.1108828716671854,LOW_R2
accountant,trust in government,0.0,3.0,rank 3,0.0,6,tied for rank 6,0.0,5,tied for rank 5,0.0,1.0,tied for rank 1,0.6356434168397304,OK,0.4250097666563125,OK,0.2688968251367911,OK,0.0885459906673156,LOW_R2
administrative assistant,climate change,2.220446049250313e-15,3.0,tied for rank 3,0.011111111111115,12,tied for rank 12,-0.0666666666666635,18,rank 18,0.0388888888888909,1.0,tied for rank 1,0.0374165430267057,LOW_R2,0.3702430840063991,OK,0.5952311446450491,OK,0.3434865706988464,OK
administrative assistant,economic redistribution,,,,0.2555555555555575,13,rank 13,-0.0499999999999962,17,tied for rank 17,3.552713678800501e-15,4.0,tied for rank 4,,DEGENERATE_NO_VARIANCE,0.5473674846873738,OK,0.5679787271652188,OK,0.2632456047346799,OK
administrative assistant,gender equality,-0.0166666666666657,17.0,tied for rank 17,0.0500000000000051,2,tied for rank 2,4.440892098500626e-16,13,tied for rank 13,,,,0.7512444587891239,OK,0.2276508160887945,OK,0.5153323031777381,OK,,DEGENERATE_NO_VARIANCE
administrative assistant,immigration,-0.1277777777777753,18.0,rank 18,0.03888888888889,14,rank 14,-0.0277777777777732,19,tied for rank 19,0.061111111111114,13.0,rank 13,0.3969568522879252,OK,0.3726350576522469,OK,0.3398726858477495,OK,0.5158797091118408,OK
administrative assistant,lgbtq rights,-0.0055555555555553,14.0,rank 14,0.083333333333333,17,rank 17,-0.0722222222222215,20,rank 20,0.133333333333335,11.0,rank 11,0.4170611000984399,OK,0.8401412986666634,OK,0.6321367659772603,OK,0.6741636613446143,OK
administrative assistant,religion and secularism,0.038888888888894,8.0,tied for rank 8,-0.0166666666666617,13,tied for rank 13,-0.0611111111111071,16,tied for rank 16,3.552713678800501e-15,1.0,tied for rank 1,0.6211704893985865,OK,0.5806809272775824,OK,0.3342260596127966,OK,0.1108828716671854,LOW_R2
administrative assistant,trust in government,-0.1944444444444397,14.0,rank 14,-0.0166666666666637,8,rank 8,3.9968028886505635e-15,5,tied for rank 5,3.552713678800501e-15,1.0,tied for rank 1,0.6356434168397304,OK,0.4250097666563125,OK,0.2688968251367911,OK,0.0885459906673156,LOW_R2
architect,climate change,0.0055555555555594,2.0,tied for rank 2,0.1444444444444493,3,rank 3,0.2833333333333376,5,rank 5,0.0388888888888925,1.0,tied for rank 1,0.0374165430267057,LOW_R2,0.3702430840063991,OK,0.5952311446450491,OK,0.3434865706988464,OK
