model,context,n,abstention_all_pct,abstention_B_pct,strict_valid_all_pct
llama,original,75600,0.0,0.0,100.0
llama,health,75600,0.0,0.0,100.0
llama,neutral,75600,0.0,0.0,100.0
llama,positive,75600,0.0,0.0,100.0
llama,negative_minor,75600,0.0,0.0,100.0
gemma,original,75600,0.0,0.0,100.0
gemma,health,75600,0.001322751322751323,0.002645502645502646,100.0
gemma,neutral,75600,0.002645502645502646,0.005291005291005292,100.0
gemma,positive,75600,0.05026455026455026,0.10052910052910052,100.0
gemma,negative_minor,75600,0.002645502645502646,0.005291005291005292,100.0
qwen,original,75600,44.985449735449734,89.97089947089947,100.0
qwen,health,75600,46.04232804232804,92.08465608465607,100.0
qwen,neutral,75600,43.39153439153439,86.78306878306879,100.0
qwen,positive,75600,47.33465608465608,94.66931216931216,100.0
qwen,negative_minor,75600,45.46560846560846,90.93121693121692,100.0
ministral,original,75600,41.732804232804234,83.46560846560847,100.0
ministral,health,75600,24.256613756613756,48.51322751322751,100.0
ministral,neutral,75600,21.003968253968253,42.007936507936506,100.0
ministral,positive,75600,18.61111111111111,37.22222222222222,100.0
ministral,negative_minor,75600,14.899470899470899,29.798941798941797,100.0
deepseek,original,75600,0.0,0.0,0.08333333333333334
deepseek,health,75600,0.0,0.0,0.0
deepseek,neutral,75600,0.0,0.0,0.0
deepseek,positive,75600,0.0,0.0,0.0
deepseek,negative_minor,75600,0.0,0.0,0.2698412698412699
