model,condition_1,condition_2,n,spearman_r,is_context_pair
llama,original,health,1260,0.7808011291471699,False
llama,original,neutral,1260,0.7649528817555528,False
llama,original,positive,1260,0.8072174172108031,False
llama,original,negative_minor,1260,0.7807392958698984,False
llama,health,neutral,1260,0.9235993295819392,True
llama,health,positive,1260,0.9208934175939578,True
llama,health,negative_minor,1260,0.9243888348538705,True
llama,neutral,positive,1260,0.9336309240486206,True
llama,neutral,negative_minor,1260,0.9418682606087426,True
llama,positive,negative_minor,1260,0.9408525507846787,True
gemma,original,health,1260,0.8786103696946137,False
gemma,original,neutral,1260,0.8794518864061848,False
gemma,original,positive,1260,0.8600656669103147,False
gemma,original,negative_minor,1260,0.8944428562653081,False
gemma,health,neutral,1260,0.9506296868150478,True
gemma,health,positive,1260,0.927764139657099,True
gemma,health,negative_minor,1260,0.9530628986630825,True
gemma,neutral,positive,1260,0.9587739638247145,True
gemma,neutral,negative_minor,1260,0.9568336878701997,True
gemma,positive,negative_minor,1260,0.9336025014892195,True
qwen,original,health,1260,0.6864045206466725,False
qwen,original,neutral,1260,0.7652343909027924,False
qwen,original,positive,1260,0.7048967818384575,False
qwen,original,negative_minor,1260,0.7506883807229386,False
qwen,health,neutral,1260,0.7770004627390584,True
qwen,health,positive,1260,0.8269204760382942,True
qwen,health,negative_minor,1260,0.8061169989810449,True
qwen,neutral,positive,1260,0.7994393894569417,True
qwen,neutral,negative_minor,1260,0.8265974193859899,True
qwen,positive,negative_minor,1260,0.8159362936387056,True
ministral,original,health,1260,0.7656602933420145,False
ministral,original,neutral,1260,0.8047371550928695,False
ministral,original,positive,1260,0.7081469333082443,False
ministral,original,negative_minor,1260,0.8172903932194059,False
ministral,health,neutral,1260,0.7786370144785564,True
ministral,health,positive,1260,0.7687303259976019,True
ministral,health,negative_minor,1260,0.9227123686545565,True
ministral,neutral,positive,1260,0.8866166799901795,True
ministral,neutral,negative_minor,1260,0.8343314864348274,True
ministral,positive,negative_minor,1260,0.7775170499735539,True
