section,claim,reported,reproduced,status,independent_source
1 rating,llama/health shift,-0.174,-0.173810,MATCH,rating_findings_raw.csv
1 rating,llama/health clustered p,~8e-77,7.60916e-77,MATCH,rating_findings_raw.csv
1 rating,gemma/health shift,-0.185,-0.184921,MATCH,rating_findings_raw.csv
1 rating,gemma/health clustered p,~8e-52,8.2679e-52,MATCH,rating_findings_raw.csv
1 rating,qwen/health shift,-0.018,-0.155556,MISMATCH,rating_findings_raw.csv
1 rating,qwen/health clustered p,.15,3.21753e-22,MISMATCH,rating_findings_raw.csv
1 rating,ministral/health shift,0.003,-0.097619,MISMATCH,rating_findings_raw.csv
1 rating,ministral/health clustered p,.73,2.43917e-31,MISMATCH,rating_findings_raw.csv
1 rating,llama/neutral shift,-0.112,-0.111905,MATCH,rating_findings_raw.csv
1 rating,llama/neutral clustered p,~9e-20,8.72766e-20,MATCH,rating_findings_raw.csv
1 rating,gemma/neutral shift,-0.125,-0.125397,MATCH,rating_findings_raw.csv
1 rating,gemma/neutral clustered p,~2e-20,1.98247e-20,MATCH,rating_findings_raw.csv
1 rating,qwen/neutral shift,-0.018,-0.018254,MATCH,rating_findings_raw.csv
1 rating,qwen/neutral clustered p,.15,0.148554,MATCH,rating_findings_raw.csv
1 rating,ministral/neutral shift,0.003,0.003175,MATCH,rating_findings_raw.csv
1 rating,ministral/neutral clustered p,.73,0.726363,MATCH,rating_findings_raw.csv
1 rating,llama/positive shift,-0.017,-0.084127,MISMATCH,rating_findings_raw.csv
1 rating,llama/positive clustered p,.06,6.11063e-15,MISMATCH,rating_findings_raw.csv
1 rating,gemma/positive shift,-0.054,-0.053968,MATCH,rating_findings_raw.csv
1 rating,gemma/positive clustered p,~5e-5,5.11687e-05,MATCH,rating_findings_raw.csv
1 rating,qwen/positive shift,-0.155,-0.154762,MATCH,rating_findings_raw.csv
1 rating,qwen/positive clustered p,~1e-28,1.48768e-28,MATCH,rating_findings_raw.csv
1 rating,ministral/positive shift,0.002,0.002381,MATCH,rating_findings_raw.csv
1 rating,ministral/positive clustered p,.82,0.817966,MATCH,rating_findings_raw.csv
1 rating,llama/negative_minor shift,-0.101,-0.100794,MATCH,rating_findings_raw.csv
1 rating,llama/negative_minor clustered p,~4e-15,3.73668e-15,MATCH,rating_findings_raw.csv
1 rating,gemma/negative_minor shift,-0.15,-0.150000,MATCH,rating_findings_raw.csv
1 rating,gemma/negative_minor clustered p,~2e-28,2.02518e-28,MATCH,rating_findings_raw.csv
1 rating,qwen/negative_minor shift,-0.098,-0.098413,MATCH,rating_findings_raw.csv
1 rating,qwen/negative_minor clustered p,~9e-14,8.49524e-14,MATCH,rating_findings_raw.csv
1 rating,ministral/negative_minor shift,-0.071,-0.070635,MATCH,rating_findings_raw.csv
1 rating,ministral/negative_minor clustered p,~4e-17,3.63164e-17,MATCH,rating_findings_raw.csv
1 rating,pairs per cell,1260,1260,MATCH,rating_findings_raw.csv
1 rating,clusters per cell,180,180,MATCH,rating_findings_raw.csv
1 rating,exact-agreement range,74%-92%,68.81%-90.71%,MISMATCH,rating_findings_raw.csv
1 rating,Spearman range,0.71-0.90,0.686-0.894,MISMATCH,rating_findings_raw.csv
2-3 abstention,qwen/health shift pp,2.11,2.11376,MATCH,all_model_context_rates_raw.csv
2-3 abstention,qwen/neutral shift pp,-3.19,-3.18783,MATCH,all_model_context_rates_raw.csv
2-3 abstention,qwen/positive shift pp,4.7,4.69841,MATCH,all_model_context_rates_raw.csv
2-3 abstention,qwen/negative_minor shift pp,0.96,0.96032,MATCH,all_model_context_rates_raw.csv
2-3 abstention,ministral/health shift pp,-34.95,-34.95238,MATCH,all_model_context_rates_raw.csv
2-3 abstention,ministral/neutral shift pp,-41.46,-41.45767,MATCH,all_model_context_rates_raw.csv
