context,gender,n,rate_pct
original,female,12600,81.17460317460318
original,male,12600,85.96825396825398
original,neutral,12600,83.25396825396825
health,female,12600,38.34126984126984
health,male,12600,54.98412698412698
health,neutral,12600,52.214285714285715
neutral,female,12600,37.817460317460316
neutral,male,12600,49.82539682539682
neutral,neutral,12600,38.38095238095238
positive,female,12600,34.039682539682545
positive,male,12600,43.82539682539682
positive,neutral,12600,33.8015873015873
negative_minor,female,12600,26.634920634920633
negative_minor,male,12600,37.142857142857146
negative_minor,neutral,12600,25.61904761904762
