context,model,factor,audit_rho,reported_rho,audit_exact_p,reported_exact_p,audit_n_permutations,reported_n_permutations
health,llama,profession,0.8720815992723809,0.8720815992723809,0.1,0.1,120,120
health,llama,country,1.0,1.0,0.08333333333333333,0.0833333333333333,24,24
health,gemma,profession,0.9999999999999999,1.0,0.016666666666666666,0.0166666666666666,120,120
health,gemma,country,0.39999999999999997,0.3999999999999999,0.75,0.75,24,24
health,qwen,profession,0.9999999999999999,1.0,0.016666666666666666,0.0166666666666666,120,120
health,qwen,country,0.0,0.0,1.0,1.0,24,24
health,ministral,profession,0.9746794344808964,0.9746794344808964,0.03333333333333333,0.0333333333333333,120,120
health,ministral,country,0.7999999999999999,0.7999999999999999,0.3333333333333333,0.3333333333333333,24,24
neutral,llama,profession,0.8720815992723809,0.8720815992723809,0.1,0.1,120,120
neutral,llama,country,1.0,1.0,0.08333333333333333,0.0833333333333333,24,24
neutral,gemma,profession,0.7,0.7,0.23333333333333334,0.2333333333333333,120,120
neutral,gemma,country,0.19999999999999998,0.1999999999999999,0.9166666666666666,0.9166666666666666,24,24
neutral,qwen,profession,0.9999999999999999,1.0,0.016666666666666666,0.0166666666666666,120,120
neutral,qwen,country,-0.6000000000000001,-0.6000000000000001,0.4166666666666667,0.4166666666666667,24,24
neutral,ministral,profession,0.9999999999999999,1.0,0.016666666666666666,0.0166666666666666,120,120
neutral,ministral,country,0.39999999999999997,0.3999999999999999,0.75,0.75,24,24
positive,llama,profession,0.9746794344808963,0.9746794344808964,0.03333333333333333,0.0333333333333333,120,120
positive,llama,country,1.0,1.0,0.08333333333333333,0.0833333333333333,24,24
positive,gemma,profession,0.9999999999999999,1.0,0.016666666666666666,0.0166666666666666,120,120
positive,gemma,country,0.39999999999999997,0.3999999999999999,0.75,0.75,24,24
positive,qwen,profession,0.9999999999999999,1.0,0.016666666666666666,0.0166666666666666,120,120
positive,qwen,country,0.0,0.0,1.0,1.0,24,24
positive,ministral,profession,0.8999999999999998,0.8999999999999998,0.08333333333333333,0.0833333333333333,120,120
positive,ministral,country,0.39999999999999997,0.3999999999999999,0.75,0.75,24,24
negative_minor,llama,profession,0.9746794344808963,0.9746794344808964,0.03333333333333333,0.0333333333333333,120,120
negative_minor,llama,country,1.0,1.0,0.08333333333333333,0.0833333333333333,24,24
negative_minor,gemma,profession,0.9999999999999999,1.0,0.016666666666666666,0.0166666666666666,120,120
negative_minor,gemma,country,0.39999999999999997,0.3999999999999999,0.75,0.75,24,24
negative_minor,qwen,profession,0.8999999999999998,0.8999999999999998,0.08333333333333333,0.0833333333333333,120,120
negative_minor,qwen,country,-0.6000000000000001,-0.6000000000000001,0.4166666666666667,0.4166666666666667,24,24
negative_minor,ministral,profession,0.9999999999999999,1.0,0.016666666666666666,0.0166666666666666,120,120
negative_minor,ministral,country,0.632455532033676,0.632455532033676,0.5,0.5,24,24
