context,model,n_pairs,clusters,shift,cluster_se,cluster_p,exact_agreement,spearman_r
health,llama,1260,180,-0.17380952380952383,0.00936790454918877,7.609157299395233e-77,0.7746031746031746,0.7808011291471699
health,gemma,1260,180,-0.18492063492063493,0.012210608200950839,8.267902681725834e-52,0.7238095238095238,0.8786103696946137
health,qwen,1260,180,-0.15555555555555556,0.01604763400237897,3.2175310909116038e-22,0.792063492063492,0.6864045206466725
health,ministral,1260,180,-0.0976190476190476,0.008383065224980987,2.4391713323930193e-31,0.8801587301587301,0.7656602933420145
neutral,llama,1260,180,-0.1119047619047619,0.012292179750600265,8.727658920478788e-20,0.7880952380952381,0.7649528817555528
neutral,gemma,1260,180,-0.1253968253968254,0.013536978793239824,1.982465763103358e-20,0.7103174603174603,0.8794518864061848
neutral,qwen,1260,180,-0.018253968253968255,0.012635490777970881,0.1485538521378678,0.85,0.7652343909027924
neutral,ministral,1260,180,0.0031746031746031737,0.009071149834917615,0.7263634570089674,0.9031746031746032,0.8047371550928695
positive,llama,1260,180,-0.0841269841269841,0.010783239375093963,6.110630397738938e-15,0.846031746031746,0.8072174172108031
positive,gemma,1260,180,-0.05396825396825398,0.013324758556333116,5.116867682562046e-05,0.6880952380952381,0.8600656669103147
positive,qwen,1260,180,-0.15476190476190477,0.013961697454353075,1.4876791582957677e-28,0.8174603174603174,0.7048967818384575
positive,ministral,1260,180,0.0023809523809523803,0.010344709277970628,0.8179663842405998,0.8563492063492063,0.7081469333082443
negative_minor,llama,1260,180,-0.1007936507936508,0.012817978156009368,3.7366750190168094e-15,0.8150793650793651,0.7807392958698984
negative_minor,gemma,1260,180,-0.15,0.01356593187576187,2.0251812431303316e-28,0.7603174603174603,0.8944428562653081
negative_minor,qwen,1260,180,-0.0984126984126984,0.0131877858086519,8.495239396789502e-14,0.8484126984126984,0.7506883807229386
negative_minor,ministral,1260,180,-0.07063492063492063,0.008384744104530186,3.6316443720733923e-17,0.9071428571428571,0.8172903932194059
