claim,claimed,reproduced_from_current_raw,status,qualification
Ministral original Condition-B abstention %,83.47,83.465608,MATCH,
Ministral health Condition-B abstention %,48.51,48.513228,MATCH,
Ministral neutral Condition-B abstention %,41.80,41.796296,MATCH,
Ministral positive Condition-B abstention %,37.25,37.251323,MATCH,
Ministral negative_minor Condition-B abstention %,29.80,29.798942,MATCH,Strictly monotonic decreasing
Mean context-context Spearman rho,0.879,0.878441,MATCH,24 model-pairs
Mean context-original Spearman rho,0.791,0.790519,MATCH,16 model-pairs
Pairwise context similarity ordering unchanged,unchanged,current order reproduced,UNVERIFIABLE BEFORE,No pre-fix raw result files remain
All rating-shift significance verdicts unchanged,unchanged,current 16 verdicts reproduced,UNVERIFIABLE BEFORE,No pre-fix raw result files remain
Llama positive profession pre-fix rho,0.975,,UNVERIFIABLE BEFORE,Only a prior derived audit artifact reports 0.974679
Llama positive profession corrected rho,0.921,0.921053,MATCH,
Llama positive profession pre-fix exact p,0.033,,UNVERIFIABLE BEFORE,Only a prior derived audit artifact reports 0.033333
Llama positive profession corrected exact p,0.067,0.066667,MATCH,
