context,model,path,mtime_epoch,mtime_local,min_embedded_utc,max_embedded_utc,rows
neutral,llama,results_context/neutral_full_results_llama.csv,1785718027.0,2026-08-03 02:47:07+02:00,2026-08-02 23:27:00.621867+00:00,2026-08-02 23:27:00.621867+00:00,75600
neutral,gemma,results_context/neutral_full_results_gemma.csv,1785725228.0,2026-08-03 04:47:08+02:00,2026-08-03 00:33:24.504943+00:00,2026-08-03 00:33:24.504943+00:00,75600
neutral,qwen,results_context/neutral_full_results_qwen.csv,1785729385.0,2026-08-03 05:56:25+02:00,2026-08-03 02:33:24.369963+00:00,2026-08-03 02:33:24.369963+00:00,75600
neutral,ministral,results_context/neutral_full_results_ministral.csv,1785742041.0,2026-08-03 09:27:21+02:00,2026-08-03 06:11:01.349573+00:00,2026-08-03 06:11:01.349573+00:00,75600
neutral,deepseek,results_context/neutral_full_results_deepseek.csv,1785738288.0,2026-08-03 08:24:48+02:00,2026-08-03 03:42:39.274889+00:00,2026-08-03 03:42:39.274889+00:00,75600
positive,llama,results_context/positive_full_results_llama.csv,1785723611.0,2026-08-03 04:20:11+02:00,2026-08-03 01:03:57.589500+00:00,2026-08-03 01:03:57.589500+00:00,75600
positive,gemma,results_context/positive_full_results_gemma.csv,1785730622.0,2026-08-03 06:17:02+02:00,2026-08-03 02:06:31.181105+00:00,2026-08-03 02:06:31.181105+00:00,75600
positive,qwen,results_context/positive_full_results_qwen.csv,1785734620.0,2026-08-03 07:23:40+02:00,2026-08-03 04:03:22.569690+00:00,2026-08-03 04:03:22.569690+00:00,75600
positive,ministral,results_context/positive_full_results_ministral.csv,1785746994.0,2026-08-03 10:49:54+02:00,2026-08-03 07:38:40.791600+00:00,2026-08-03 07:38:40.791600+00:00,75600
positive,deepseek,results_context/positive_full_results_deepseek.csv,1785743496.0,2026-08-03 09:51:36+02:00,2026-08-03 05:09:59.921521+00:00,2026-08-03 05:09:59.921521+00:00,75600
