persona_id,country,region,country_set,name,gender,age,profession,profession_article,subject_pronoun,object_pronoun,possessive_pronoun,be_verb,work_verb
P00001,Argentina,Latin America,added_10,Mateo,male,25,accountant,an,he,him,his,is,works
P00002,Argentina,Latin America,added_10,Mateo,male,25,administrative assistant,an,he,him,his,is,works
P00003,Argentina,Latin America,added_10,Mateo,male,25,architect,an,he,him,his,is,works
P00004,Argentina,Latin America,added_10,Mateo,male,25,bank teller,a,he,him,his,is,works
P00005,Argentina,Latin America,added_10,Mateo,male,25,business manager,a,he,him,his,is,works
P00006,Argentina,Latin America,added_10,Mateo,male,25,cashier,a,he,him,his,is,works
P00007,Argentina,Latin America,added_10,Mateo,male,25,chef,a,he,him,his,is,works
P00008,Argentina,Latin America,added_10,Mateo,male,25,civil engineer,a,he,him,his,is,works
P00009,Argentina,Latin America,added_10,Mateo,male,25,computer programmer,a,he,him,his,is,works
P00010,Argentina,Latin America,added_10,Mateo,male,25,construction worker,a,he,him,his,is,works
P00011,Argentina,Latin America,added_10,Mateo,male,25,doctor,a,he,him,his,is,works
P00012,Argentina,Latin America,added_10,Mateo,male,25,electrician,an,he,him,his,is,works
P00013,Argentina,Latin America,added_10,Mateo,male,25,elementary school teacher,an,he,him,his,is,works
P00014,Argentina,Latin America,added_10,Mateo,male,25,farmer,a,he,him,his,is,works
P00015,Argentina,Latin America,added_10,Mateo,male,25,flight attendant,a,he,him,his,is,works
P00016,Argentina,Latin America,added_10,Mateo,male,25,hairdresser,a,he,him,his,is,works
P00017,Argentina,Latin America,added_10,Mateo,male,25,janitor,a,he,him,his,is,works
P00018,Argentina,Latin America,added_10,Mateo,male,25,journalist,a,he,him,his,is,works
P00019,Argentina,Latin America,added_10,Mateo,male,25,lawyer,a,he,him,his,is,works
P00020,Argentina,Latin America,added_10,Mateo,male,25,mechanic,a,he,him,his,is,works
P00021,Argentina,Latin America,added_10,Mateo,male,25,paramedic,a,he,him,his,is,works
P00022,Argentina,Latin America,added_10,Mateo,male,25,pharmacist,a,he,him,his,is,works
P00023,Argentina,Latin America,added_10,Mateo,male,25,plumber,a,he,him,his,is,works
P00024,Argentina,Latin America,added_10,Mateo,male,25,police officer,a,he,him,his,is,works
P00025,Argentina,Latin America,added_10,Mateo,male,25,real estate agent,a,he,him,his,is,works
P00026,Argentina,Latin America,added_10,Mateo,male,25,registered nurse,a,he,him,his,is,works
P00027,Argentina,Latin America,added_10,Mateo,male,25,social worker,a,he,him,his,is,works
P00028,Argentina,Latin America,added_10,Mateo,male,25,truck driver,a,he,him,his,is,works
P00029,Argentina,Latin America,added_10,Mateo,male,25,veterinarian,a,he,him,his,is,works
P00030,Argentina,Latin America,added_10,Mateo,male,25,waiter,a,he,him,his,is,works
P00031,Argentina,Latin America,added_10,Mateo,male,45,accountant,an,he,him,his,is,works
P00032,Argentina,Latin America,added_10,Mateo,male,45,administrative assistant,an,he,him,his,is,works
P00033,Argentina,Latin America,added_10,Mateo,male,45,architect,an,he,him,his,is,works
P00034,Argentina,Latin America,added_10,Mateo,male,45,bank teller,a,he,him,his,is,works
P00035,Argentina,Latin America,added_10,Mateo,male,45,business manager,a,he,him,his,is,works
P00036,Argentina,Latin America,added_10,Mateo,male,45,cashier,a,he,him,his,is,works
P00037,Argentina,Latin America,added_10,Mateo,male,45,chef,a,he,him,his,is,works
P00038,Argentina,Latin America,added_10,Mateo,male,45,civil engineer,a,he,him,his,is,works
P00039,Argentina,Latin America,added_10,Mateo,male,45,computer programmer,a,he,him,his,is,works
P00040,Argentina,Latin America,added_10,Mateo,male,45,construction worker,a,he,him,his,is,works
P00041,Argentina,Latin America,added_10,Mateo,male,45,doctor,a,he,him,his,is,works
P00042,Argentina,Latin America,added_10,Mateo,male,45,electrician,an,he,him,his,is,works
P00043,Argentina,Latin America,added_10,Mateo,male,45,elementary school teacher,an,he,him,his,is,works
P00044,Argentina,Latin America,added_10,Mateo,male,45,farmer,a,he,him,his,is,works
P00045,Argentina,Latin America,added_10,Mateo,male,45,flight attendant,a,he,him,his,is,works
P00046,Argentina,Latin America,added_10,Mateo,male,45,hairdresser,a,he,him,his,is,works
P00047,Argentina,Latin America,added_10,Mateo,male,45,janitor,a,he,him,his,is,works
P00048,Argentina,Latin America,added_10,Mateo,male,45,journalist,a,he,him,his,is,works
P00049,Argentina,Latin America,added_10,Mateo,male,45,lawyer,a,he,him,his,is,works
P00050,Argentina,Latin America,added_10,Mateo,male,45,mechanic,a,he,him,his,is,works
P00051,Argentina,Latin America,added_10,Mateo,male,45,paramedic,a,he,him,his,is,works
P00052,Argentina,Latin America,added_10,Mateo,male,45,pharmacist,a,he,him,his,is,works
