age,model,answered_rate,n_answered,n_total
25,deepseek,0.0,0,12600
25,gemma,1.0,12600,12600
25,llama,1.0,12600,12600
25,ministral,0.18936507936507938,2386,12600
25,qwen,0.11515873015873015,1451,12600
45,deepseek,0.0,0,12600
45,gemma,1.0,12600,12600
45,llama,1.0,12600,12600
45,ministral,0.16428571428571428,2070,12600
45,qwen,0.10269841269841269,1294,12600
65,deepseek,0.0,0,12600
65,gemma,1.0,12600,12600
65,llama,1.0,12600,12600
65,ministral,0.14238095238095239,1794,12600
65,qwen,0.08301587301587302,1046,12600
