term,coef_logit,odds_ratio,se_original,z_original,p_original,se_cluster,z_cluster,p_cluster,p_original_bh_adj,p_cluster_bh_adj
Intercept,-0.4292569833456575,0.6509926134234758,0.1396990571387612,-3.0727264173249367,0.0021211285287246,0.1065000109597333,-4.030581588465333,5.563901126848861e-05,0.0025107235646127917,6.585842150147632e-05
C(gender)[T.male],-2.437560192017375,0.0873737668338448,0.0520589615653449,-46.82306597602263,0.0,0.0446142125053476,-54.63640519767544,0.0,0.0,0.0
C(gender)[T.neutral],-1.9480720664290423,0.1425486311266361,0.0489802810287721,-39.77257838281286,0.0,0.043321396805821,-44.96789600669762,0.0,0.0,0.0
C(country)[T.Brazil],-0.0386518539346115,0.9620855971632308,0.1135085605405721,-0.3405192855105938,0.7334655018810613,0.1025623648397719,-0.376861960963902,0.7062761914477114,0.7334655018810613,0.7062761914477114
C(country)[T.Canada],1.6278507965425095,5.092917232496279,0.1096756677794109,14.842406064183551,7.791061551788242e-50,0.107709291141943,15.113373965085994,1.3219407747492372e-51,3.476012076951677e-49,4.5101508785562216e-51
C(country)[T.China],-1.6280268539596985,0.1963165534480811,0.1221014493641734,-13.33339499602523,1.4800584172408402e-40,0.0880578885779042,-18.488143200474244,2.5726129675116434e-76,5.365211762498046e-40,9.947436807711687e-76
C(country)[T.Egypt],-2.028284852887103,0.1315609741756976,0.1252381343843014,-16.19542532199639,5.432083514314069e-59,0.09438933810372,-21.488495349531053,1.994713040355538e-102,3.15060843830216e-58,1.156933563406212e-101
C(country)[T.France],0.5757545594406812,1.7784719835711889,0.1115064876839683,5.163417585822311,2.424813671680015e-07,0.0976121560217755,5.898389943484502,3.670656729707322e-09,3.3485522132724017e-07,4.6964900041848955e-09
C(country)[T.Germany],0.7179017781860807,2.0501270732615957,0.11113939962748,6.459471443901646,1.0506930994748779e-10,0.0954542750845648,7.52089707401871,5.440166538438896e-14,1.7923588167512624e-10,8.303412084985683e-14
C(country)[T.India],-0.5674292059753294,0.5669811584942847,0.1157822844476579,-4.900829247602631,9.543297558809909e-07,0.0843392700547146,-6.727935937875826,1.7208664939845177e-11,1.230025018691055e-06,2.376434682169096e-11
C(country)[T.Italy],-0.6724109394258446,0.5104763653933999,0.1162975312551193,-5.781816107091659,7.389846361525684e-09,0.09524047244941,-7.060138637836102,1.6633656564388178e-12,1.0990027922268966e-08,2.4118802018362858e-12
C(country)[T.Japan],-0.6794667427319834,0.5068872216033182,0.11633295219809,-5.840707468465146,5.197960788281345e-09,0.0872322334291812,-7.789170539621723,6.7450515981903664e-15,7.933729624218895e-09,1.0573324126893006e-14
C(country)[T.Kenya],-1.034582660841458,0.3553746617434024,0.1182497266334076,-8.74913363689054,2.149969355544272e-18,0.090478244360475,-11.434601413347163,2.808233252875816e-30,4.453507950770278e-18,6.264520333338359e-30
C(country)[T.Mexico],-1.1928956377328688,0.3033416236699215,0.1191933513302834,-10.008071963908192,1.404632150677074e-23,0.0874904450396796,-13.634581892821023,2.4941620270852038e-42,3.394527697469595e-23,7.233069878547091e-42
C(country)[T.Morocco],-1.702428937094754,0.1822403357207434,0.1226487899308252,-13.880519637046037,8.313902220530597e-44,0.08996974646466,-18.922237796496027,7.480973866584774e-80,3.214708858605164e-43,3.099260601870835e-79
