profession,coef_original10,coef_added10
administrative assistant,-0.05396825396825508,-0.033333333333319504
architect,-0.007936507936518913,-0.017460317460307746
bank teller,-0.0015873015873044264,-0.014285714285703278
business manager,0.009523809523802006,0.009523809523817352
cashier,-0.07460317460318047,-0.058730158730151236
chef,-0.017460317460319782,0.011111111111123204
civil engineer,-7.598717569895518e-15,0.006349206349213896
computer programmer,-0.05396825396825611,-0.061904761904747564
construction worker,-0.058730158730167806,-0.044444444444438985
doctor,0.07460317460317116,0.06349206349207481
electrician,-0.05714285714286769,-0.058730158730153866
elementary school teacher,0.03492063492062853,0.026984126984135912
farmer,-0.06190476190477215,-0.04920634920634332
flight attendant,-0.007936507936511274,0.006349206349218561
hairdresser,-0.05238095238096361,-0.03650793650793271
janitor,-0.17460317460314448,-0.1936507936507484
journalist,-0.11746031746033309,-0.16190476190476044
lawyer,0.0269841269841193,-0.01904761904761672
mechanic,-0.09206349206350237,-0.08571428571428079
paramedic,-0.05238095238095737,-0.061904761904750825
pharmacist,0.042857142857142067,0.03650793650795091
plumber,-0.03492063492064625,-0.028571428571424265
police officer,0.006349206349186461,-4.107572219209766e-15
real estate agent,0.022222222222219472,0.019047619047631397
registered nurse,0.03809523809524531,0.03174603174605404
social worker,-0.13492063492062287,-0.15079365079362295
truck driver,-0.06984126984128552,-0.046031746031746056
veterinarian,0.02698412698413272,0.02380952380954767
waiter,-0.07301587301592553,-0.06031746031749683
