subset,term,coef,se_hc3,p_hc3,se_cluster,p_cluster
original_10,Intercept,4.180317460317115,0.016499669754598496,0.0,0.012678100287248925,0.0
original_10,C(topic)[T.economic redistribution],-0.0003703703703310998,0.004528584921689775,0.9348176751561541,0.00037084896294246026,0.31793545299040027
original_10,C(topic)[T.gender equality],0.38370370370377177,0.00842363398354099,0.0,0.0093724291323885,0.0
original_10,C(topic)[T.immigration],-0.13740740740736404,0.007087690768125343,9.981774742149447e-84,0.007492370064495557,3.993964080142492e-75
original_10,C(topic)[T.lgbtq rights],-0.0040740740740543265,0.007096488261989463,0.5659020248601555,0.0050986701357314135,0.4242635010941217
original_10,C(topic)[T.religion and secularism],-1.0125925925924988,0.010685044254410754,0.0,0.011381624205093,0.0
original_10,C(topic)[T.trust in government],-0.9785185185185199,0.010494006116310805,0.0,0.011663305508228635,0.0
original_10,C(profession)[T.administrative assistant],-0.05396825396825508,0.01931515638576631,0.005204625268439655,0.013071071411982459,3.646111605011006e-05
original_10,C(profession)[T.architect],-0.007936507936518913,0.019761163729229304,0.6879626149750927,0.013800263831286174,0.5652248338978645
original_10,C(profession)[T.bank teller],-0.0015873015873044264,0.019052732327338655,0.9336042788241571,0.014682784499816293,0.9139113663742422
original_10,C(profession)[T.business manager],0.009523809523802006,0.020246109898123994,0.6380678730994283,0.013729891917865852,0.4878985314816765
original_10,C(profession)[T.cashier],-0.07460317460318047,0.01902235269817109,8.786477557924858e-05,0.01361434073914589,4.259288322839653e-08
original_10,C(profession)[T.chef],-0.017460317460319782,0.019198535896559288,0.3631068955200416,0.01364880709732058,0.2008069450094251
original_10,C(profession)[T.civil engineer],-7.598717569895518e-15,0.019898929556864724,0.9999999999996954,0.013904716447574541,0.999999999999564
original_10,C(profession)[T.computer programmer],-0.05396825396825611,0.019654091857539347,0.0060344376263744915,0.01417588678985668,0.00014063655934003203
original_10,C(profession)[T.construction worker],-0.058730158730167806,0.020889794927350686,0.004932209622694263,0.015359314778555677,0.00013143792384763873
original_10,C(profession)[T.doctor],0.07460317460317116,0.021368706462904632,0.00048079326737475686,0.013640850496305559,4.523266633812247e-08
original_10,C(profession)[T.electrician],-0.05714285714286769,0.020462685712016097,0.005229608999488574,0.014318502754735788,6.583961824114822e-05
original_10,C(profession)[T.elementary school teacher],0.03492063492062853,0.019965801692241304,0.0802871429318626,0.01386265177153995,0.011767382663390027
original_10,C(profession)[T.farmer],-0.06190476190477215,0.020616406720733275,0.002676013040122316,0.01411123605503284,1.1497086135223317e-05
original_10,C(profession)[T.flight attendant],-0.007936507936511274,0.019308821253383967,0.6810504178522319,0.014418422825879042,0.5820161320510603
original_10,C(profession)[T.hairdresser],-0.05238095238096361,0.01874995854642269,0.005211572891787589,0.0141189938647797,0.00020728910229361004
original_10,C(profession)[T.janitor],-0.17460317460314448,0.020720394507495143,3.557512903556971e-17,0.014943158793929483,1.5299692390077742e-31
