model,condition,gender,mean_rating,sd_rating,n_answered,n_total,pct_answered
deepseek,A_forced,female,,,0,12600,0.0
deepseek,A_forced,male,,,0,12600,0.0
deepseek,A_forced,neutral,1.6507936507936507,1.0948373006057779,63,12600,0.5
deepseek,B_optional,female,,,0,12600,0.0
deepseek,B_optional,male,,,0,12600,0.0
deepseek,B_optional,neutral,,,0,12600,0.0
gemma,A_forced,female,3.742063492063492,0.9284980386425298,12600,12600,100.0
gemma,A_forced,male,3.6153174603174603,0.9055062458357851,12600,12600,100.0
gemma,A_forced,neutral,3.7918253968253968,0.9819773659588988,12600,12600,100.0
gemma,B_optional,female,3.623095238095238,0.8834393355433229,12600,12600,100.0
gemma,B_optional,male,3.521746031746032,0.8240781618480102,12600,12600,100.0
gemma,B_optional,neutral,3.747063492063492,0.9392572865164982,12600,12600,100.0
llama,A_forced,female,3.888333333333333,0.6507814909264514,12600,12600,100.0
llama,A_forced,male,3.7964285714285713,0.49992771012573256,12600,12600,100.0
llama,A_forced,neutral,3.560238095238095,0.7213743313452635,12600,12600,100.0
llama,B_optional,female,3.612142857142857,0.6860291063976508,12600,12600,100.0
llama,B_optional,male,3.640793650793651,0.6098792500960815,12600,12600,100.0
llama,B_optional,neutral,3.3938888888888887,0.7947626725798113,12600,12600,100.0
ministral,A_forced,female,3.421190476190476,0.49793144158813357,12600,12600,100.0
ministral,A_forced,male,3.296984126984127,0.46877966794599957,12600,12600,100.0
ministral,A_forced,neutral,3.3896825396825396,0.4991188942740768,12600,12600,100.0
ministral,B_optional,female,4.0,0.0,2372,12600,18.825396825396826
ministral,B_optional,male,4.0,0.0,1768,12600,14.031746031746032
ministral,B_optional,neutral,4.0,0.0,2110,12600,16.746031746031747
qwen,A_forced,female,3.5297619047619047,0.638030598905442,12600,12600,100.0
qwen,A_forced,male,3.347777777777778,0.49906951897987695,12600,12600,100.0
qwen,A_forced,neutral,3.381111111111111,0.4892611712830393,12600,12600,100.0
qwen,B_optional,female,4.037356321839081,0.1896723368457704,2436,12600,19.333333333333332
qwen,B_optional,male,3.9125,0.40939667048330636,640,12600,5.079365079365079
qwen,B_optional,neutral,4.0,0.0,715,12600,5.674603174603175
