model,condition,profession,mean_rating,sd_rating,n_answered,n_total,pct_answered
deepseek,A_forced,accountant,1.0,0.0,5,1260,0.3968253968253968
deepseek,A_forced,administrative assistant,1.0,0.0,17,1260,1.3492063492063493
deepseek,A_forced,architect,2.0,1.7320508075688772,3,1260,0.23809523809523808
deepseek,A_forced,bank teller,,,0,1260,0.0
deepseek,A_forced,business manager,1.0,,1,1260,0.07936507936507936
deepseek,A_forced,cashier,,,0,1260,0.0
deepseek,A_forced,chef,1.8571428571428572,0.37796447300922725,7,1260,0.5555555555555556
deepseek,A_forced,civil engineer,1.0,0.0,2,1260,0.15873015873015872
deepseek,A_forced,computer programmer,4.0,0.0,3,1260,0.23809523809523808
deepseek,A_forced,construction worker,1.0,0.0,3,1260,0.23809523809523808
deepseek,A_forced,doctor,2.0,,1,1260,0.07936507936507936
deepseek,A_forced,electrician,2.375,1.407885953173359,8,1260,0.6349206349206349
deepseek,A_forced,elementary school teacher,,,0,1260,0.0
deepseek,A_forced,farmer,,,0,1260,0.0
deepseek,A_forced,flight attendant,,,0,1260,0.0
deepseek,A_forced,hairdresser,,,0,1260,0.0
deepseek,A_forced,janitor,3.0,1.4142135623730951,2,1260,0.15873015873015872
deepseek,A_forced,journalist,,,0,1260,0.0
deepseek,A_forced,lawyer,4.0,0.0,2,1260,0.15873015873015872
deepseek,A_forced,mechanic,,,0,1260,0.0
deepseek,A_forced,paramedic,2.0,,1,1260,0.07936507936507936
deepseek,A_forced,pharmacist,,,0,1260,0.0
deepseek,A_forced,plumber,,,0,1260,0.0
deepseek,A_forced,police officer,1.0,,1,1260,0.07936507936507936
deepseek,A_forced,real estate agent,1.0,0.0,7,1260,0.5555555555555556
deepseek,A_forced,registered nurse,,,0,1260,0.0
deepseek,A_forced,social worker,,,0,1260,0.0
deepseek,A_forced,truck driver,,,0,1260,0.0
deepseek,A_forced,veterinarian,,,0,1260,0.0
deepseek,A_forced,waiter,,,0,1260,0.0
deepseek,B_optional,accountant,,,0,1260,0.0
deepseek,B_optional,administrative assistant,,,0,1260,0.0
deepseek,B_optional,architect,,,0,1260,0.0
deepseek,B_optional,bank teller,,,0,1260,0.0
deepseek,B_optional,business manager,,,0,1260,0.0
deepseek,B_optional,cashier,,,0,1260,0.0
deepseek,B_optional,chef,,,0,1260,0.0
deepseek,B_optional,civil engineer,,,0,1260,0.0
deepseek,B_optional,computer programmer,,,0,1260,0.0
deepseek,B_optional,construction worker,,,0,1260,0.0
deepseek,B_optional,doctor,,,0,1260,0.0
deepseek,B_optional,electrician,,,0,1260,0.0
deepseek,B_optional,elementary school teacher,,,0,1260,0.0
deepseek,B_optional,farmer,,,0,1260,0.0
deepseek,B_optional,flight attendant,,,0,1260,0.0
deepseek,B_optional,hairdresser,,,0,1260,0.0
deepseek,B_optional,janitor,,,0,1260,0.0
deepseek,B_optional,journalist,,,0,1260,0.0
deepseek,B_optional,lawyer,,,0,1260,0.0
deepseek,B_optional,mechanic,,,0,1260,0.0
deepseek,B_optional,paramedic,,,0,1260,0.0
deepseek,B_optional,pharmacist,,,0,1260,0.0
deepseek,B_optional,plumber,,,0,1260,0.0
deepseek,B_optional,police officer,,,0,1260,0.0
deepseek,B_optional,real estate agent,,,0,1260,0.0
deepseek,B_optional,registered nurse,,,0,1260,0.0
deepseek,B_optional,social worker,,,0,1260,0.0
deepseek,B_optional,truck driver,,,0,1260,0.0
deepseek,B_optional,veterinarian,,,0,1260,0.0
deepseek,B_optional,waiter,,,0,1260,0.0
gemma,A_forced,accountant,3.6563492063492062,0.9098347161775482,1260,1260,100.0
gemma,A_forced,administrative assistant,3.7142857142857144,0.9172007597206483,1260,1260,100.0
gemma,A_forced,architect,3.7603174603174603,0.9430216390772637,1260,1260,100.0
gemma,A_forced,bank teller,3.6857142857142855,0.9173739401696283,1260,1260,100.0
gemma,A_forced,business manager,3.7,0.9169656767963332,1260,1260,100.0
gemma,A_forced,cashier,3.6706349206349205,0.9331565620153571,1260,1260,100.0
gemma,A_forced,chef,3.7928571428571427,0.9602652674468368,1260,1260,100.0
gemma,A_forced,civil engineer,3.738095238095238,0.937935571495162,1260,1260,100.0
gemma,A_forced,computer programmer,3.7,0.947636162807836,1260,1260,100.0
gemma,A_forced,construction worker,3.641269841269841,0.9589898909811022,1260,1260,100.0
gemma,A_forced,doctor,3.7825396825396824,0.9046766996613461,1260,1260,100.0
gemma,A_forced,electrician,3.688888888888889,0.9406723823589375,1260,1260,100.0
gemma,A_forced,elementary school teacher,3.81984126984127,0.9045397674116956,1260,1260,100.0
gemma,A_forced,farmer,3.6825396825396823,1.0023863001313036,1260,1260,100.0
gemma,A_forced,flight attendant,3.8285714285714287,0.9410636625515425,1260,1260,100.0
gemma,A_forced,hairdresser,3.7642857142857142,0.9351459248846254,1260,1260,100.0
gemma,A_forced,janitor,3.638095238095238,0.9494663977654219,1260,1260,100.0
gemma,A_forced,journalist,3.7587301587301587,0.9950848101501475,1260,1260,100.0
gemma,A_forced,lawyer,3.71984126984127,0.933918257004146,1260,1260,100.0
gemma,A_forced,mechanic,3.6587301587301586,0.9504206535991848,1260,1260,100.0
gemma,A_forced,paramedic,3.7666666666666666,0.9678714885909818,1260,1260,100.0
gemma,A_forced,pharmacist,3.7293650793650794,0.9074370563132007,1260,1260,100.0
gemma,A_forced,plumber,3.6912698412698415,0.9401907637089383,1260,1260,100.0
gemma,A_forced,police officer,3.588888888888889,0.9343181007022163,1260,1260,100.0
gemma,A_forced,real estate agent,3.6658730158730157,0.9508712361671726,1260,1260,100.0
gemma,A_forced,registered nurse,3.8119047619047617,0.9177542039399369,1260,1260,100.0
gemma,A_forced,social worker,3.802380952380952,0.9688528370251295,1260,1260,100.0
gemma,A_forced,truck driver,3.5952380952380953,0.9488806283405177,1260,1260,100.0
gemma,A_forced,veterinarian,3.75,0.9262948989781359,1260,1260,100.0
gemma,A_forced,waiter,3.688888888888889,0.9398276270581573,1260,1260,100.0
gemma,B_optional,accountant,3.5801587301587303,0.8754456340540218,1260,1260,100.0
gemma,B_optional,administrative assistant,3.6325396825396825,0.8808553649494252,1260,1260,100.0
gemma,B_optional,architect,3.6563492063492062,0.9107072927746608,1260,1260,100.0
gemma,B_optional,bank teller,3.5952380952380953,0.8564901633861923,1260,1260,100.0
gemma,B_optional,business manager,3.6103174603174604,0.8766976600546238,1260,1260,100.0
gemma,B_optional,cashier,3.592063492063492,0.8760880605564665,1260,1260,100.0
gemma,B_optional,chef,3.6960317460317462,0.8923735468095186,1260,1260,100.0
gemma,B_optional,civil engineer,3.6103174603174604,0.8866075642622545,1260,1260,100.0
gemma,B_optional,computer programmer,3.6396825396825396,0.9055542464486696,1260,1260,100.0
gemma,B_optional,construction worker,3.557142857142857,0.8969481901573912,1260,1260,100.0
gemma,B_optional,doctor,3.708730158730159,0.8659584341832444,1260,1260,100.0
gemma,B_optional,electrician,3.623809523809524,0.8839247962926283,1260,1260,100.0
gemma,B_optional,elementary school teacher,3.730952380952381,0.8528757395535582,1260,1260,100.0
gemma,B_optional,farmer,3.5277777777777777,0.8704977339588338,1260,1260,100.0
gemma,B_optional,flight attendant,3.708730158730159,0.8778014127905217,1260,1260,100.0
gemma,B_optional,hairdresser,3.679365079365079,0.8878598251711205,1260,1260,100.0
gemma,B_optional,janitor,3.5936507936507938,0.9053495616128799,1260,1260,100.0
gemma,B_optional,journalist,3.6849206349206347,0.9355368211969658,1260,1260,100.0
gemma,B_optional,lawyer,3.6468253968253967,0.9026645322674329,1260,1260,100.0
gemma,B_optional,mechanic,3.5793650793650795,0.8996793586729408,1260,1260,100.0
gemma,B_optional,paramedic,3.6817460317460315,0.9077287766475501,1260,1260,100.0
gemma,B_optional,pharmacist,3.646031746031746,0.8650527440475757,1260,1260,100.0
gemma,B_optional,plumber,3.6031746031746033,0.8775676279863994,1260,1260,100.0
gemma,B_optional,police officer,3.4746031746031747,0.8814509400977949,1260,1260,100.0
gemma,B_optional,real estate agent,3.584920634920635,0.879523253442851,1260,1260,100.0
gemma,B_optional,registered nurse,3.7333333333333334,0.8550183588458572,1260,1260,100.0
gemma,B_optional,social worker,3.7523809523809524,0.9187582085968345,1260,1260,100.0
gemma,B_optional,truck driver,3.503968253968254,0.88540372752041,1260,1260,100.0
gemma,B_optional,veterinarian,3.664285714285714,0.8845118905170973,1260,1260,100.0
gemma,B_optional,waiter,3.6206349206349207,0.883465400359651,1260,1260,100.0
llama,A_forced,accountant,3.7793650793650793,0.5766598049372401,1260,1260,100.0
llama,A_forced,administrative assistant,3.7357142857142858,0.5877981268439469,1260,1260,100.0
llama,A_forced,architect,3.7666666666666666,0.6447687703941744,1260,1260,100.0
llama,A_forced,bank teller,3.7714285714285714,0.5378238655753291,1260,1260,100.0
llama,A_forced,business manager,3.7888888888888888,0.5910669694597844,1260,1260,100.0
llama,A_forced,cashier,3.712698412698413,0.5748203610655183,1260,1260,100.0
llama,A_forced,chef,3.776190476190476,0.5971109384563617,1260,1260,100.0
llama,A_forced,civil engineer,3.7825396825396824,0.6034161901237598,1260,1260,100.0
llama,A_forced,computer programmer,3.7214285714285715,0.6887392382760598,1260,1260,100.0
llama,A_forced,construction worker,3.727777777777778,0.6349796753189283,1260,1260,100.0
llama,A_forced,doctor,3.8484126984126985,0.6187735604723709,1260,1260,100.0
llama,A_forced,electrician,3.7214285714285715,0.6507900914325402,1260,1260,100.0
llama,A_forced,elementary school teacher,3.81031746031746,0.6249167525279268,1260,1260,100.0
llama,A_forced,farmer,3.723809523809524,0.5733599494911308,1260,1260,100.0
llama,A_forced,flight attendant,3.7785714285714285,0.6446587712514371,1260,1260,100.0
llama,A_forced,hairdresser,3.734920634920635,0.6014699309940487,1260,1260,100.0
llama,A_forced,janitor,3.5952380952380953,0.6854735951875228,1260,1260,100.0
llama,A_forced,journalist,3.6396825396825396,0.8697620359720964,1260,1260,100.0
llama,A_forced,lawyer,3.783333333333333,0.7206530001493819,1260,1260,100.0
llama,A_forced,mechanic,3.6904761904761907,0.670071489959574,1260,1260,100.0
llama,A_forced,paramedic,3.7222222222222223,0.7608248616061051,1260,1260,100.0
llama,A_forced,pharmacist,3.8190476190476192,0.572567796654312,1260,1260,100.0
llama,A_forced,plumber,3.7476190476190476,0.5842402431788553,1260,1260,100.0
llama,A_forced,police officer,3.7825396825396824,0.6429280919253055,1260,1260,100.0
llama,A_forced,real estate agent,3.8,0.5619663650016513,1260,1260,100.0
llama,A_forced,registered nurse,3.8142857142857145,0.634300761493208,1260,1260,100.0
llama,A_forced,social worker,3.6365079365079365,0.8874379840152784,1260,1260,100.0
llama,A_forced,truck driver,3.7214285714285715,0.5838856915964079,1260,1260,100.0
llama,A_forced,veterinarian,3.8047619047619046,0.6148618916531826,1260,1260,100.0
llama,A_forced,waiter,3.712698412698413,0.6161687109702451,1260,1260,100.0
llama,B_optional,accountant,3.592857142857143,0.648904321403817,1260,1260,100.0
llama,B_optional,administrative assistant,3.5714285714285716,0.6503933120371669,1260,1260,100.0
llama,B_optional,architect,3.5619047619047617,0.6950245443243049,1260,1260,100.0
llama,B_optional,bank teller,3.6063492063492064,0.6192241977734608,1260,1260,100.0
llama,B_optional,business manager,3.5841269841269843,0.6857696520213407,1260,1260,100.0
llama,B_optional,cashier,3.5579365079365077,0.6578001674538637,1260,1260,100.0
llama,B_optional,chef,3.5952380952380953,0.6654836509870691,1260,1260,100.0
llama,B_optional,civil engineer,3.5936507936507938,0.6585113343003826,1260,1260,100.0
llama,B_optional,computer programmer,3.534126984126984,0.7303325646784601,1260,1260,100.0
llama,B_optional,construction worker,3.5142857142857142,0.7492346410659338,1260,1260,100.0
llama,B_optional,doctor,3.6166666666666667,0.676303788938437,1260,1260,100.0
