term,coef_hc3,se_hc3,p_hc3,ci_low_hc3,ci_high_hc3,coef_cluster,se_cluster,p_cluster,ci_low_cluster,ci_high_cluster,coef_mixedlm,se_mixedlm,p_mixedlm,ci_low_mixedlm,ci_high_mixedlm,mixedlm_status,inferential_status,analysis_note,p_hc3_bh_adj,p_cluster_bh_adj,p_mixedlm_bh_adj
C(age)[T.45],0.1507632905464702,0.4079407272517718,0.7117017456486322,-0.6487858426940799,0.9503124237870204,0.1507632905464702,0.3240399402905466,0.6417442419819208,-0.4843433219755108,0.7858699030684512,0.1687291893473943,0.314315629925377,0.5913957511720183,-0.4473181250843646,0.7847765037791533,converged (default),NON-INFERENTIAL / EXPLORATORY ONLY,n=63 strict-valid rows; rank-deficient sparse design and numerically unstable coefficients/SEs/p-values. Do not interpret significance.,0.8479377349981001,0.6638733537744008,0.6463556120077418
C(age)[T.65],-0.1566505020227014,0.2843066132398821,0.5816395623375077,-0.7138812245394289,0.400580220494026,-0.1566505020227014,0.2224503815153909,0.4813055904476376,-0.5926452381400622,0.2793442340946593,-0.1794076607752429,0.3184316000212848,0.5731554877058015,-0.8035221283564251,0.4447068068059392,converged (default),NON-INFERENTIAL / EXPLORATORY ONLY,n=63 strict-valid rows; rank-deficient sparse design and numerically unstable coefficients/SEs/p-values. Do not interpret significance.,0.7270494529218846,0.5156845611938974,0.6463556120077418
C(country)[T.Egypt],-1.3319236038689877,0.9137248325296572,0.1449272008349967,-3.122791367407008,0.4589441596690329,-1.3319236038689877,0.6430118307626731,0.0383230431509261,-2.5922036337969914,-0.0716435739409839,-1.3005811019117606,0.4505310899969971,0.0038921460891912,-2.183605812221449,-0.4175563916020725,converged (default),NON-INFERENTIAL / EXPLORATORY ONLY,n=63 strict-valid rows; rank-deficient sparse design and numerically unstable coefficients/SEs/p-values. Do not interpret significance.,0.3430961293211418,0.07185570590798644,0.01366341085863823
C(country)[T.France],-1.631504238650205,1.0362357850494872,0.1153828264521676,-3.662489056838789,0.3994805795383791,-1.631504238650205,0.6883221206555512,0.0177754510610777,-2.980590804897319,-0.2824176724030911,-1.6419547484581656,0.8502190226813222,0.0534566124624473,-3.3083534118844007,0.0244439149680693,converged (default),NON-INFERENTIAL / EXPLORATORY ONLY,n=63 strict-valid rows; rank-deficient sparse design and numerically unstable coefficients/SEs/p-values. Do not interpret significance.,0.3430961293211418,0.04443862765269425,0.08918462144512686
C(country)[T.Italy],-1.8734878526339795,2.7892794864400576,0.5017909504038369,-7.34037518887287,3.5933994836049115,-1.8734878526339795,0.6588983226009996,0.0044640038600042,-3.1649048344057924,-0.5820708708621665,-1.800319954062687,0.7759081289237129,0.0203260251209483,-3.321071942065025,-0.2795679660603489,converged (default),NON-INFERENTIAL / EXPLORATORY ONLY,n=63 strict-valid rows; rank-deficient sparse design and numerically unstable coefficients/SEs/p-values. Do not interpret significance.,0.7168442148626242,0.014880012866680668,0.045007627053528385
C(country)[T.Japan],-2.1764325715779473,0.99308099668947,0.0284086741812781,-4.12283555882045,-0.2300295843354451,-2.1764325715779473,0.6808192530089522,0.0013896861079618,-3.5108137874569563,-0.8420513556989382,-2.1405024765592384,0.5928887983018105,0.0003058509155127,-3.302543168068019,-0.9784617850504576,converged (default),NON-INFERENTIAL / EXPLORATORY ONLY,n=63 strict-valid rows; rank-deficient sparse design and numerically unstable coefficients/SEs/p-values. Do not interpret significance.,0.183153070304892,0.014880012866680668,0.00189627567617874
C(country)[T.Mexico],-1.8734878526339904,0.924593044124094,0.0427357164044748,-3.685656919473468,-0.0613187857945132,-1.8734878526339904,0.6588983226010026,0.0044640038600041,-3.1649048344058093,-0.5820708708621718,-1.800319954062687,0.7759081289237129,0.0203260251209483,-3.321071942065025,-0.2795679660603489,converged (default),NON-INFERENTIAL / EXPLORATORY ONLY,n=63 strict-valid rows; rank-deficient sparse design and numerically unstable coefficients/SEs/p-values. Do not interpret significance.,0.183153070304892,0.014880012866680668,0.045007627053528385
C(country)[T.Morocco],-1.913110117003559,0.9129342473510684,0.0361210825905901,-3.7024283620648344,-0.1237918719422837,-1.913110117003559,0.6507984726526104,0.0032859884491646,-3.1886516845963504,-0.6375685494107672,-1.871969730157891,0.516256323067696,0.0002877929124859,-2.8838135301616497,-0.8601259301541322,converged (default),NON-INFERENTIAL / EXPLORATORY ONLY,n=63 strict-valid rows; rank-deficient sparse design and numerically unstable coefficients/SEs/p-values. Do not interpret significance.,0.183153070304892,0.014880012866680668,0.00189627567617874
C(country)[T.Nigeria],-1.9357557825239708,0.8825565705089726,0.0282821449891686,-3.665534875040742,-0.2059766900071997,-1.9357557825239708,0.6161405117629596,0.0016794478259451,-3.1433689949954493,-0.7281425700524926,-1.9022665431339043,0.5001266851616658,0.0001426260268398,-2.882496833758172,-0.9220362525096368,converged (default),NON-INFERENTIAL / EXPLORATORY ONLY,n=63 strict-valid rows; rank-deficient sparse design and numerically unstable coefficients/SEs/p-values. Do not interpret significance.,0.183153070304892,0.014880012866680668,0.0014738022773446
C(country)[T.Pakistan],-1.931084873431412,0.9484478696354336,0.041745590046785,-3.7900085391306018,-0.0721612077322222,-1.931084873431412,0.671286932589876,0.0040186929303574,-3.246783084599936,-0.6153866622628881,-1.9833283950045688,0.512308940768681,0.0001082332322014,-2.9874354678690476,-0.97922132214009,converged (default),NON-INFERENTIAL / EXPLORATORY ONLY,n=63 strict-valid rows; rank-deficient sparse design and numerically unstable coefficients/SEs/p-values. Do not interpret significance.,0.183153070304892,0.014880012866680668,0.0014738022773446
