term,coef_hc3,se_hc3,p_hc3,ci_low_hc3,ci_high_hc3,coef_cluster,se_cluster,p_cluster,ci_low_cluster,ci_high_cluster,coef_mixedlm,se_mixedlm,p_mixedlm,ci_low_mixedlm,ci_high_mixedlm,mixedlm_status,p_hc3_bh_adj,p_cluster_bh_adj,p_mixedlm_bh_adj
C(age)[T.45],-0.0253968253968252,0.004033342584525,3.0401141210735257e-10,-0.0333020315998059,-0.0174916191938444,-0.0253968253968252,0.0032917121040293,1.2061780328533196e-14,-0.0318484625681972,-0.0189451882254532,-0.0253968253974913,0.004080371177738,4.841864588537078e-10,-0.0333942059494131,-0.0173994448455696,converged (default),5.211624207554615e-10,2.1285494697411524e-14,8.438678282878908e-10
C(age)[T.65],-0.0688095238095247,0.0040990247060197,3.048246688552842e-63,-0.0768434646050632,-0.0607755830139862,-0.0688095238095247,0.0035941805394525,1.0714498217639615e-81,-0.0758539882207865,-0.0617650593982629,-0.0688095238101935,0.004080371177738,8.343108824577126e-64,-0.0768069043621152,-0.0608121432582717,converged (default),1.4068830870243885e-62,4.591927807559834e-81,3.914843371532344e-63
C(country)[T.Brazil],0.0087301587305522,0.0093114082290799,0.3484620269912406,-0.0095198660437942,0.0269801835048987,0.0087301587305522,0.0068152868688771,0.200205197839524,-0.0046275580767556,0.0220878755378601,0.0087301587242243,0.010535473078486,0.4073057658370913,-0.0119189890696995,0.0293793065181482,converged (default),0.37335217177632923,0.21840567037038983,0.4358886265975889
C(country)[T.Canada],0.0730158730156196,0.0102497111197076,1.0506716538886126e-12,0.0529268083690529,0.0931049376621863,0.0730158730156196,0.0093187308736123,4.673967378754525e-15,0.054751496121718,0.0912802499095212,0.073015873009934,0.0105354730784859,4.1941856730787945e-12,0.0523667252160101,0.0936650208038579,converged (default),1.9103120979792953e-12,8.498122506826408e-15,7.995166439306451e-12
C(country)[T.China],-0.0798941798942395,0.0093764180473584,1.5851377922783534e-17,-0.0982716215710534,-0.0615167382174256,-0.0798941798942395,0.0073498766592816,1.5995721013634539e-27,-0.0942996734372431,-0.0654886863512359,-0.0798941799001252,0.010535473078486,3.3674478511579684e-14,-0.1005433276940491,-0.0592450321062013,converged (default),3.3967238405964717e-17,3.4276545029216866e-27,6.847143964021203e-14
C(country)[T.Egypt],-0.1793650793648948,0.0105445901851919,6.905865276105831e-65,-0.2000320963596055,-0.158698062370184,-0.1793650793648948,0.0070956975789021,5.575840443735097e-141,-0.1932723910647311,-0.1654577676650585,-0.1793650793710267,0.010535473078486,5.370989925926865e-65,-0.2000142271649506,-0.1587159315771028,converged (default),3.452932638052915e-64,3.345504266241058e-140,2.7302532123461568e-64
C(country)[T.France],0.0261904761904073,0.0094374010717156,0.0055171352247755,0.0076935099821848,0.0446874423986298,0.0261904761904073,0.0068755241247965,0.0001393983186736,0.0127146965309697,0.0396662558498449,0.0261904761845493,0.010535473078486,0.0129212428057941,0.0055413283906254,0.0468396239784732,converged (default),0.006755675785439387,0.00018586442489813336,0.016420746065696667
C(country)[T.Germany],-0.0534391534385338,0.0094924906832863,1.8060288631961872e-08,-0.0720440933013571,-0.0348342135757106,-0.0534391534385338,0.0095192997912606,1.979660522844155e-08,-0.0720966381874443,-0.0347816686896234,-0.0534391534450811,0.010535473078486,3.930217391722546e-07,-0.074088301239005,-0.0327900056511572,converged (default),3.0100481053269786e-08,2.969490784266233e-08,6.30903318144935e-07
C(country)[T.India],-0.0240740740735511,0.0099346962838082,0.0153830984775901,-0.0435457209871593,-0.004602427159943,-0.0240740740735511,0.0081290144970702,0.0030614478206114,-0.0400066497176128,-0.0081414984294895,-0.0240740740800098,0.010535473078486,0.0223099444126899,-0.0447232218739337,-0.0034249262860859,converged (default),0.01845971817310812,0.00367373738473368,0.027773604268858856
C(country)[T.Italy],-0.0455026455019312,0.0091346444047237,6.314991440039804e-07,-0.0634062195467702,-0.0275990714570923,-0.0455026455019312,0.0068276029518673,2.6554522770306457e-11,-0.0588845013883306,-0.0321207896155318,-0.0455026455085776,0.010535473078486,1.5674200947553267e-05,-0.0661517933025015,-0.0248534977146537,converged (default),9.484282603610976e-07,4.306138827617263e-11,2.332015262928657e-05
