term,coef_hc3,se_hc3,p_hc3,ci_low_hc3,ci_high_hc3,coef_cluster,se_cluster,p_cluster,ci_low_cluster,ci_high_cluster,coef_mixedlm,se_mixedlm,p_mixedlm,ci_low_mixedlm,ci_high_mixedlm,mixedlm_status,p_hc3_bh_adj,p_cluster_bh_adj,p_mixedlm_bh_adj
C(age)[T.45],0.0068253968253955,0.0035434934926006,0.0540822357946174,-0.0001197227995537,0.0137705164503449,0.0068253968253955,0.0025814494119964,0.0081928476043911,0.0017658489499703,0.0118849447008207,0.0068253968250856,0.0036074345779953,0.0584861572478657,-0.0002450450243696,0.0138958386745409,converged (default),0.06760279474327174,0.010241059505488873,0.07590756578978314
C(age)[T.65],0.0717063492063505,0.003617896358829,2.0050104007176748e-87,0.064615402643247,0.0787972957694539,0.0717063492063505,0.0027239999073218,1.0211270772655749e-152,0.0663674074941093,0.0770452909185916,0.0717063492060323,0.0036074345779953,6.388339895060168e-88,0.064635907356577,0.0787767910554876,converged (default),1.33667360047845e-86,7.658453079491813e-152,4.8711091699833785e-87
C(country)[T.Brazil],0.0740740740745368,0.0079390682609311,1.055483950416469e-20,0.0585137862123067,0.0896343619367668,0.0740740740745368,0.0058569003650491,1.1576122929755087e-36,0.0625947602980009,0.0855533878510726,0.0740740740683362,0.0093143560287414,1.825223394526673e-15,0.0558182717128195,0.0923298764238529,converged (default),4.52350264464201e-20,4.341046098658158e-36,6.958664191632941e-15
C(country)[T.Canada],0.0687830687828102,0.0087877779264959,4.9913808220824675e-15,0.051559340542742,0.0860067970228784,0.0687830687828102,0.0055523069740066,3.0277679400848853e-35,0.0579007470826467,0.0796653904829737,0.0687830687773492,0.0093143560287414,1.528784363411166e-13,0.0505272664218325,0.087038871132866,converged (default),1.4974142466247403e-14,9.561372442373322e-35,4.662792308404057e-13
C(country)[T.China],-0.0608465608466309,0.0080359810283587,3.6818673448707624e-14,-0.0765967942426612,-0.0450963274506005,-0.0608465608466309,0.0062752411107774,3.1265970508455873e-22,-0.0731458074180599,-0.0485473142752019,-0.0608465608522755,0.0093143560287414,6.465621518900514e-11,-0.0791023632077922,-0.0425907584967588,converged (default),1.004145639510208e-13,7.816492627113968e-22,1.643345469387214e-10
C(country)[T.Egypt],-0.0650793650793503,0.0103757689940263,3.558790267987415e-10,-0.0854154986195493,-0.0447432315391513,-0.0650793650793503,0.0067940140704365,9.805830177796393e-22,-0.0783953879678643,-0.0517633421908363,-0.0650793650850927,0.0093143560287414,2.808349391402786e-12,-0.0833351674406094,-0.0468235627295759,converged (default),8.212592926124803e-10,2.353399242671134e-21,7.786786948889542e-12
C(country)[T.France],0.0690476190475211,0.0086583786919298,1.5280190228008697e-15,0.0520775086468296,0.0860177294482126,0.0690476190475211,0.0053170182615158,1.4661114238974206e-38,0.0586264547498082,0.079468783345234,0.0690476190418923,0.0093143560287414,1.2344411047511636e-13,0.0507918166863756,0.087303421397409,converged (default),5.3930083157677754e-15,5.864445695589682e-38,3.9632056520958413e-13
C(country)[T.Germany],0.0669312169317727,0.0085112724358,3.7255699447870576e-15,0.050249429494996,0.0836130043685493,0.0669312169317727,0.0052953785733475,1.277786693348449e-36,0.0565524656435063,0.077309968220039,0.0669312169254917,0.0093143560287414,6.680862804051432e-13,0.048675414569975,0.0851870192810084,converged (default),1.1764957720380183e-14,4.509835388288644e-36,1.9406315764149398e-12
C(country)[T.India],0.0595238095242735,0.0089820805580754,3.42690861766541e-11,0.0419192551242081,0.0771283639243389,0.0595238095242735,0.006976215980709,1.4335233858201528e-17,0.045850677453711,0.0731969415948359,0.0595238095180881,0.0093143560287414,1.6529576244910074e-10,0.0412680071625714,0.0777796118736048,converged (default),8.939761611301068e-11,3.1856075240447836e-17,3.7344598182944984e-10
C(country)[T.Italy],0.1227513227520818,0.0084642441289294,1.170939195172064e-47,0.1061617091030254,0.1393409364011382,0.1227513227520818,0.0055849386567401,4.575059199228635e-107,0.1118050441290055,0.1336976013751581,0.1227513227455839,0.0093143560287414,1.1634268468387916e-39,0.1044955203900672,0.1410071251011006,converged (default),7.025635171032384e-47,3.0500394661524234e-106,5.914086471430523e-39
C(country)[T.Japan],0.0476190476190822,0.0077373647193971,7.534934189230915e-10,0.032454091433813,0.0627840038043514,0.0476190476190822,0.0065618429169207,3.9587955853614195e-13,0.0347580718297082,0.0604800234084561,0.0476190476133108,0.0093143560287414,3.180310151026969e-07,0.0293632452577941,0.0658748499688275,converged (default),1.674429819829092e-09,7.422741722552662e-13,6.062466225395159e-07
C(country)[T.Kenya],-0.0015873015871269,0.0087359485005794,0.8558199856833547,-0.0187094460190593,0.0155348428448054,-0.0015873015871269,0.0064094462137078,0.8044049515603886,-0.0141495853268409,0.010974982152587,-0.0015873015930258,0.0093143560287414,0.8646841469911322,-0.0198431039485425,0.0166685007624909,converged (default),0.887952547151051,0.832143053338333,0.9094091890768804
C(country)[T.Mexico],-0.0603174603168787,0.0092046298772326,5.641219045358202e-11,-0.078358203367276,-0.0422767172664813,-0.0603174603168787,0.0071279284879461,2.6253672844455248e-17,-0.0742879434376302,-0.0463469771961271,-0.0603174603231855,0.0093143560287414,9.434084804441724e-11,-0.0785732626787023,-0.0420616579676688,converged (default),1.4103047613395504e-10,5.625787038097553e-17,2.3019166922837806e-10
