term,coef_hc3,se_hc3,p_hc3,ci_low_hc3,ci_high_hc3,coef_cluster,se_cluster,p_cluster,ci_low_cluster,ci_high_cluster,coef_mixedlm,se_mixedlm,p_mixedlm,ci_low_mixedlm,ci_high_mixedlm,mixedlm_status,p_hc3_bh_adj,p_cluster_bh_adj,p_mixedlm_bh_adj
C(age)[T.45],-0.0600264624272916,0.0028454903842048,8.785368757100284e-99,-0.0656035210986882,-0.054449403755895,-0.0600264624272916,0.0019813438131342,1.3007609317802053e-201,-0.0639098249420259,-0.0561430999125573,-0.0600264663909412,0.0028530365834633,2.8536416853923293e-98,-0.0656183153411046,-0.0544346174407778,converged (lbfgs),5.856912504733523e-98,8.671739545201369e-201,1.902427790261553e-97
C(age)[T.65],-0.0926308290602926,0.0029033938509969,2.3254127344905418e-223,-0.0983213764411817,-0.0869402816794035,-0.0926308290602926,0.0020005265067392,0.0,-0.0965517889636192,-0.088709869156966,-0.0926308334481983,0.002869478887921,1.2755074291099919e-228,-0.0982549087229215,-0.087006758173475,converged (lbfgs),1.7440595508679063e-222,0.0,9.566305718324939e-228
C(country)[T.Brazil],-0.030875232677565,0.0076080695263588,4.944781914366064e-05,-0.045786774941105,-0.015963690414025,-0.030875232677565,0.0056661494982897,5.063451489699114e-08,-0.0419806816252326,-0.0197697837298974,-0.0308752428622696,0.0073113874722497,2.411810845571595e-05,-0.0452052989848964,-0.0165451867396428,converged (lbfgs),5.7055175934993043e-05,5.732209233621639e-08,3.078907462431823e-05
C(country)[T.Canada],0.01738743217554,0.0078480625241933,0.0267253305671772,0.0020055122797025,0.0327693520713775,0.01738743217554,0.006318016862854,0.0059225370860371,0.0050043466706294,0.0297705176804506,0.0173874400225534,0.0072437152618474,0.0163794758168752,0.0031900189950692,0.0315848610500375,converged (lbfgs),0.028131926912818107,0.006234249564249579,0.01724155349144758
C(country)[T.China],-0.1156011313978773,0.007443458016133,2.1546263421813086e-54,-0.1301900410299339,-0.1010122217658206,-0.1156011313978773,0.0050889464639845,3.104319261100857e-114,-0.1255752831865395,-0.1056269796092151,-0.1156011380126212,0.0074131872543008,7.998335092694535e-55,-0.1301307180417021,-0.1010715579835402,converged (lbfgs),9.234112895062751e-54,1.3304225404717957e-113,3.427857896869086e-54
C(country)[T.Egypt],-0.1440089464126108,0.0079284731694068,1.003854231370458e-73,-0.1595484682770403,-0.1284694245481813,-0.1440089464126108,0.0054903450086393,1.2252770845882461e-151,-0.1547698248922432,-0.1332480679329784,-0.1440089542376204,0.0074195167878137,6.417464316649683e-84,-0.1585509399244257,-0.129466968550815,converged (lbfgs),5.475568534747953e-73,6.683329552299525e-151,3.85047858998981e-83
C(country)[T.France],-0.0330103456218654,0.0074464568772824,9.291915325272637e-06,-0.0476051329137697,-0.0184155583299611,-0.0330103456218654,0.0053460274170255,6.627116146909584e-10,-0.0434883668195991,-0.0225323244241316,-0.033010353475706,0.0073124919316134,6.354381924155681e-06,-0.0473425742989081,-0.0186781326525039,converged (lbfgs),1.2119889554703438e-05,8.114836098256634e-10,8.288324248898714e-06
C(country)[T.Germany],-0.0456555427713742,0.0073379653548034,4.9140220994517e-10,-0.0600376905865917,-0.0312733949561567,-0.0456555427713742,0.0052808033334265,5.3538441149452114e-18,-0.0560057271143293,-0.0353053584284191,-0.0456555531174701,0.0073007328629817,4.0120662231382367e-10,-0.0599647265896623,-0.0313463796452779,converged (lbfgs),7.37103314917755e-10,7.648348735636017e-18,6.172409574058826e-10
C(country)[T.India],-0.0795673679476569,0.0072852283285143,9.0740774572855e-28,-0.0938461530906959,-0.0652885828046179,-0.0795673679476569,0.0049616659485944,7.113669050298414e-58,-0.0892920545102207,-0.0698426813850931,-0.0795673749662383,0.0073567428385415,2.9047789544605345e-27,-0.0939863259733028,-0.0651484239591738,converged (lbfgs),2.4747483974414998e-27,2.032476871513833e-57,8.714336863381604e-27
C(country)[T.Italy],-0.0705423306412749,0.0073534589697776,8.549280087342713e-22,-0.0849548453838322,-0.0561298158987177,-0.0705423306412749,0.0053582325610796,1.3912484251414746e-39,-0.0810442734817809,-0.0600403878007689,-0.0705423392366553,0.0073701811516501,1.0555253327449492e-21,-0.0849876288534256,-0.056097049619885,converged (lbfgs),1.9729107893867797e-21,3.2105732887880185e-39,2.533260798587878e-21
