term,coef_hc3,se_hc3,p_hc3,ci_low_hc3,ci_high_hc3,coef_cluster,se_cluster,p_cluster,ci_low_cluster,ci_high_cluster,coef_mixedlm,se_mixedlm,p_mixedlm,ci_low_mixedlm,ci_high_mixedlm,mixedlm_status,coef_cluster_modelpersona,se_cluster_modelpersona,p_cluster_modelpersona,ci_low_cluster_modelpersona,ci_high_cluster_modelpersona,p_hc3_bh_adj,p_cluster_bh_adj,p_cluster_modelpersona_bh_adj
C(age)[T.45],0.0172222222222312,0.0048551922690896,0.0003893841480788,0.0077062202367983,0.0267382242076642,0.0172222222222312,0.0033132595269385,2.014770918949733e-07,0.0107283528779975,0.0237160915664649,,,,,,"not_attempted (pooled model, see docstring)",0.0172222222222312,0.0033130294208282,2.010862579400344e-07,0.0107288038776863,0.0237156405667762,0.0007014859461572275,3.685937495132845e-07,3.6226226621258105e-07
"C(age)[T.45]:C(model, Treatment(reference=""llama""))[T.gemma]",-0.0350000000000114,0.0076528969712083,4.798006111710379e-06,-0.0499994024409755,-0.0200005975590473,-0.0350000000000114,0.0049272545653114,1.2177095482271952e-12,-0.0446572414906823,-0.0253427585093405,,,,,,"not_attempted (pooled model, see docstring)",-0.0350000000000114,0.0050607949792137,4.64871161784285e-12,-0.0449189758924114,-0.0250810241076113,1.0887783099650475e-05,3.057228227464022e-12,1.1194856549090944e-11
"C(age)[T.45]:C(model, Treatment(reference=""llama""))[T.ministral]",-0.0827777777777904,0.0058587776832203,2.5223774975676612e-45,-0.0942607710303293,-0.0712947845252515,-0.0827777777777904,0.0041095975633529,3.128037905757913e-90,-0.0908324409929157,-0.0747231145626652,,,,,,"not_attempted (pooled model, see docstring)",-0.0827777777777904,0.0040828274178369,2.154458388050968e-91,-0.0907799724718436,-0.0747755830837373,1.920261578793445e-44,2.381344986318927e-89,1.694840598600095e-90
"C(age)[T.45]:C(model, Treatment(reference=""llama""))[T.qwen]",-0.04555555555557,0.0064567561515793,1.7199794048186425e-12,-0.058210565069623,-0.032900546041517,-0.04555555555557,0.0049870282761816,6.552175416654506e-20,-0.0553299513667689,-0.0357811597443711,,,,,,"not_attempted (pooled model, see docstring)",-0.04555555555557,0.0048666845308373,7.921297427835299e-21,-0.0550940819601295,-0.0360170291510105,6.998536888572407e-12,2.177906194831639e-19,2.7093133231436674e-20
C(age)[T.65],0.0818253968254017,0.0048488657066239,6.853609504691559e-64,0.0723217946745473,0.0913289989762561,0.0818253968254017,0.0032967927578447,5.495068659590971e-136,0.0753638017555336,0.0882869918952698,,,,,,"not_attempted (pooled model, see docstring)",0.0818253968254017,0.0032965637953527,5.264546187291934e-136,0.0753642505137717,0.0882865431370317,6.220968627335416e-63,5.1873448146538764e-135,4.969731600803586e-135
"C(age)[T.65]:C(model, Treatment(reference=""llama""))[T.gemma]",-0.1412698412698491,0.0076964619181785,3.001647717310359e-75,-0.1563546294378632,-0.126185053101835,-0.1412698412698491,0.0051388098765016,2.2635686176353353e-166,-0.151341723551191,-0.1311979589885072,,,,,,"not_attempted (pooled model, see docstring)",-0.1412698412698491,0.0052225547739039,3.824722408233652e-161,-0.1515058605339885,-0.1310338220057097,2.833555445140979e-74,2.543819970294948e-165,3.9244977754049644e-160
"C(age)[T.65]:C(model, Treatment(reference=""llama""))[T.ministral]",-0.1815079365079509,0.0058676930264335,4.243165079426224e-210,-0.1930084035120975,-0.1700074695038043,-0.1815079365079509,0.004002931208763,0.0,-0.1893535375097178,-0.173662335506184,,,,,,"not_attempted (pooled model, see docstring)",-0.1815079365079509,0.0040550449208944,0.0,-0.1894556785085961,-0.1735601945073057,5.2704576776031e-209,0.0,0.0
"C(age)[T.65]:C(model, Treatment(reference=""llama""))[T.qwen]",-0.1317460317460381,0.0065509147357721,5.9013452881420624e-90,-0.1445855886939443,-0.118906474798132,-0.1317460317460381,0.0049336474753707,4.2775479216679866e-157,-0.1414158031101819,-0.1220762603818944,,,,,,"not_attempted (pooled model, see docstring)",-0.1317460317460381,0.0048703856352363,3.775106142471636e-161,-0.1412918121819226,-0.1222002513101536,6.055293426093594e-89,4.3891361283201945e-156,3.9244977754049644e-160
C(country)[T.Brazil],0.0423280423280739,0.0112351665432956,0.0001649168499041,0.0203075205429051,0.0643485641132427,0.0423280423280739,0.0077857049718852,5.429596248594976e-08,0.0270683409889243,0.0575877436672235,,,,,,"not_attempted (pooled model, see docstring)",0.0423280423280739,0.0077851642541195,5.4181066581460744e-08,0.0270694007762709,0.0575866838798769,0.0003113630126189408,1.0251077717347315e-07,1.0311880413890914e-07
"C(country)[T.Brazil]:C(model, Treatment(reference=""llama""))[T.gemma]",-0.0079365079365503,0.0177987485563906,0.6556676171207311,-0.0428214140769603,0.0269483982038595,-0.0079365079365503,0.0116442082446905,0.4955019315182544,-0.0307587367246282,0.0148857208515274,,,,,,"not_attempted (pooled model, see docstring)",-0.0079365079365503,0.0119169623077218,0.5054212355616046,-0.0312933248648065,0.0154203089917057,0.7065641901392353,0.5364149350381102,0.5446548474545145
"C(country)[T.Brazil]:C(model, Treatment(reference=""llama""))[T.ministral]",-0.0751322751323045,0.0143310458955615,1.583095320154693e-07,-0.1032206089483957,-0.0470439413162134,-0.0751322751323045,0.0108955005285067,5.3594247024508486e-12,-0.0964870637617149,-0.0537774865028942,,,,,,"not_attempted (pooled model, see docstring)",-0.0751322751323045,0.0105623528409162,1.1337135608828097e-12,-0.0958341062925047,-0.0544304439721043,4.1978707365899724e-07,1.2776002320993942e-11,2.8163831617720326e-12
"C(country)[T.Brazil]:C(model, Treatment(reference=""llama""))[T.qwen]",-0.0619047619047993,0.0152233218245283,4.773626926368867e-05,-0.0917419244059374,-0.0320675994036612,-0.0619047619047993,0.0115157188178133,7.629630059878969e-08,-0.0844751560438037,-0.0393343677657949,,,,,,"not_attempted (pooled model, see docstring)",-0.0619047619047993,0.011265512724103,3.905592180280835e-08,-0.0839847611114191,-0.0398247626981795,9.711861677784936e-05,1.4290418207392355e-07,7.493656541026642e-08
C(country)[T.Canada],0.0587301587302058,0.0126942149408364,3.718440909245668e-06,0.0338499546341562,0.0836103628262555,0.0587301587302058,0.0077017342309822,2.4294736740066844e-14,0.0436350370189813,0.0738252804414304,,,,,,"not_attempted (pooled model, see docstring)",0.0587301587302058,0.0077011993449892,2.419518348625075e-14,0.0436360853762634,0.0738242320841483,8.688634203781956e-06,6.590296403052615e-14,6.569488779303608e-14
"C(country)[T.Canada]:C(model, Treatment(reference=""llama""))[T.gemma]",-0.0079365079365464,0.0196255167883248,0.685920512804753,-0.0464018140196492,0.0305287981465563,-0.0079365079365464,0.0128575710105152,0.5370610067976586,-0.0331368840458227,0.0172638681727297,,,,,,"not_attempted (pooled model, see docstring)",-0.0079365079365464,0.0132148148169918,0.5481220584224356,-0.0338370690402167,0.0179640531671237,0.7324762037191027,0.5761199891102156,0.5879854808531582
"C(country)[T.Canada]:C(model, Treatment(reference=""llama""))[T.ministral]",-0.0428571428571987,0.0157390913410639,0.006469707028251,-0.0737051950350702,-0.0120090906793271,-0.0428571428571987,0.0107808851508273,7.029360411301737e-05,-0.0639872894742829,-0.0217269962401144,,,,,,"not_attempted (pooled model, see docstring)",-0.0428571428571987,0.0111739142216811,0.0001253275949573,-0.0647576122980336,-0.0209566734163637,0.009850650701078942,0.00010634160622225704,0.0001883905249039669
"C(country)[T.Canada]:C(model, Treatment(reference=""llama""))[T.qwen]",0.0275132275131761,0.0166859561180525,0.099171138261704,-0.0051906455258226,0.0602171005521749,0.0275132275131761,0.0118634868434591,0.020386803952842,0.0042612205689313,0.0507652344574209,,,,,,"not_attempted (pooled model, see docstring)",0.0275132275131761,0.0120695061400272,0.0226334823221483,0.0038574301675377,0.0511690248588145,0.12859554192177,0.026148292026471263,0.0285641808985401
C(country)[T.China],-0.0910052910052655,0.011094460082375,2.349127176810283e-16,-0.1127500331946377,-0.0692605488158932,-0.0910052910052655,0.0074841887327842,5.096199530708093e-34,-0.1056740313750231,-0.0763365506355079,,,,,,"not_attempted (pooled model, see docstring)",-0.0910052910052655,0.0074836689553433,5.0437847047723385e-34,-0.105673012629959,-0.0763375693805719,1.1795617313345251e-15,2.6726735316602447e-33,2.429251408829126e-33
"C(country)[T.China]:C(model, Treatment(reference=""llama""))[T.gemma]",0.0126984126983677,0.017457518408976,0.4669874862031129,-0.0215176946426703,0.0469145200394058,0.0126984126983677,0.0126275040223183,0.3146006057650317,-0.0120510404000108,0.0374478657967464,,,,,,"not_attempted (pooled model, see docstring)",0.0126984126983677,0.0117157759816328,0.2784211337465437,-0.010264086276572,0.0356609116733075,0.5273160131288739,0.353551156954988,0.31590090175088614
"C(country)[T.China]:C(model, Treatment(reference=""llama""))[T.ministral]",-0.0317460317460689,0.0139715417398325,0.0230748887025866,-0.0591297503646389,-0.004362313127499,-0.0317460317460689,0.0098884162675194,0.0013253824653797,-0.051126971494547,-0.0123650919975909,,,,,,"not_attempted (pooled model, see docstring)",-0.0317460317460689,0.0097177158588366,0.001087626826561,-0.0507924048413824,-0.0126996586507554,0.03241472460601451,0.0018508299516544924,0.001509881947461153
"C(country)[T.China]:C(model, Treatment(reference=""llama""))[T.qwen]",0.0142857142856713,0.0154010221197283,0.3536243242169682,-0.0158997343941009,0.0444711629654436,0.0142857142856713,0.0117579662993042,0.2243730580323594,-0.0087594761924007,0.0373309047637434,,,,,,"not_attempted (pooled model, see docstring)",0.0142857142856713,0.0114048632925611,0.2103518727655841,-0.0080674070163514,0.036638835587694,0.41314525007526975,0.25580696471322134,0.24098564064406722
