term,coef_hc3,se_hc3,p_hc3,ci_low_hc3,ci_high_hc3,coef_cluster,se_cluster,p_cluster,ci_low_cluster,ci_high_cluster,coef_mixedlm,se_mixedlm,p_mixedlm,ci_low_mixedlm,ci_high_mixedlm,mixedlm_status,p_hc3_bh_adj,p_cluster_bh_adj,p_mixedlm_bh_adj
C(age)[T.45],-0.0288834951312279,0.0039291587267164,1.966360338797606e-13,-0.0365845047251335,-0.0211824855373223,-0.0288834951312279,0.0033442318351341,5.7804375173126926e-18,-0.0354380690840433,-0.0223289211784126,-0.0288834951372795,0.0040494631864816,9.84385130917339e-13,-0.0368202971395043,-0.0209466931350547,converged (default),3.1886924412934153e-13,9.127006606283199e-18,1.6229052158366938e-12
C(age)[T.65],-0.055102331862353,0.0041110138923504,5.761015353949601e-41,-0.0631597710313038,-0.0470448926934022,-0.055102331862353,0.003397768922292,3.8111864340283273e-59,-0.0617618365778348,-0.0484428271468712,-0.055102331849437,0.0040713745697647,9.839925921715656e-42,-0.0630820793737481,-0.0471225843251259,converged (default),1.920338451316534e-40,1.2035325581142088e-58,3.3346415623591946e-41
C(country)[T.Brazil],-0.0194150359425181,0.0093750616593736,0.0383659412997425,-0.0377898191477328,-0.0010402527373033,-0.0194150359425181,0.0073377153553521,0.0081468157808542,-0.0337966937678148,-0.0050333781172213,-0.0194150359416047,0.0104295782839209,0.0626685149115974,-0.0398566337520309,0.0010265618688213,converged (default),0.04110636567829554,0.008728731193772358,0.06826391802870431
C(country)[T.Canada],0.0899617035651567,0.0095369856328054,3.9879608606014104e-21,0.0712695552037821,0.1086538519265313,0.0899617035651567,0.0081313603689016,1.8848878495922399e-28,0.0740245300967931,0.1058988770335202,0.0899617035664189,0.0102145252932673,1.2827295685239253e-18,0.0699416018724413,0.1099818052603964,converged (default),8.862135245780912e-21,3.8997679646735997e-28,2.8980186548133126e-18
C(country)[T.China],-0.0802480450469885,0.0100236405783291,1.1861713900057254e-15,-0.099894019574488,-0.060602070519489,-0.0802480450469885,0.0080270278067183,1.5671908736131482e-23,-0.0959807304510581,-0.0645153596429189,-0.0802480450478117,0.0105688279594296,3.1282596935739845e-14,-0.1009625672070938,-0.0595335228885295,converged (default),2.372342780011451e-15,2.849437952023906e-23,6.155607784129453e-14
C(country)[T.Egypt],-0.1390102756213912,0.0104402152669287,1.896618445856101e-40,-0.1594727215354167,-0.1185478297073657,-0.1390102756213912,0.008322545748832,1.2494054739233036e-62,-0.1553221655487889,-0.1226983856939935,-0.1390102755959927,0.0106279481476577,4.3018649985009914e-39,-0.1598406711949611,-0.1181798799970242,converged (default),5.989321407966635e-40,4.164684913077679e-62,1.3811250784661076e-38
C(country)[T.France],0.0788767885308506,0.009905851463304,1.6839872793699505e-15,0.0594616764265713,0.0982919006351299,0.0788767885308506,0.008560027427809,3.125908256182531e-20,0.0620994430656699,0.0956541339960313,0.0788767885092618,0.0103140807301824,2.0494647137532663e-14,0.0586615617444657,0.099092015274058,converged (default),3.2593302181353876e-15,5.209847093637552e-20,4.167244917964975e-14
C(country)[T.Germany],0.0344512769643152,0.009825724043824,0.000454497331701,0.0151932117163908,0.0537093422122396,0.0344512769643152,0.008198385128194,2.6433015881970888e-05,0.018382737381666,0.0505198165469643,0.0344512769666899,0.0103025576457734,0.0008259348545649,0.0142586350323262,0.0546439189010537,converged (default),0.0005347027431776471,3.1097665743495167e-05,0.000968885117854979
C(country)[T.India],0.042314271133491,0.0105423939311302,5.976795043497709e-05,0.021651558717642,0.06297698354934,0.042314271133491,0.0081672829175233,2.2076059412943834e-07,0.0263066907635961,0.058321851503386,0.0423142711344604,0.0104635365704666,5.2552721937533606e-05,0.021806116305428,0.0628224259634928,converged (default),7.470993804372136e-05,2.7595074266179793e-07,6.820672421679893e-05
C(country)[T.Italy],-0.0179505301154779,0.0099928891287018,0.0724419923183434,-0.0375362329092352,0.0016351726782794,-0.0179505301154779,0.0075099539504658,0.0168377458540152,-0.0326697693839451,-0.0032312908470106,-0.0179505301121089,0.0104611151131071,0.0861750501071685,-0.0384539389719264,0.0025528787477086,converged (default),0.07625472875615096,0.017723943004226528,0.09222242204451365
