model,factor,chi2,df,chi2_per_df,p,rank
llama,response_condition,4584.135477325978,1,4584.135477325978,0.0,1.0
llama,topic,25684.893583678946,6,4280.815597279824,0.0,2.0
llama,gender,6093.217163211869,2,3046.6085816059344,0.0,3.0
llama,age,558.687967956441,2,279.3439839782205,4.813369540597692e-122,4.0
llama,country,1608.6637980060464,19,84.66651568452876,0.0,5.0
llama,profession,1339.4651394561283,29,46.18845308469408,8.587610118716706e-264,6.0
gemma,topic,41600.68072323859,6,6933.4467872064315,0.0,1.0
gemma,gender,2004.1877124881453,2,1002.0938562440726,0.0,2.0
gemma,response_condition,772.0956574270197,1,772.0956574270197,6.2965414610310064e-170,3.0
gemma,age,285.0856425995319,2,142.54282129976596,1.2429088334404314e-62,4.0
gemma,country,1914.9639006411198,19,100.78757371795368,0.0,5.0
gemma,profession,1348.0522409728173,29,46.48456003354543,1.2782530428377106e-265,6.0
qwen,topic,12270.945084170242,6,2045.1575140283737,0.0,1.0
qwen,gender,2065.962549010097,2,1032.9812745050485,0.0,2.0
qwen,response_condition,328.81811233047546,1,328.81811233047546,1.7386231108548683e-73,3.0
qwen,profession,4853.922051994454,29,167.37662248256737,0.0,4.0
qwen,age,186.02286295759288,2,93.01143147879644,4.033188821689144e-41,5.0
qwen,country,1570.9115596963989,19,82.67955577349467,0.0,6.0
ministral,topic,6064.601789045616,6,1010.766964840936,0.0,1.0
ministral,gender,1499.342514362003,2,749.6712571810015,0.0,2.0
ministral,age,1029.4524958249137,2,514.7262479124569,2.865700773132138e-224,3.0
ministral,country,1230.6100881473883,19,64.76895200775728,2.588820929277494e-249,4.0
ministral,profession,1843.1490167621441,29,63.55686264697049,0.0,5.0
ministral,response_condition,0.018600455301665705,1,0.018600455301665705,0.8915181278155407,6.0
