model,term,coef,se_cluster,p_cluster,ci_low,ci_high
llama,C(gender)[T.male],-0.8536463601126207,0.026574991282181052,2.162050437907223e-226,-0.9057323859151615,-0.80156033431008
llama,C(gender)[T.neutral],-2.7438004947938763,0.0403393529196929,0.0,-2.822864173676125,-2.6647368159116276
llama,C(country)[T.Brazil],0.3291227001790093,0.061933064374283614,1.0714581705312369e-07,0.20773612455321272,0.4505092758048059
llama,C(country)[T.Canada],0.4978784429844829,0.06407646992419841,7.844482933327618e-15,0.3722908696765901,0.6234660162923757
llama,C(country)[T.China],-0.7207472124001774,0.06005839392020799,3.519891918386252e-33,-0.8384595014531043,-0.6030349233472504
llama,C(country)[T.Egypt],-0.9036897439747079,0.06934957711561009,8.160287505117242e-39,-1.0396124174643868,-0.767767070485029
llama,C(country)[T.France],0.27523367259833076,0.056076910043311425,9.194131053650305e-07,0.16532494854914792,0.3851423966475136
llama,C(country)[T.Germany],0.2187903601740765,0.054252968328502404,5.512055561693717e-05,0.11245649619581956,0.32512422415233344
llama,C(country)[T.India],0.31499583502333506,0.06716614744230129,2.734714837958062e-06,0.18335260505611747,0.4466390649905526
llama,C(country)[T.Italy],0.6222548210081865,0.056577337051079826,3.893811702219302e-28,0.5113652780468865,0.7331443639694866
llama,C(country)[T.Japan],0.08469905857180303,0.06081475208877462,0.16369882225659993,-0.034495665250927246,0.20389378239453332
llama,C(country)[T.Kenya],0.07430173608928306,0.06842682604964641,0.27754234098482566,-0.05981237854441107,0.2084158507229772
llama,C(country)[T.Mexico],-0.50191416881415,0.0659349814171487,2.6934570565088726e-14,-0.6311443577130791,-0.3726839799152208
llama,C(country)[T.Morocco],-0.07462199145820193,0.065023377026425,0.25112633658553696,-0.2020654685831641,0.05282148566676022
llama,C(country)[T.Nigeria],-0.13865995642605053,0.07114080698284775,0.051284474694542295,-0.2780933759435477,0.0007734630914466578
llama,C(country)[T.Pakistan],-0.5095229711726141,0.06995965793452727,3.262425992040258e-13,-0.6466413810950294,-0.37240456125019883
llama,C(country)[T.Poland],-0.4171104045897021,0.058601994920018934,1.097566932180897e-12,-0.5319682040551384,-0.30225260512426577
llama,C(country)[T.South Africa],-0.21198832468780182,0.060599275548813406,0.00046841150019000314,-0.3307607222526948,-0.09321592712290883
llama,C(country)[T.South Korea],-0.14447905287415172,0.05799412959622917,0.01272872406778507,-0.25814545819750934,-0.030812647550794117
llama,C(country)[T.Turkey],-0.7010399879979525,0.06789294917647476,5.394254858077679e-25,-0.8341077231880514,-0.5679722528078537
llama,C(country)[T.USA],0.15078349309505282,0.07283855405394654,0.03844246372638523,0.008022550463343658,0.293544435726762
llama,C(profession)[T.administrative assistant],-0.36858513788469327,0.07479592055181299,8.312768412422164e-07,-0.515182448356766,-0.22198782741262058
llama,C(profession)[T.architect],-0.10518027211866507,0.07722663644287724,0.17320772045755817,-0.25654169819387285,0.046181153956542736
llama,C(profession)[T.bank teller],-0.06969015840466365,0.07840440045609738,0.37408090947115036,-0.2233599595280703,0.08397964271874299
llama,C(profession)[T.business manager],0.08417146638084326,0.07777865230631084,0.27916704496816935,-0.0682718909055892,0.2366148236672757
llama,C(profession)[T.cashier],-0.5584889296039766,0.07478170160015432,8.126431815409606e-14,-0.7050583714429004,-0.41191948776505277
llama,C(profession)[T.chef],-0.03779965445716733,0.07664917614047632,0.6219055600972232,-0.18802927913716774,0.1124299702228331
llama,C(profession)[T.civil engineer],0.02749916405775282,0.07537613058461601,0.7152413764348386,-0.1202353371820826,0.17523366529758824
llama,C(profession)[T.computer programmer],-0.4711675497485716,0.07806382680724444,1.583038157106484e-09,-0.6241698387861431,-0.31816526071100015
llama,C(profession)[T.construction worker],-0.41596989795917255,0.08184096721286417,3.721834683041049e-07,-0.5763752461563098,-0.25556454976203535
llama,C(profession)[T.doctor],0.5741582289659569,0.07746045893579251,1.2415090794562362e-13,0.4223385192258598,0.7259779387060541
llama,C(profession)[T.electrician],-0.4634213706186574,0.07786353442149364,2.653512119140566e-09,-0.6160310937937797,-0.31081164744353507
llama,C(profession)[T.elementary school teacher],0.2540076032584551,0.075726031832741,0.0007956690372651371,0.1055873081741491,0.40242789834276116
llama,C(profession)[T.farmer],-0.4538652008797983,0.08215335995901626,3.30219969444803e-08,-0.6148828276084252,-0.29284757415117146
llama,C(profession)[T.flight attendant],-0.00582866594472501,0.07918814845242865,0.9413244686487967,-0.16103458491389638,0.14937725302444638
llama,C(profession)[T.hairdresser],-0.3760798136201996,0.07752621713555712,1.2283947335919672e-06,-0.5280284070635235,-0.22413122017687567
llama,C(profession)[T.janitor],-1.4922334549996195,0.08256270718137589,5.1128092844297056e-73,-1.6540533875412426,-1.3304135224579963
llama,C(profession)[T.journalist],-1.0759626830488827,0.09111556356181344,3.516704512755366e-32,-1.254545906061107,-0.8973794600366582
llama,C(profession)[T.lawyer],0.09248073890302035,0.093894776032276,0.3246534486308311,-0.0915496404566953,0.276511118262736
llama,C(profession)[T.mechanic],-0.7174384326540204,0.0760322206077972,3.87360003503139e-21,-0.866458846709907,-0.5684180185981338
llama,C(profession)[T.paramedic],-0.4338843161991404,0.08960099821774993,1.2827701012850186e-06,-0.6094990456847679,-0.25826958671351297
llama,C(profession)[T.pharmacist],0.32101883423509614,0.07711720406906614,3.1445199142053875e-05,0.16987189167130082,0.4721657767988915
llama,C(profession)[T.plumber],-0.2726833281414702,0.07665969900375907,0.0003750251866670659,-0.4229335772545191,-0.12243307902842138
llama,C(profession)[T.police officer],0.07222206007274,0.08516057800244634,0.39639945420130185,-0.09468960571466879,0.2391337258601488
llama,C(profession)[T.real estate agent],0.15411354846846795,0.07726188939051055,0.04607665789336769,0.0026830278855499434,0.305544069051386
llama,C(profession)[T.registered nurse],0.29080633155114477,0.08184325830358542,0.0003805596925619895,0.1303964928987086,0.45121617020358096
llama,C(profession)[T.social worker],-1.0905931683225054,0.09733722178882737,3.8851408242573537e-29,-1.2813706173837944,-0.8998157192612164
llama,C(profession)[T.truck driver],-0.4718797944692313,0.07640123383306067,6.560572718910193e-10,-0.6216234611564533,-0.3221361277820093
llama,C(profession)[T.veterinarian],0.20991103390925905,0.0760449237843292,0.005773847015508562,0.060865722084880475,0.35895634573363766
llama,C(profession)[T.waiter],-0.554623427597103,0.07607087610849636,3.0794301531941444e-13,-0.7037196050421644,-0.4055272501520417
llama,C(age)[T.45],0.1398928588620154,0.02657430037924377,1.4078880141030355e-07,0.08780818720434852,0.1919775305196823
llama,C(age)[T.65],0.6663385916983272,0.027919161290013997,6.791816504518411e-126,0.611618041091335,0.7210591423053194
llama,C(topic)[T.economic redistribution],-0.04913498951038909,0.016834442513383126,0.003514740805520769,-0.08212989053642997,-0.016140088484348218
llama,C(topic)[T.gender equality],4.101678042291085,0.07309910460265014,0.0,3.9584064299677646,4.244949654614405
llama,C(topic)[T.immigration],-2.369514087515393,0.07280300913171311,2.3144169192589764e-232,-2.512205363379691,-2.2268228116510946
llama,C(topic)[T.lgbtq rights],-1.0289047349636657,0.13491235726210574,2.412733446849268e-14,-1.293328096266794,-0.7644813736605377
llama,C(topic)[T.religion and secularism],-7.029949318712696,0.09109753603271843,0.0,-7.208497208417164,-6.851401429008227
llama,C(topic)[T.trust in government],-6.920715422728746,0.08486009020277824,0.0,-7.087038143251012,-6.75439270220648
llama,2.0/3.0,-10.22933885510469,0.13185397871172794,0.0,-10.487767904597987,-9.970909805611392
llama,3.0/4.0,1.3734660997361345,0.012266138546493735,0.0,1.3494249099556284,1.3975072895166407
llama,4.0/5.0,2.281219641253012,0.013281779629259912,0.0,2.255187831529065,2.3072514509769593
