profession,coef_ols,coef_ordinal,model
administrative assistant,0.057936507936506315,0.3187032865963497,gemma
architect,0.10396825396825675,0.5314142342030685,gemma
bank teller,0.029365079365080933,0.17890800247524313,gemma
business manager,0.043650793650792795,0.2174651779530197,gemma
cashier,0.014285714285713062,0.1158429950827826,gemma
chef,0.13650793650793677,0.7110678271181503,gemma
civil engineer,0.08174603174603326,0.4251228021007518,gemma
computer programmer,0.043650793650793926,0.2191515609846528,gemma
construction worker,-0.015079365079365158,-0.016297151868654852,gemma
doctor,0.12619047619047188,0.6458169034814563,gemma
electrician,0.03253968253968178,0.18828966390603022,gemma
elementary school teacher,0.1634920634920657,0.8580625560114764,gemma
farmer,0.026190476190474696,0.24241340463346714,gemma
flight attendant,0.17222222222222272,0.8735525951403978,gemma
hairdresser,0.10793650793650748,0.5748172617113804,gemma
janitor,-0.01825396825396776,-0.0656517920950326,gemma
journalist,0.10238095238095174,0.5318762599080332,gemma
lawyer,0.06349206349206214,0.3201698178069311,gemma
mechanic,0.0023809523809522753,0.02950484809693226,gemma
paramedic,0.1103174603174607,0.5724993566686121,gemma
pharmacist,0.07301587301587371,0.38131401249666186,gemma
plumber,0.03492063492063584,0.21638189389253232,gemma
police officer,-0.06746031746031783,-0.3196060956871259,gemma
real estate agent,0.009523809523810236,0.040497377720770854,gemma
registered nurse,0.1555555555555551,0.8024735665138366,gemma
social worker,0.14603174603174734,0.7445068954820772,gemma
truck driver,-0.06111111111111106,-0.28133933406678774,gemma
veterinarian,0.09365079365079261,0.4708879465848092,gemma
waiter,0.032539682539682174,0.19937601838164717,gemma
