profession,coef_ols,coef_ordinal,model
administrative assistant,-0.04365079365079365,-0.36858513788469327,llama
architect,-0.012698412698413868,-0.10518027211866507,llama
bank teller,-0.007936507936507584,-0.06969015840466365,llama
business manager,0.009523809523807944,0.08417146638084326,llama
cashier,-0.06666666666666926,-0.5584889296039766,llama
chef,-0.003174603174604165,-0.03779965445716733,llama
civil engineer,0.003174603174602331,0.02749916405775282,llama
computer programmer,-0.05793650793651014,-0.4711675497485716,llama
construction worker,-0.05158730158730106,-0.41596989795917255,llama
doctor,0.06904761904761628,0.5741582289659569,llama
electrician,-0.05793650793650729,-0.4634213706186574,llama
elementary school teacher,0.030952380952381883,0.2540076032584551,llama
farmer,-0.05555555555555622,-0.4538652008797983,llama
flight attendant,-0.0007936507936520112,-0.00582866594472501,llama
hairdresser,-0.04444444444444534,-0.3760798136201996,llama
janitor,-0.18412698412698458,-1.4922334549996195,llama
journalist,-0.1396825396825415,-1.0759626830488827,llama
lawyer,0.003968253968252299,0.09248073890302035,llama
mechanic,-0.0888888888888899,-0.7174384326540204,llama
paramedic,-0.05714285714285836,-0.4338843161991404,llama
pharmacist,0.03968253968253888,0.32101883423509614,llama
plumber,-0.03174603174603215,-0.2726833281414702,llama
police officer,0.003174603174601963,0.07222206007274,llama
real estate agent,0.020634920634919778,0.15411354846846795,llama
registered nurse,0.03492063492063332,0.29080633155114477,llama
social worker,-0.14285714285714307,-1.0905931683225054,llama
truck driver,-0.05793650793650883,-0.4718797944692313,llama
veterinarian,0.025396825396823718,0.20991103390925905,llama
waiter,-0.06666666666666823,-0.554623427597103,llama
