profession,coef_ols,coef_ordinal,model
administrative assistant,0.033333333333331897,0.6407102587954001,ministral
architect,0.06825396825397034,1.2820129735657178,ministral
bank teller,-0.029365079365078234,-0.5817006140999257,ministral
business manager,0.03730158730158662,0.7212832234830685,ministral
cashier,-0.04206349206349317,-0.8402460885593448,ministral
chef,0.05714285714285752,1.0806870691882884,ministral
civil engineer,0.03492063492063615,0.6704786004507725,ministral
computer programmer,0.04047619047619065,0.7781617724481271,ministral
construction worker,-0.08253968253968008,-1.668338676701742,ministral
doctor,0.06746031746031579,1.2685968527546558,ministral
electrician,-0.0388888888888875,-0.7806363304887215,ministral
elementary school teacher,0.05238095238095391,1.0022968898516185,ministral
farmer,-0.06746031746031703,-1.3558331617086004,ministral
flight attendant,0.07777777777777804,1.451673934048248,ministral
hairdresser,0.01507936507936496,0.29356716026975643,ministral
janitor,-0.09920634920634931,-1.9961188919239936,ministral
journalist,0.06666666666666608,1.2595415856235013,ministral
lawyer,0.04999999999999957,0.952951334235686,ministral
mechanic,-0.07063492063492058,-1.4278824245589452,ministral
paramedic,0.03968253968253988,0.7594015775444714,ministral
pharmacist,0.0412698412698422,0.788906941543579,ministral
plumber,-0.05952380952380854,-1.202671230884325,ministral
police officer,-0.06349206349206407,-1.2807454573908026,ministral
real estate agent,0.011904761904762556,0.2332812168773487,ministral
registered nurse,0.06111111111111061,1.152732639504336,ministral
social worker,0.13095238095238215,2.374101158503038,ministral
truck driver,-0.1039682539682542,-2.0881595362385106,ministral
veterinarian,0.07619047619047534,1.4234940251372235,ministral
waiter,-0.0119047619047625,-0.2356262927240588,ministral
