model,topic,term,coef,se_cluster,p_cluster,ci_low,ci_high
qwen,climate change,Intercept,-1.2031909678121628,0.25016796465895014,1.5128366418606771e-06,-1.6935111686293942,-0.7128707669949315
qwen,climate change,C(gender)[T.male],-3.018223920460359,0.16232805962227992,3.636716608408679e-77,-3.3363810710002983,-2.7000667699204195
qwen,climate change,C(gender)[T.neutral],-3.601021934367424,0.18329542607073473,6.2552506983044116e-86,-3.9602743679969885,-3.2417695007378597
qwen,climate change,C(country)[T.Brazil],0.37324950478435404,0.3231539945477682,0.2480820108810975,-0.26012068598952465,1.0066196955582327
qwen,climate change,C(country)[T.Canada],2.6852966698082517,0.31726078540301317,2.583501659220949e-17,2.063476956711455,3.3071163829050483
qwen,climate change,C(country)[T.China],-0.06059043195687069,0.3427639764639509,0.8596889539919772,-0.7323954810239491,0.6112146171102079
qwen,climate change,C(country)[T.Egypt],-1.4195665416518595,0.4839251146702814,0.003352256443324004,-2.3680423376200266,-0.47109074568369225
qwen,climate change,C(country)[T.France],1.3638547045300153,0.3060916833219883,8.361736233497124e-06,0.7639260292516789,1.9637833798083517
qwen,climate change,C(country)[T.Germany],1.3638547045300153,0.3069308157897815,8.849693321794032e-06,0.7622813598365459,1.9654280492234848
qwen,climate change,C(country)[T.India],0.8502736117266672,0.3204714673529964,0.007973355950873475,0.22216107764209048,1.478386145811244
qwen,climate change,C(country)[T.Italy],0.32433188190220713,0.3242342240397586,0.31716476886743306,-0.3111555197710107,0.9598192835754249
qwen,climate change,C(country)[T.Japan],0.9283292350172238,0.3161379768647173,0.0033197245145348423,0.30871018621702107,1.5479482838174263
qwen,climate change,C(country)[T.Kenya],0.6874355389303932,0.31523280991539854,0.029203887325257027,0.06959058475085123,1.3052804931099353
qwen,climate change,C(country)[T.Mexico],-0.5711776608665621,0.38038773835446305,0.13320898091062147,-1.316723928201955,0.1743686064688309
qwen,climate change,C(country)[T.Morocco],-0.4859604312892374,0.37293994217156995,0.19255674038303783,-1.216909286341965,0.24498842376349017
qwen,climate change,C(country)[T.Nigeria],0.7700754922439921,0.3084072072339887,0.012526877576090771,0.1656084734927934,1.3745425109951908
qwen,climate change,C(country)[T.Pakistan],-1.6122779858189655,0.515714097532179,0.0017701969645658427,-2.6230590433016134,-0.6014969283363178
qwen,climate change,C(country)[T.Poland],-0.12358167869596144,0.3492172326404091,0.72342734730407,-0.8080348774519087,0.5608715200599858
qwen,climate change,C(country)[T.South Africa],1.4664456288646357,0.3089705789540417,2.0724239036076147e-06,0.8608744218322248,2.0720168358970463
qwen,climate change,C(country)[T.South Korea],0.46767887574095945,0.3170125727442461,0.14014019102294908,-0.1536543494841469,1.0890121009660658
qwen,climate change,C(country)[T.Turkey],-1.1108457156795597,0.4383130172076668,0.011265092386389387,-1.9699234433616715,-0.2517679879974478
qwen,climate change,C(country)[T.USA],0.6450923009187788,0.3232260199136786,0.04595643448851735,0.011580943021742396,1.2786036588158152
qwen,climate change,C(age)[T.45],0.04286565109982482,0.12216332956440956,0.7256723454719054,-0.19657007507791513,0.28230137727756477
qwen,climate change,C(age)[T.65],-0.38983750303536197,0.12678829723010415,0.0021070588926712427,-0.6383379992675255,-0.14133700680319833
qwen,economic redistribution,Intercept,-5.172433993388351,0.422115286758583,1.6069069380922515e-34,-5.999764752758971,-4.345103234017731
qwen,economic redistribution,C(gender)[T.male],0.03462880431118784,0.2633262684747515,0.8953755810430265,-0.4814811980826501,0.5507388067050258
qwen,economic redistribution,C(gender)[T.neutral],-3.3874997086820624,1.018597471689772,0.0008821230207061146,-5.383914067937573,-1.3910853494265518
qwen,economic redistribution,C(age)[T.45],1.060425310857699,0.44123284892324915,0.016246804140517962,0.19562481817212796,1.9252258035432703
qwen,economic redistribution,C(age)[T.65],1.571913677351941,0.418248036969786,0.00017105195698582866,0.7521625882865834,2.391664766417299
qwen,gender equality,Intercept,5.590362300915011,0.4396716314987333,4.889978730698473e-37,4.728621738153527,6.452102863676495
qwen,gender equality,C(gender)[T.male],-7.356715704892674,0.25639106018330404,4.619895141846394e-181,-7.859232948809992,-6.854198460975357
qwen,gender equality,C(gender)[T.neutral],-7.447243967674437,0.2598373046446799,1.1631427493417527e-180,-7.956515726617972,-6.937972208730902
qwen,gender equality,C(country)[T.Brazil],-0.21378301326455554,0.33092722147622405,0.5182714723137245,-0.8623884488618646,0.4348224223327536
qwen,gender equality,C(country)[T.Canada],2.380421317448387,0.3437178575639818,4.344089152500617e-12,1.7067466957797142,3.0540959391170595
qwen,gender equality,C(country)[T.China],-2.2490794215169605,0.3661357630069901,8.110632884187541e-10,-2.9666923304627537,-1.5314665125711673
qwen,gender equality,C(country)[T.Egypt],-4.277105498437495,0.5002649345919774,1.2342939897754995e-17,-5.257606752966057,-3.296604243908934
qwen,gender equality,C(country)[T.France],1.0945703208043827,0.3277082645462944,0.0008375563944891286,0.45227392485752127,1.7368667167512442
qwen,gender equality,C(country)[T.Germany],0.6090468408097999,0.3285072421690956,0.06374159282814741,-0.03481552250220521,1.252909204121805
qwen,gender equality,C(country)[T.India],1.0945703208043827,0.34254387430932054,0.0013962921801755335,0.42319666403329936,1.765943977575466
qwen,gender equality,C(country)[T.Italy],-1.5420300215928362,0.3371758558162509,4.799409770213226e-06,-2.202882555449158,-0.8811774877365143
qwen,gender equality,C(country)[T.Japan],-0.7224048236512882,0.3325291938406058,0.02982133456021709,-1.374150067387014,-0.07065957991556249
qwen,gender equality,C(country)[T.Kenya],-2.030052120983744,0.360989319086647,1.870406652582012e-08,-2.7375781851972096,-1.3225260567702781
qwen,gender equality,C(country)[T.Mexico],-1.5420300215928362,0.33593194945937493,4.425993241307794e-06,-2.2004445437895406,-0.8836154993961316
qwen,gender equality,C(country)[T.Morocco],-3.592633541847769,0.36697728822511744,1.2454438605004775e-22,-4.311895809913175,-2.873371273782364
qwen,gender equality,C(country)[T.Nigeria],-1.7471609346376995,0.40289693517325303,1.4477208184429833e-05,-2.5368244170588445,-0.9574974522165546
qwen,gender equality,C(country)[T.Pakistan],-3.9315181750882475,0.3725033027845075,4.851517995318228e-26,-4.661611232668101,-3.201425117508394
qwen,gender equality,C(country)[T.Poland],0.10454890672918475,0.3538064369917517,0.7676138853356708,-0.5888989672730885,0.797996780731458
qwen,gender equality,C(country)[T.South Africa],0.9016612840215072,0.34048426962931766,0.008092807530310178,0.2343243782456197,1.5689981897973948
qwen,gender equality,C(country)[T.South Korea],-1.2780108229823048,0.37001051817539976,0.0005523678576444637,-2.0032181125070916,-0.5528035334575182
qwen,gender equality,C(country)[T.Turkey],-3.1803475203634646,0.3664089876006441,3.965530037055203e-18,-3.89849593967251,-2.462199101054419
qwen,gender equality,C(country)[T.USA],1.4313038622222056,0.33770790707843407,2.2522926411672136e-05,0.7694085270540757,2.0931991973903354
qwen,gender equality,C(profession)[T.administrative assistant],0.4048542041333544,0.37642720669580243,0.28214291625587207,-0.332929563791433,1.1426379720581417
qwen,gender equality,C(profession)[T.architect],2.0911554190971047,0.36281731842489534,8.230947982350155e-09,1.3800465420169092,2.8022642961773
qwen,gender equality,C(profession)[T.bank teller],-0.6437319635187939,0.4207941085959545,0.12606557307003557,-1.468473261273501,0.18100933423591326
qwen,gender equality,C(profession)[T.business manager],2.206385184669313,0.3568238786997524,6.273502035921725e-10,1.5070232335939096,2.9057471357447167
qwen,gender equality,C(profession)[T.cashier],-4.665128035983404,0.48263588791945283,4.2075216105166143e-22,-5.611076993952041,-3.719179078014766
qwen,gender equality,C(profession)[T.chef],-0.4498379431547759,0.3998479692945283,0.2605795199544124,-1.2335255622635288,0.3338496759539771
qwen,gender equality,C(profession)[T.civil engineer],2.547751352060892,0.36759851959531903,4.184710858042475e-12,1.8272714928838254,3.2682312112379583
qwen,gender equality,C(profession)[T.computer programmer],1.5571507004843121,0.3744162794621619,3.1981811266173676e-05,0.823308277512991,2.2909931234556336
qwen,gender equality,C(profession)[T.construction worker],-7.997021096942268,0.7088724943628982,1.6228280691794058e-29,-9.38638565552462,-6.607656538359914
qwen,gender equality,C(profession)[T.doctor],5.368273919862282,0.440675574152339,3.880451347335695e-34,4.5045656656571875,6.231982174067376
qwen,gender equality,C(profession)[T.electrician],-2.7639335970326475,0.46999879348176243,4.084736335413094e-09,-3.6851143050341806,-1.8427528890311144
qwen,gender equality,C(profession)[T.elementary school teacher],5.000861304158067,0.4192510186512499,8.449607071778347e-33,4.179144407119887,5.822578201196247
qwen,gender equality,C(profession)[T.farmer],-6.7005562325403965,0.5362619833222331,7.956575302274546e-36,-7.751610406129992,-5.649502058950801
qwen,gender equality,C(profession)[T.flight attendant],1.307782060831972,0.3696399506028306,0.0004031869304741001,0.5833010704032593,2.0322630512606845
qwen,gender equality,C(profession)[T.hairdresser],-3.105903281191425,0.43248307747070824,6.892029526562044e-13,-3.953554536957059,-2.258252025425791
qwen,gender equality,C(profession)[T.janitor],-9.58336991417607,1.1199368170192041,1.1577925730399882e-17,-11.778405740494133,-7.388334087858005
qwen,gender equality,C(profession)[T.journalist],2.885754722006382,0.3526469054064955,2.7656939683562887e-16,2.194579488150148,3.5769299558626164
qwen,gender equality,C(profession)[T.lawyer],6.1404937247444105,0.4771260761836823,6.661668859665302e-38,5.205343799339479,7.075643650149342
qwen,gender equality,C(profession)[T.mechanic],-4.109238765908287,0.4852007361685075,2.4718602817505347e-17,-5.0602147340708825,-3.158262797745692
qwen,gender equality,C(profession)[T.paramedic],1.243854492231616,0.36913196099388257,0.0007525707117545682,0.520369143140962,1.9673398413222698
qwen,gender equality,C(profession)[T.pharmacist],1.04754201129704,0.3876217390414859,0.006882324922735041,0.2878173631509442,1.8072666594431357
