model,topic,term,coef,se_hc3,p_hc3,se_cluster,p_cluster,ci_low_cluster,ci_high_cluster
llama,climate change,Intercept,4.002777777777779,0.001339452548786015,0.0,0.0013328631009939542,0.0,4.000165414103509,4.005390141452049
llama,climate change,C(gender)[T.male],-0.0033333333333323456,0.0015462267944131086,0.031100416700279274,0.001538620119037773,0.030277323966715133,-0.006348973352535111,-0.00031769331412957996
llama,climate change,C(gender)[T.neutral],-0.003888888888887583,0.001449936994486199,0.007315964430583295,0.00144280401757001,0.007031076772316425,-0.0067167328000744975,-0.0010610449777006684
llama,climate change,C(country)[T.Brazil],-7.358696985093616e-15,0.0004191194143500696,0.9999999999859911,0.00041705755295381867,0.9999999999859218,-0.0008174177832772497,0.0008174177832625323
llama,climate change,C(country)[T.Canada],0.02592592592591802,0.009623014535827928,0.007056660919708617,0.009575674037027781,0.006779658251649271,0.007157949685648302,0.04469390216618774
llama,climate change,C(country)[T.China],2.7738228380869145e-15,0.0004191194143500602,0.9999999999947194,0.00041705755295382257,0.9999999999946934,-0.0008174177832671248,0.0008174177832726725
llama,climate change,C(country)[T.Egypt],2.455404874024774e-15,0.0004191194143500667,0.9999999999953256,0.000417057552953837,0.9999999999953025,-0.0008174177832674716,0.0008174177832723824
llama,climate change,C(country)[T.France],-6.5867450382839365e-15,0.00041911941435007717,0.9999999999874607,0.00041705755295384626,0.9999999999873987,-0.0008174177832765318,0.0008174177832633583
llama,climate change,C(country)[T.Germany],-6.2892502844584684e-15,0.00041911941435006725,0.999999999988027,0.00041705755295382387,0.9999999999879678,-0.0008174177832761905,0.000817417783263612
llama,climate change,C(country)[T.India],4.543240783583258e-15,0.00041911941435007646,0.9999999999913509,0.0004170575529538619,0.9999999999913082,-0.0008174177832654325,0.000817417783274519
llama,climate change,C(country)[T.Italy],1.0124010006799416e-15,0.00041911941435007435,0.9999999999980727,0.00041705755295384745,0.9999999999980631,-0.000817417783268935,0.0008174177832709599
llama,climate change,C(country)[T.Japan],-6.085409953726639e-15,0.0004191194143500668,0.9999999999884152,0.00041705755295383645,0.9999999999883579,-0.0008174177832760113,0.0008174177832638405
llama,climate change,C(country)[T.Kenya],0.0037037037037024934,0.0036838113981423515,0.3147043159311165,0.0036656888578061177,0.3123178394608327,-0.003480914436127265,0.010888321843532252
llama,climate change,C(country)[T.Mexico],4.128641872824801e-16,0.00041911941435005884,0.9999999999992141,0.0004170575529538132,0.9999999999992102,-0.0008174177832694674,0.0008174177832702931
llama,climate change,C(country)[T.Morocco],-2.473438225097686e-15,0.00041911941435006324,0.9999999999952913,0.0004170575529538203,0.999999999995268,-0.0008174177832723676,0.0008174177832674208
llama,climate change,C(country)[T.Nigeria],-1.0720591081536668e-15,0.0004191194143500641,0.9999999999979591,0.00041705755295382414,0.999999999997949,-0.0008174177832709738,0.0008174177832688296
llama,climate change,C(country)[T.Pakistan],1.9848962806672898e-16,0.0004191194143500643,0.9999999999996221,0.00041705755295381466,0.9999999999996203,-0.0008174177832696847,0.0008174177832700817
llama,climate change,C(country)[T.Poland],-6.782768791069316e-16,0.0004191194143500646,0.9999999999987087,0.00041705755295381834,0.9999999999987024,-0.0008174177832705687,0.0008174177832692122
llama,climate change,C(country)[T.South Africa],-4.244537416146777e-16,0.00041911941435006736,0.999999999999192,0.0004170575529538367,0.999999999999188,-0.0008174177832703509,0.000817417783269502
llama,climate change,C(country)[T.South Korea],-9.26342336171615e-16,0.00041911941435006334,0.9999999999982365,0.0004170575529538275,0.9999999999982278,-0.0008174177832708347,0.000817417783268982
llama,climate change,C(country)[T.Turkey],-1.7399066323668652e-15,0.00041911941435006405,0.9999999999966878,0.0004170575529538169,0.9999999999966713,-0.0008174177832716274,0.0008174177832681476
llama,climate change,C(country)[T.USA],-1.412064909445121e-15,0.00041911941435006166,0.9999999999973118,0.0004170575529538146,0.9999999999972985,-0.0008174177832712951,0.000817417783268471
