model,scope,factor,partial_r2,f_stat_naive,p_naive,chi2_cluster,p_cluster,note,rank
llama,primary_conditionA,topic,0.6239002934822497,10434.564987357633,0.0,41441.03590172433,0.0,,1.0
llama,primary_conditionA,gender,0.114982589452791,2451.679400213507,0.0,10145.728545585269,0.0,,2.0
llama,primary_conditionA,profession,0.021229022698672457,28.226974026481535,0.0,1714.7599912474657,0.0,,3.0
llama,primary_conditionA,country,0.017664513090910158,35.71919313172688,0.0,1640.9057299400008,0.0,,4.0
llama,primary_conditionA,age,0.008369289079258295,159.2656094964033,0.0,704.4880230453192,1.0528572989784391e-153,,5.0
gemma,primary_conditionA,topic,0.7435008734554983,18232.983768215396,0.0,357911.38771424437,0.0,,1.0
gemma,primary_conditionA,country,0.029468316820709453,60.31223397311587,0.0,2921.2376805553,0.0,,2.0
gemma,primary_conditionA,gender,0.024128845094545066,466.5814427117949,0.0,1689.9155433558747,0.0,,3.0
gemma,primary_conditionA,profession,0.017510680489173237,23.194797808676192,0.0,1389.5379040351568,1.886101480490278e-274,,4.0
gemma,primary_conditionA,age,0.0027714316296578393,52.443644542718474,0.0,220.04722720609726,1.649497771492473e-48,,5.0
qwen,primary_conditionA,topic,0.5605114358802415,8022.302826743467,0.0,48900.81626532969,0.0,,1.0
qwen,primary_conditionA,profession,0.1407661494834708,213.2073921781863,0.0,8762.619943876118,0.0,,2.0
qwen,primary_conditionA,gender,0.049425978994979566,981.1891720317022,0.0,2644.7880360745976,0.0,,3.0
qwen,primary_conditionA,country,0.03584005588398574,73.8379100388603,0.0,2135.1604389580684,0.0,,4.0
qwen,primary_conditionA,age,0.003459707145606572,65.51305969191549,0.0,194.96751885209125,4.606183190249931e-43,,5.0
ministral,primary_conditionA,topic,0.7091547665523888,15337.028636156447,0.0,2275814.5726626674,0.0,,1.0
ministral,primary_conditionA,profession,0.0516233222774526,70.84031612738178,0.0,3840.133421179862,0.0,,2.0
ministral,primary_conditionA,gender,0.039653964052823426,779.188022493138,0.0,3046.8594513809567,0.0,,3.0
ministral,primary_conditionA,country,0.03056863810359107,62.635251746732685,0.0,2077.668614973975,0.0,,4.0
ministral,primary_conditionA,age,0.024790108755611027,479.6933987983169,0.0,1822.3197185653862,0.0,,5.0
deepseek,primary_conditionA,profession,0.6514904196813687,4.406352295523522,0.00022550980741609106,96.10562825700646,3.2132480860846816e-15,,1.0
deepseek,primary_conditionA,country,0.40812114185498244,1.8962210335044887,0.07228607403851706,21.77342464294749,0.0096254721851414,,2.0
deepseek,primary_conditionA,topic,0.18028107449785327,7.257701723532524,0.011013073270363272,5.997367131690181,0.014327243966149953,,3.0
deepseek,primary_conditionA,age,0.06793279719388783,1.2025861979957642,0.31324145799910075,2.547781134619559,0.27974115010335665,,4.0
deepseek,primary_conditionA,gender,,,,,,zero variance -- not estimable,
llama,exploratory_pooled_AB,topic,0.6275116160015608,21209.711724843357,0.0,64145.42219054724,0.0,,1.0
llama,exploratory_pooled_AB,gender,0.08355154398381735,3443.447141573947,0.0,12169.848808382505,0.0,,2.0
llama,exploratory_pooled_AB,country,0.019729044655025497,80.01719079567364,0.0,3148.865796729848,0.0,,3.0
llama,exploratory_pooled_AB,profession,0.016380389523320157,43.37864968194468,0.0,2246.7782298320203,0.0,,4.0
llama,exploratory_pooled_AB,age,0.006354809683817931,241.55620547151997,0.0,837.3212465026822,1.5066123800327626e-182,,5.0
gemma,exploratory_pooled_AB,topic,0.7445263132290602,36691.004862501984,0.0,325306.42149895494,0.0,,1.0
gemma,exploratory_pooled_AB,gender,0.03128082558565753,1219.6277451456135,0.0,2861.1444806194186,0.0,,2.0
gemma,exploratory_pooled_AB,country,0.028488921190977935,116.58740230380299,0.0,3587.733239241524,0.0,,3.0
gemma,exploratory_pooled_AB,profession,0.019033503777216056,50.54096739488015,0.0,1795.4112618738436,0.0,,4.0
gemma,exploratory_pooled_AB,age,0.00383586916332816,145.43866197753997,0.0,366.69982200326797,2.355837847048755e-80,,5.0
qwen,exploratory_pooled_AB,topic,0.5490097165075124,8426.243081374247,0.0,53436.26697569224,0.0,,1.0
qwen,exploratory_pooled_AB,profession,0.1395567396412966,232.275267037503,0.0,8747.214510119567,0.0,,2.0
qwen,exploratory_pooled_AB,gender,0.05249175030342462,1150.404169330267,0.0,2949.087232809813,0.0,,3.0
qwen,exploratory_pooled_AB,country,0.038607102417141596,87.77787961380483,0.0,2423.844591617193,0.0,,4.0
qwen,exploratory_pooled_AB,age,0.0043980048631330005,91.73019985042667,0.0,263.4465700831902,6.213040266446837e-58,,5.0
ministral,exploratory_pooled_AB,topic,0.6988207155492187,17011.530376371684,0.0,1047533.2037789004,0.0,,1.0
ministral,exploratory_pooled_AB,profession,0.04725566274175185,75.23734233748827,0.0,4195.144358918924,0.0,,2.0
ministral,exploratory_pooled_AB,gender,0.03541535335593907,807.5607462486622,0.0,3228.227987700954,0.0,,3.0
ministral,exploratory_pooled_AB,country,0.030371276504485147,72.52002322659511,0.0,2573.9933761513266,0.0,,4.0
ministral,exploratory_pooled_AB,age,0.023884423028196964,538.1922969971902,0.0,2204.982068680407,0.0,,5.0
deepseek,exploratory_pooled_AB,profession,0.6514904196813687,4.406352295523522,0.00022550980741609106,96.10562825700646,3.2132480860846816e-15,,1.0
deepseek,exploratory_pooled_AB,country,0.40812114185498244,1.8962210335044887,0.07228607403851706,21.77342464294749,0.0096254721851414,,2.0
deepseek,exploratory_pooled_AB,topic,0.18028107449785327,7.257701723532524,0.011013073270363272,5.997367131690181,0.014327243966149953,,3.0
deepseek,exploratory_pooled_AB,age,0.06793279719388783,1.2025861979957642,0.31324145799910075,2.547781134619559,0.27974115010335665,,4.0
deepseek,exploratory_pooled_AB,gender,,,,,,zero variance -- not estimable,
